,required,optional,required,required,optional,optional
,int32,int32,int32,int32,int32,string
,areaId,attachId,type,id,sortIndex,iconPath
备注,地区id,归属Id,地区类型（1 大陆，2 城镇）,掩码Id,同类型的排序序列,标题图标路径
,2001,0,1,0,1,
,2003,0,1,0,2,
,2005,0,1,0,3,
,200101,2001,2,1,1,hupan
,200102,2001,2,2,2,luolan
,200103,2001,2,3,3,fengche
,200104,2001,2,4,4,ake
,200105,2001,2,5,5,aihao
,200301,2003,2,7,1,fengche
,200302,2003,2,8,2,ake
,200303,2003,2,9,3,hupan
,200304,2003,2,10,4,aihao
,200305,2003,2,11,5,luolan
,200501,2005,2,12,1,luolan
,200502,2005,2,13,2,luolan
,200503,2005,2,14,3,luolan
,200504,2005,2,15,4,luolan
,200505,2005,2,16,5,luolan
