,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,sceneId,eventType,action,eventType1,action1,prefabPath
Mark,id,归属场景ID,事件,事件行为,事件,事件行为,预制路径
,301,3,3,3,6,0,Prefab/Cutscene/cg_ShenYuHuiYi.prefab
,1005,10,0,0,0,0,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_01.prefab
,1006,10,0,0,0,0,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_02.prefab
,1007,10,0,0,0,0,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_03.prefab
,1008,10,0,0,0,0,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_04.prefab
,1009,10,0,0,0,0,Prefab/Cutscene/cg_KaNuoSaShouWeiZhan_05.prefab
,1010,10,0,0,0,0,Prefab/Cutscene/cg_KaNuoSaZhanZheng_01.prefab
,1011,10,0,0,0,0,Prefab/Cutscene/cg_maincity_patroltask_01.prefab
,1012,10,0,0,0,0,Prefab/Cutscene/cg_maincity_patroltask_02.prefab
,1013,10,0,0,0,0,Prefab/Cutscene/cg_maincity_qianwangfeichuan.prefab
,1014,10,0,0,0,0,Prefab/Cutscene/cg_HuPanZhenIamComing.prefab
,2131,21,0,0,0,0,Prefab/Cutscene/cg_LuXiPass_01.prefab
,2132,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_FengChe.prefab
,2133,21,0,0,0,0,Prefab/Cutscene/cg_SceneAnimation_Dengta.prefab
,2134,21,0,0,0,0,Prefab/Cutscene/cg_WenLiMengJingZhiXian_01.prefab
,2135,21,0,0,0,0,Prefab/Cutscene/cg_HangHaiChuanQi_JiSuiJiaoShi.prefab
,2136,21,0,0,0,0,Prefab/Cutscene/cg_yucitongshi_1.prefab
,2138,21,0,0,0,0,Prefab/Cutscene/cg_yucitongshi_03.prefab
,2139,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_ZhuXian_AiHaoShenDian_01.prefab
,2718,27,0,0,0,0,Prefab/Cutscene/AiHaoShenDian_CG06.prefab
,2719,27,0,0,0,0,Prefab/Cutscene/cg_ahsd_HuoBaYinDao.prefab
,2720,27,0,0,0,0,Prefab/Cutscene/cg_ahsd_HuoBaDianJiHou.prefab
,3202,32,0,0,0,0,Prefab/Cutscene/cg_mzgd_TaiLei.prefab
,3203,32,0,0,0,0,Prefab/Cutscene/cg_mzgd_MiJiPa.prefab
,3204,32,0,0,0,0,Prefab/Cutscene/cg_mzgd_SiTiShen.prefab
,3205,32,0,0,0,0,Prefab/Cutscene/cg_mzgd_wangling.prefab
,3302,33,0,0,0,0,Prefab/Cutscene/cg_WangShiTong_intorduce.prefab
,3414,34,0,0,0,0,Prefab/Cutscene/cg_XunCha_SanYueBanChui02.prefab
,3413,34,0,0,0,0,Prefab/Cutscene/cg_XunCha_SanYueBianChui01.prefab
,2108,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AiHaoShenDian01.prefab
,2109,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AiHaoShenDian02.prefab
,2110,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AiHaoShenDian03.prefab
,2111,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AiHaoShenDian04.prefab
,2112,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AiHaoShenDian05.prefab
,2113,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AiHaoShenDian06.prefab
,2114,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AKeLaiSi.prefab
,2115,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AKeLaiSi02.prefab
,2116,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AKeLaiSi03.prefab
,2117,21,0,0,0,0,Prefab/Cutscene/cg_lmdl_XunCha_AKeLaiSi04.prefab
