,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,uint32,uint32,uint32,uint32
,id,against_id,type,starttime,endtime,data1,data2,data3,day
备注,流水ID,互斥id,活动类型,开始时间,结束时间,data1,data2,data3,开服天数
自律联盟,10000,0,0,1,1,0,0,0,0
每日副本,10001,0,0,1,1,0,0,0,0
温丽梦境,10002,0,0,1,1,0,0,0,0
新人登入福利,10003,0,7,0,0,0,0,0,0
开服放送庆典,10004,0,7,0,0,7,0,5,0
多人副本,10005,0,1,1800,2200,0,0,0,0
每日签到,10006,0,0,1,1,0,0,0,0
成就系统,10007,0,0,1,1,0,0,0,0
等级奖励,10008,0,0,1,1,0,0,0,0
公会礼袋分享,10009,0,0,1,1,1,0,0,0
魔物讨伐,10010,0,0,1,1,0,0,0,0
寻找宝藏,10011,0,0,1,1,0,0,0,0
黄金怪盗之约,10012,0,1,1000,1100,0,0,0,0
七日之旅,10013,0,7,0,0,0,0,0,0
魔物入侵,10015,0,10,10000,32359,0,0,0,0
黄金怪盗之约,10017,0,1,1300,1400,0,0,0,0
黄金怪盗之约,10018,0,1,1900,2000,0,0,0,0
14日循环活动1,10019,0,9,80000,2359,14,28,0,0
14日循环活动2,10020,0,9,290000,2359,14,28,0,0
魔族奸细,10021,10012,4,201905311000,201906071100,0,0,0,0
魔族奸细,10022,10012,4,201905311300,201906071400,0,0,0,0
魔族奸细,10023,10012,4,201905311900,201906072000,0,0,0,0
魔族奸细,10024,10012,4,201905312100,201906072200,0,0,0,0
圣界来袭,10025,0,9,40600,2200,5,2,0,0
王牌通缉,10026,0,10,10000,61600,0,0,0,0
