,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string
,id,bgpath,sortid,rankid,discondition,data,data1,data2,show_type,show_time
备注,表示序列号,背景图片索引,活动类型Id,序列号,显示条件,data值,data1值,预显示天数,时间限时类型,时间文字
自律联盟,10000,Textures/Atlas/GUI/DailyActivityMainPanel/union.png,1,2,3,26,0,0,0,
每日副本,10001,Textures/Atlas/GUI/DailyActivityMainPanel/Dailycopy.png,2,4,3,27,0,0,0,
温丽梦境,10002,Textures/Atlas/GUI/DailyActivityMainPanel/dream.png,3,3,3,28,0,0,0,
新人登入福利,10003,Textures/Atlas/GUI/DailyActivityMainPanel/activity1.png,4,1,1,0,0,0,1,
开服放送庆典,10004,Textures/Atlas/GUI/DailyActivityMainPanel/activity2.png,5,2,1,0,0,0,0,
多人副本,10005,Textures/Atlas/GUI/DailyActivityMainPanel/multiplayercopy.png,6,3,3,25,0,0,0,
每日签到,10006,Textures/Atlas/GUI/DailyActivityMainPanel/dailysign.png,9,1,1,0,0,0,0,
成就系统,10007,Textures/Atlas/GUI/DailyActivityMainPanel/achivement.png,7,6,1,0,0,0,0,
等级奖励,10008,Textures/Atlas/GUI/DailyActivityMainPanel/level.png,8,5,1,0,0,0,0,
公会礼袋分享,10009,Textures/Atlas/GUI/DailyActivityMainPanel/img_ghldfx_01.png,10,7,3,17,55,0,0,
魔物讨伐,10010,Textures/Atlas/GUI/DailyActivityMainPanel/img_mwtf_01.png,11,8,1,0,56,0,0,
寻找宝藏,10011,Textures/Atlas/GUI/DailyActivityMainPanel/img_xzbz_01.png,12,9,1,0,57,0,0,
黄金怪盗之约,10012,Textures/Atlas/GUI/DailyActivityMainPanel/gold.png,13,4,1,0,70012,0,1,每日10点、13点、19点开启
七日之旅,10013,Textures/Atlas/GUI/DailyActivityMainPanel/sevendayTask.png,14,6,1,10,20528,0,1,
雾夜事件簿,10015,Textures/Atlas/GUI/DailyActivityMainPanel/banner_bg.png,15,7,1,0,0,0,0,
黄金怪盗之约,10017,Textures/Atlas/GUI/DailyActivityMainPanel/gold.png,13,4,1,0,70012,0,1,每日10点、13点、19点开启
黄金怪盗之约,10018,Textures/Atlas/GUI/DailyActivityMainPanel/gold.png,13,4,1,0,70012,0,1,每日10点、13点、19点开启
14日循环活动1,10019,Textures/Atlas/GUI/DailyActivityMainPanel/fourteen.png,17,5,1,0,0,3,0,
14日循环活动2,10020,Textures/Atlas/GUI/DailyActivityMainPanel/fourteen.png,18,5,1,0,0,3,0,
魔族奸细,10021,Textures/Atlas/GUI/DailyActivityMainPanel/mzrq.png,16,4,1,1,7000873,0,1,10点、13点、19点、21点开启
魔族奸细,10022,Textures/Atlas/GUI/DailyActivityMainPanel/mzrq.png,16,4,1,1,7000873,0,1,10点、13点、19点、21点开启
魔族奸细,10023,Textures/Atlas/GUI/DailyActivityMainPanel/mzrq.png,16,4,1,1,7000873,0,1,10点、13点、19点、21点开启
魔族奸细,10024,Textures/Atlas/GUI/DailyActivityMainPanel/mzrq.png,16,4,1,1,7000873,0,1,10点、13点、19点、21点开启
圣界来袭,10025,Textures/Atlas/GUI/DailyActivityMainPanel/Holyattack.png,19,10,3,24,7000883,2,0,
王牌通缉,10026,Textures/Atlas/GUI/DailyActivityMainPanel/Poker.png,20,7,1,0,0,0,0,
