,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,levelId,groupId,playWay,battleResult,action,actionId,triggerType,data1,data2,loop
Mark,id,关卡id,怪物组id,播放时机,战斗结果,事件行为,事件参数,触发类型,触发参数,触发参数,是否每次执行
,100000,3001,2701,1,0,0,111,0,0,0,0
,100001,3011,200156,2,1,1,5044,1,0,0,0
,100003,3021,200068,1,0,1,5007,1,0,0,0
,100004,3021,200067,2,1,1,5009,1,0,0,0
,100005,3021,200099,2,0,1,5010,1,0,0,0
,100006,3032,200105,1,0,1,5018,1,0,0,0
,100007,3033,200101,2,1,1,5020,1,0,0,0
,100008,3033,200102,2,1,1,5020,1,0,0,0
,100009,3033,200103,2,1,1,5020,1,0,0,0
,100010,3033,200104,2,1,1,5020,1,0,0,0
,100011,3031,200090,1,0,1,5092,1,0,0,0
,100012,3031,200083,1,0,1,5005,1,0,0,0
,100013,3031,200083,2,0,2,15302,1,0,0,0
,100021,3023,200182,2,1,1,5109,1,0,0,0
,100022,3023,200179,2,1,1,5110,1,0,0,0
,100026,3021,200068,2,1,1,5144,1,0,0,0
,100031,3011,200154,2,1,1,5165,1,0,0,0
,100033,3027,200202,2,1,1,5173,1,0,0,0
,100035,3029,300103,1,0,1,5196,1,0,0,0
,100036,3027,200204,2,1,2,15902,1,0,0,0
,100037,3030,200224,1,0,1,5187,1,0,0,0
,100038,3030,200224,2,1,1,5188,1,0,0,0
,100040,3030,200230,1,0,1,5189,1,0,0,0
,100041,3030,200230,2,1,1,5190,1,0,0,0
,100042,3038,200236,2,1,1,5192,1,0,0,0
,100043,3037,200213,2,1,1,5200,1,0,0,0
,100044,3037,200214,2,1,1,5200,1,0,0,0
,100045,3037,200215,2,1,1,5200,1,0,0,0
,100046,3037,200216,2,1,1,5200,1,0,0,0
,100049,3029,300103,2,1,1,5203,1,0,0,0
,100050,3027,200209,1,0,1,5216,1,0,0,1
,100052,3023,200176,1,0,1,5217,1,0,0,1
,100053,3023,200177,1,0,1,5217,1,0,0,1
,100054,3023,200175,1,0,1,5217,1,0,0,1
,100055,3028,200207,2,1,1,5184,1,0,0,0
,100056,3041,200250,2,1,1,5230,1,0,0,1
,100058,3042,200251,2,1,2,16301,1,0,0,0
,100059,3045,200263,1,0,1,5264,1,0,0,0
,100060,3045,200266,1,0,1,5267,1,0,0,0
,100061,3046,200271,1,0,1,5268,1,0,0,0
,100062,3046,200271,2,1,1,5269,1,0,0,0
,100063,2001,900271,2,1,1,10784,1,0,0,0
,100067,3042,200254,2,1,1,5247,1,0,0,0
,100068,3045,200266,2,1,1,5280,1,0,0,0
,100069,3047,200275,2,1,1,5254,1,0,0,0
,100070,3050,200285,2,1,1,5277,1,0,0,0
,100071,2001,900264,2,1,1,11976,1,0,0,0
,100072,3052,200303,1,0,1,5287,1,0,0,0
,100073,3052,200303,2,1,1,5288,1,0,0,0
,100074,3053,200304,1,0,1,5303,1,0,0,0
,100075,3053,200304,2,1,1,5304,1,0,0,0
,100076,2003,900290,2,1,1,11532,1,0,0,0
,100077,2003,900298,2,1,1,11018,1,0,0,0
,100078,2003,900295,2,1,1,11032,1,0,0,0
,100081,3057,200340,2,1,1,5513,1,0,0,0
,100082,3056,200138,1,0,1,5804,1,0,0,0
,100083,3056,200138,2,1,1,5809,1,0,0,0
,100088,3058,200140,1,0,1,5914,1,0,0,0
,100089,3058,200337,1,0,1,5955,1,0,0,0
,100094,3064,200318,1,0,1,6122,1,0,0,0
,100095,3064,200318,2,1,1,6127,1,0,0,0
,100104,3054,200310,2,1,1,5412,1,0,0,0
,100106,2001,900308,2,1,1,11159,1,0,0,0
,100107,2001,900261,2,1,1,11153,1,0,0,0
,100108,2001,900265,2,1,1,11233,1,0,0,0
,100109,2001,900333,2,1,1,11312,1,0,0,0
,100110,2003,900329,1,0,1,11325,1,0,0,0
,100111,2003,900330,1,0,1,11327,1,0,0,0
,100112,2003,900331,1,0,1,11329,1,0,0,0
,100113,2003,900332,1,0,1,11331,1,0,0,0
,100114,2001,900316,2,1,1,11333,1,0,0,0
,100115,2003,900336,1,0,1,11340,1,0,0,0
,100116,2003,900337,1,0,1,11341,1,0,0,0
,100117,2003,900338,1,0,1,11342,1,0,0,0
,100118,2003,900344,1,0,1,11360,1,0,0,0
,100119,2003,900345,1,0,1,11362,1,0,0,0
,100120,2003,900346,1,0,1,11370,1,0,0,0
,100121,2003,900347,1,0,1,11372,1,0,0,0
,100122,2003,900347,2,1,1,11373,1,0,0,0
,100123,2003,900348,1,0,1,11375,1,0,0,0
,100124,2003,900349,1,0,1,11377,1,0,0,0
,100125,2003,900343,2,1,1,11356,1,0,0,0
,100126,2003,900350,1,0,1,11386,1,0,0,0
,100127,2003,900351,1,0,1,11388,1,0,0,0
,100129,2003,900353,1,0,1,11392,1,0,0,0
,100130,2001,800115,1,0,1,60000,1,0,0,0
,100133,3056,200343,2,1,1,5843,1,0,0,0
,100134,3071,200330,2,1,1,5447,1,0,0,0
,100135,2003,800115,1,0,1,60000,1,0,0,0
,100137,3060,200315,1,0,1,5542,1,0,0,0
,100139,2001,800116,1,0,1,60134,1,0,0,0
,100141,2003,800116,1,0,1,60134,1,0,0,0
,100143,2001,800117,1,0,1,60230,1,0,0,0
,100145,2003,800117,1,0,1,60230,1,0,0,0
,100147,2001,800118,1,0,1,60326,1,0,0,0
,100149,2003,800118,1,0,1,60326,1,0,0,0
,100151,2002,900366,2,1,1,11491,1,0,0,0
,100152,2003,900294,2,1,1,11547,1,0,0,0
,100153,2003,900291,2,1,1,11536,1,0,0,0
,100154,2003,900368,2,1,1,11527,1,0,0,0
,100155,2003,900368,1,0,1,11526,1,0,0,0
,100156,2003,900293,2,1,1,11549,1,0,0,0
,100157,3073,200353,2,1,2,16801,1,0,0,0
,100158,3073,200355,2,1,2,16803,1,0,0,0
,100159,3073,200356,1,0,1,6173,1,0,0,0
,100160,3073,200356,2,1,1,6174,1,0,0,0
,100161,3060,200341,2,1,1,5568,1,0,0,0
,100162,3058,200338,1,0,1,6177,1,0,0,0
,100163,3058,200337,2,1,1,6178,1,0,0,0
,100164,3056,200342,2,1,1,6179,1,0,0,0
,100166,2003,900378,1,0,1,11616,1,0,0,0
,100167,2003,900379,1,0,1,11618,1,0,0,0
,100170,2003,900377,1,0,1,11603,1,0,0,0
,100171,3063,200349,2,1,1,5995,1,0,0,0
,100172,2001,900369,2,1,1,11641,1,0,0,0
,100174,2003,900380,1,0,1,11651,1,0,0,0
,100175,2003,900381,1,0,1,11653,1,0,0,0
,100176,3078,200376,2,1,1,6226,1,0,0,0
,100181,3081,200380,1,0,1,6240,1,0,0,0
,100182,3081,200380,2,1,1,6241,1,0,0,0
,100183,2001,900397,2,1,1,11829,1,0,0,0
,100184,2001,900398,2,1,1,11842,1,0,0,0
,100185,2001,900399,2,1,1,11863,1,0,0,0
,100187,2001,900401,2,1,1,11889,1,0,0,0
,100188,2001,900400,2,1,1,11870,1,0,0,0
,100189,3086,200412,1,0,1,6294,1,0,0,0
,100190,3086,200416,2,1,1,6298,1,0,0,0
,100192,3087,200409,2,1,2,17003,1,0,0,0
,100193,2004,900434,1,0,1,12014,1,0,0,0
,100194,2004,900435,1,0,1,12016,1,0,0,0
,100195,2004,900436,1,0,1,12018,1,0,0,0
,100196,2005,900442,1,0,1,12127,1,0,0,0
,100197,2005,900443,1,0,1,12129,1,0,0,0
,100198,2005,900444,1,0,1,12131,1,0,0,0
,100199,2005,900445,1,0,1,12133,1,0,0,0
,100200,2005,900446,1,0,1,12147,1,0,0,0
,100201,2005,900448,1,0,1,12151,1,0,0,0
,100202,2005,900449,1,0,1,12153,1,0,0,0
,100204,2005,900450,1,0,1,12171,1,0,0,0
,100205,2005,900452,1,0,1,12172,1,0,0,0
,100206,3024,200191,2,1,2,15701,1,0,0,0
,100207,3024,200425,2,1,1,6312,1,0,0,0
,100208,3043,200262,2,1,1,5237,1,0,0,0
,100210,3023,200424,2,1,1,6322,1,0,0,0
,100211,3021,200432,2,1,1,6327,1,0,0,0
,100215,3089,200419,1,0,1,6376,1,0,0,0
,100217,3073,200436,2,1,1,6343,1,0,0,0
,100219,3085,200402,2,1,2,16503,1,0,0,0
,100220,3032,200437,2,1,1,6390,1,0,0,0
,100221,3032,200438,2,1,1,6390,1,0,0,0
,100226,3091,200426,1,0,1,6455,1,0,0,0
,100227,3091,200426,2,1,1,6460,1,0,0,0
,100228,3091,200441,1,0,1,6456,1,0,0,0
,100229,3091,200441,2,1,1,6460,1,0,0,0
,100230,3091,200442,1,0,1,6457,1,0,0,0
,100231,3091,200442,2,1,1,6460,1,0,0,0
,100232,3091,200443,1,0,1,6458,1,0,0,0
,100233,3091,200443,2,1,1,6460,1,0,0,0
,100234,3091,200444,1,0,1,6459,1,0,0,0
,100235,3091,200444,2,1,1,6460,1,0,0,0
,100236,3091,200427,1,0,1,6478,1,0,0,0
,100237,3091,200445,1,0,1,6479,1,0,0,0
,100238,3091,200446,1,0,1,6480,1,0,0,0
,100239,3091,200447,1,0,1,6481,1,0,0,0
,100240,3091,200448,1,0,1,6482,1,0,0,0
,100245,2005,900457,2,1,1,12268,1,0,0,0
,100250,2001,800183,1,0,1,60441,1,0,0,0
,100251,2001,800184,1,0,1,60442,1,0,0,0
,100252,2001,800185,1,0,1,60443,1,0,0,0
,100253,2001,800186,1,0,1,60444,1,0,0,0
,100254,2001,800187,1,0,1,60445,1,0,0,0
,100255,2001,800188,1,0,1,60446,1,0,0,0
,100256,2001,800189,1,0,1,60447,1,0,0,0
,100257,2001,800190,1,0,1,60448,1,0,0,0
,100258,2001,800191,1,0,1,60449,1,0,0,0
,100259,2001,800192,1,0,1,60450,1,0,0,0
,100260,2003,800183,1,0,1,60441,1,0,0,0
,100261,2003,800184,1,0,1,60442,1,0,0,0
,100262,2003,800185,1,0,1,60443,1,0,0,0
,100263,2003,800186,1,0,1,60444,1,0,0,0
,100264,2003,800187,1,0,1,60445,1,0,0,0
,100265,2003,800188,1,0,1,60446,1,0,0,0
,100266,2003,800189,1,0,1,60447,1,0,0,0
,100267,2003,800190,1,0,1,60448,1,0,0,0
,100268,2003,800191,1,0,1,60449,1,0,0,0
,100269,2003,800192,1,0,1,60450,1,0,0,0
,100270,2001,800183,2,1,1,60451,1,0,0,0
