,required,required,required,required,required,required,required,required,required,required,required,optional,required,required,optional,required,required,required,optional,required,required,required
,uint32,string,uint32,uint32,uint32,float,float,float,float,string,string,string,uint32,float,string,uint32,float,uint32,string,uint32,float,uint32
,id,regionSize,shapeType,type,object_type,effective_time,invalid_time,data_1,data_2,strData_1,strData_2,des,priority,interval,effect_1,active_1,delay_1,loop_1,effect_2,active_2,delay_2,loop_2
备注,陷阱Id,区域大小,区域形状,陷阱类型(1流沙/),作用对象(1=玩家/2=怪物/3=均有),有效时间,无效时间,不同陷阱类型的对应数据参数,不同陷阱类型的对应数据参数,字符串数据,字符串数据,名字,播放优先级,间隔播放时间,特效1,0隐藏1不隐藏,延迟播放时间,是否循环,特效2,0隐藏1不隐藏,延迟播放时间,是否循环
,1,,0,1,1,10,5,2,0,,,流沙陷阱,0,0,Effect_Scene_monster_bai,0,0,1,Effect_buff_zengjiagongji,0,0,1
,2,,0,2,1,5,3.5,0,0,,,火焰陷阱,1,3.5,Effect_Scene_huoyanxianjing,0,0,0,Effect_Scene_huoyanxianjing_heiying,0,0,0
,3,,0,2,1,5,3.5,0,0,"-276,-24.8,-84",,火焰陷阱,1,3.5,Effect_Scene_huoyanxianjing,0,0,0,Effect_Scene_huoyanxianjing_heiying,0,0,0
,5001,,0,2,1,5,3.5,0,0,,,火焰陷阱,1,3.5,Effect_Scene_huoyanxianjing,0,0,0,Effect_Scene_huoyanxianjing_heiying,0,0,0
,5003,"10,10,10",0,1,1,3,4,2,0,,,狂沙虫巢流沙陷阱2,0,5,Effect_Scene_liusha_xi,0,0,0,Effect_Scene_liusha,1,0,1
,5004,"10,10,10",0,1,1,3,5,2,0,,,狂沙虫巢流沙陷阱3,0,5,Effect_Scene_liusha_xi,0,0,0,Effect_Scene_liusha,1,0,1
,5005,"10,10,10",0,1,1,3,5,2,0,,,狂沙虫巢流沙陷阱4,0,5,Effect_Scene_liusha_xi,0,0,0,Effect_Scene_liusha,1,0,1
,5006,"10,10,10",0,1,1,3,6,2,0,,,狂沙虫巢流沙陷阱5,0,5,Effect_Scene_liusha_xi,0,0,0,Effect_Scene_liusha,1,0,1
,5009,"6,6,6",0,1,1,3,4,2,0,,,狂沙虫巢普本流沙1,0,5,Effect_Scene_liusha_xi,0,0,0,Effect_Scene_liusha,1,0,1
,5010,"6,6,6",0,1,1,3,6,2,0,,,狂沙虫巢普本流沙2,0,5,Effect_Scene_liusha_xi,0,0,0,Effect_Scene_liusha,1,0,1
,5011,"6,6,6",0,1,1,3,5,2,0,,,狂沙虫巢普本流沙3,0,5,Effect_Scene_liusha_xi,0,0,0,Effect_Scene_liusha,1,0,1
,5012,"6,6,6",0,1,1,3,5,2,0,,,狂沙虫巢普本流沙4,0,5,Effect_Scene_liusha_xi,0,0,0,Effect_Scene_liusha,1,0,1
