,id,dialog
备注,剧情对白id,对白内容
战斗剧情，最大到5000,1,兰奇：连你也想阻止我吗？
,2,泰雷：住手兰奇！你要背弃你的骑士之誓吗？
,3,兰奇：哈哈哈，骑士？不要被这种虚无的东西蒙蔽了！
,4,泰雷：咳……不愧是奥兹家族的最强者，但你却把剑指向了朋友
,5,兰奇：有的人为了力量能做出你想不到的事……
,6,泰雷：就算拼上性命，我也要阻止你！放下剑，你还有机会！
,7,兰奇：放弃吧！别让你的命更不值钱了！
,10069,乔伊:手刃国王的感觉不错吧？
,10070,乔伊:背叛的滋味是多么美妙。
,10071,乔伊:尝试过的人都无法抵抗那种诱惑。
,10072,兰奇:忠诚这种东西，我不在意。
,10073,兰奇:背叛？那又怎么样？
,10074,兰奇:弱者的闲言，
,10075,爱琪:你忘了我们抢夺财宝是为了什么吗？
,10076,爱琪:忘了里奇团长的事了吗？
,10077,爱琪:要是不记得了。
,10078,爱琪:那就想想自己背后的玫瑰印记诅咒吧！
,10079,爱琪:如果不想像腐败的玫瑰花般凋零。
,10080,爱琪:那就别再做蠢事了。
,10081,
,10082,兰奇:我根本不在乎。
,10083,乔伊:这就是奥兹家族的战神？
,10084,乔伊:我的暗龙嗅到同类的味道。
,10085,乔伊:臣服于黑暗吧。
,10086,乔伊:回到光明，也找不回来的。
,10087,乔伊:没有人可以抵抗它的诱惑。
,10097,夜崎隐:我精心培养的果实。
,10098,夜崎隐:哪轮得到你出手？
,10099,尼格斯:那你是要解决这些障碍吗？
,10100,夜崎隐:嗯哼~并不是哦~
,10101,夜崎隐:我是来抓“害虫”的。
,10102,夜崎隐:比如你。
,10104,兰奇:命运的骰子，
,10105,兰奇:要握在自己手中。
"技能剧情，最大到59999,西蒙",50001,交给我吧
,50002,接受正义之刃的制裁吧
温丽,50003,本大小姐的个人秀时间到了！
,50004,见识下我的魔法!
,50005,麻烦死了！
,50006,嗬！
,50007,嗬，呀！
,50008,去吧，火焰鸟！
,50009,嗬!
,50010,呀！
,50011,来吧，笑一个~
,50012,你完蛋了！
,50013,星辉冰河之耀，赐予我神的力量！
,50014,这么快
,50015,赢了呢
,50016,你这家伙真是笨死啦！
,50017,你们真是……一点都不可爱……
,50018,不可能，不开心，我不要……
爱琳娜,50019,一拳就解决你！
,50020,听说，你想跟我的拳头作对？
,50021,嘿，呀!
