,areaId,name,des,mercenaryUnlockDes
备注,id,名称,描述,佣兵任务未解锁的描述（城镇才有）
,2001,雷鸣大陆,,
,2003,古加尼尔,,
,2005,失落群岛,,
,200101,湖畔镇,,完成湖畔镇主线任务后解锁
,200102,罗兰镇,,完成罗兰镇主线任务后解锁
,200103,风车镇,,完成风车镇主线任务后解锁
,200104,阿克莱斯,,完成阿克莱斯主线任务后解锁
,200105,哀嚎神殿,,完成哀嚎神殿主线任务后解锁
,200301,冒险者营地,,完成冒险者营地主线任务后解锁
,200302,三月边陲,,完成三月边陲主线任务后解锁
,200303,月神森林,,完成月神森林主线任务后解锁
,200304,永夜森林,,完成永夜森林主线任务后解锁
,200305,迷雾森林,,完成迷雾森林主线任务后解锁
,200501,不冬岛,,完成不冬岛主线任务后解锁
,200502,天空城,,完成天空城主线任务后解锁
,200503,鲸脊岛,,完成鲸脊岛主线任务后解锁
,200504,阿诺特岛,,完成阿诺特岛主线任务后解锁
,200505,口袋岛,,完成口袋岛主线任务后解锁
