,id,dialogue
备注,id,npc说的怪物简介
,1,他的獠牙划破了无数人的喉咙。
,2,不知满足的盗贼，甚至连陪葬品也不放过。
,3,漫天黄沙的三月边陲，也关不住他的野心。
,4,他的铁锤上不知道沾染了多少无辜人的鲜血。
,5,石头构成了他的身体，因此连心也是冰冷的。
,6,吵闹的人，在她面前活不过三秒。
,7,他扬起的尾巴，是攻击的信号。
,8,大海洗得掉血腥，却洗不掉他的罪孽。
,9,尸毒使他丧失理智，心中只有杀戮。
,10,专断强横的独裁者，对所有人都心狠手辣。
,11,开膛手的名号，足以体现她的罪孽。
,12,为了上位，他甚至连自己的兄弟都没有放过。
,13,坚实的身体是他的骄傲，也是他的武器。
,14,再美艳的外表，也掩盖不了她邪恶的内心。
,15,一旦沾染上他的剧毒，必死无疑。
,16,绝对不可叫他半人鱼，否则他会失控。
,17,企图组建丧尸部队的癫狂之人。
,18,对他而言，最美味的食物便是人肉。
,19,行凶手段过于残忍，被列为重点通缉对象。
,20,为了矿产，他压榨童工，剥削矿工，毫无人性。
,21,用脚碾碎敌人的身躯，是最令他愉悦的事情。
,22,男人是她手中的玩物，如果坏了，就换一个。
,23,他是最有耐心的狩猎者，默默等待着机会。
,24,人命在他眼中像是玩笑，他的心中毫无愧疚。
,25,沦为丧尸的他，连家人都已不记得。
,26,视法规于无物，不能再继续放任他残害镇民。
,27,比起采蜜，她更喜欢人类的血液。
,28,他从不给人说不的权利。
,29,他最爱听人被重石压住后的呻吟声。
,30,外表越美丽的人，越是恶毒。
,31,丧命在他铁钳下的人，没有八百也有一千。
,32,海底堆积成山的尸骨，都是他的杰作。
,33,他早已忘记了过往，变成了一具杀人机器。
,34,摆在他面前的不是饕餮盛宴，而是人间地狱。
,35,她见不得美好的事物，毁灭才是人生的真谛。
,36,他抛弃了感情，成为了只知利益的野兽。
,37,他的一拳，足以让人明白粉身碎骨的滋味。
,38,不听话的仆从，她从不需要。
,39,注意身后，他也许会在无意中咬上你的喉咙。
,40,除了统领海洋，他还有更大的野心。
,41,没有感情的丧尸，才是最可怕的敌人。
,42,和他对视，如同凝视着死亡深渊。
,43,阴沉得意的笑容，是她发来的挑衅。
,44,他认为自己所做的一切，只是在清扫障碍。
,45,在他看来，人只不过是一个小玩具。
,46,蛇蝎美人，说的就是她。
,47,被他盯上的猎物，没有一个可以逃脱。
,48,他的鱼叉上，除了海的味道，还有血的锈味。
