,id,name,des,functionDes
备注,id,名称,描述,功能描述
,1,罗兰钻,仅限帝国官方开采的稀有石头，闪耀着魔法之光。,用于购买各类奇珍异宝，是帝国商城的高级交易货币。
,2,冒险币,帝国交易行委托铸币机构定制的特殊货币。,专用于英雄之间的各种交易。
,3,银币,罗兰帝国官方规定的通用货币，使用白银铸造。,用于养成和购买材料的通用货币。
,4,英雄经验,无论是小镇还是神殿，有你的每一次冒险都值得纪念。,用于英雄升级，丰富的战斗经验是你努力奋斗的证明。
,5,战队经验,纯粹的友情被深深地印在过往岁月之中，感动至今。,用于战队升级，这份经验是独属于你们的光荣。
,8,本命经验,冒险后，你将获得本命勋章，可用于本命升级。,用于本命升级，是诸神对本命的祝福。
,11,竞技点数,属于冒险者的荣耀，是强悍实力的象征。,用于购买竞技场商铺的物品，是帝国竞技场的专用货币。
,12,公会贡献,与同伴并肩作战，创建属于你们的辉煌。,用于购买公会商铺物品，是公会成员的专享福利。
,13,英雄纹章,寄托了来自英雄的意志，让你不再是一个人战斗。,用于兑换英雄，能够让你的英雄池变成英雄海。
,14,本命币,刻画着谜一样的纹理，其中蕴藏着来自神的力量。,用于兑换本命卡，众多本命等你来找他们。
,15,骑士点数,激发深埋内心的骑士战魂，展开一场刺激的战斗。,用于购买骑士商铺的物品，是骑士考核的专用货币。
,16,记忆碎片,时间魔法的结晶，蕴含转换时空的能量。,用于兑换梦境小铺的物品。
,17,友情点,好友之间，需要用心联系。,用于加速好友宝箱开启的速度。
,18,圣界来袭积分,圣界来袭积分,圣界来袭积分
,101,粗木箱,你与好友情谊的见证，用另一种方式记录你们的友谊。,有几率获得意想不到的物品，祈祷之后再打开吧。
,102,秘银箱,你与好友情谊的见证，用另一种方式记录你们的友谊。,有几率获得意想不到的物品，祈祷之后再打开吧。
,103,炼金宝箱,你与好友情谊的见证，用另一种方式记录你们的友谊。,有几率获得意想不到的物品，祈祷之后再打开吧。
,100003,公会纹章,让我们一同起誓，永不违背盟约中的任何信条。,拥有公会纹章，即可与朋友们建立强大的冒险公会。
,120012,基础英雄速递券,风迹速递发布的特别速递券，凭此券可在风迹快递的任意分部申请一次速递服务。,可<color=#bd4104>不消耗银币</color>，向风迹速递申请派送<color=#bd4104>1</color>件基础英雄的速递。
,120013,传说英雄速递券,风迹速递发布的高级速递券，凭此券可在风迹快递的任意分部申请一次高级速递服务。,可<color=#bd4104>不消耗罗兰钻</color>，向风迹速递申请派送<color=#bd4104>1</color>件传说英雄的速递。
,120022,基础本命速递券,似乎是风迹速递发布的神秘速递券，但上面的文字却无法辨识，莫非是本命的名字？,可<color=#bd4104>不消耗银币</color>，向风迹速递申请派送<color=#bd4104>1</color>件基础本命的速递。
,120023,传说本命速递券,似乎是风迹速递发布的梦幻速递券，从上面的文字中能感觉到来自本命的力量。,可<color=#bd4104>不消耗罗兰钻</color>，向风迹速递申请派送<color=#bd4104>1</color>件传说本命的速递。
,201000,初级银币卡,“银币不是万能的，但没有银币是万万不能的。”——爱琳娜,可获得2000银币。
,201001,中级银币卡,“银币不是万能的，但没有银币是万万不能的。”——爱琳娜,可获得10000银币。
,201002,高级银币卡,“银币不是万能的，但没有银币是万万不能的。”——爱琳娜,可获得40000银币。
,201003,特级银币卡,“银币不是万能的，但没有银币是万万不能的。”——爱琳娜,可获得120000银币。
,201004,顶级银币卡,“银币不是万能的，但没有银币是万万不能的。”——爱琳娜,可获得350000银币。
,202000,初级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加2000点经验值。
,202001,中级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加10000点经验值。
,202002,高级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加50000点经验值。
,202003,特级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加150000点经验值。
,202004,顶级英雄经验卡,英雄的成长离不开它，每一位冒险者都值得拥有。,可使英雄经验球增加500000点经验值。
,203000,初级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,可给本命经验球注入2000点经验。
,203001,中级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,可给本命经验球注入10000点经验。
,203002,高级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,可给本命经验球注入50000点经验。
,203003,特级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,可给本命经验球注入150000点经验。
,203004,顶级本命经验卡,入选本年度热销物品，能使本命实力大幅上涨。,可给本命经验球注入500000点经验。
,210000,速战凭证,快速作战必不可少的道具，用过的都说好。,用于快速完成战斗，是经验丰富的冒险者才知道的秘诀。
,210023,领主召唤券,记载有领主情报的文件，是追踪领主所在的关键。,进行一次讨伐领主。
,210024,圣界领主召唤券,进行一次圣界领主召唤,进行一次讨伐领主。
,210043,商城刷新券,刷新商城物品,刷新商城物品
,210104,帝国特供体验卡,卡诺萨帝国发行的帝国特供体验卡，黄金镶边的云母卡牌上雕刻着帝国的标志。,可在帝国特供界面激活罗兰钻福利，获得<color=#bd4104>1</color>天领取机会。体验卡天数可累加。
,220003,探宝图鉴,为梅尔·霍克森所著，记载了他所探寻到的宝藏地点。,为梅尔·霍克森所著，记载了他所探寻到的宝藏地点。
,310010,曜金钥匙,去除灰尘后仍可闪耀光辉的钥匙，可用于开启曜金箱。,可用于开启曜金箱获取奖励。
,310020,霜蓝钥匙,通体透明的水晶钥匙，可用于开启霜蓝晶箱。,可用于开启霜蓝晶箱获取奖励。
,410012,联盟礼箱,专为优秀的佣兵准备的礼箱，正上方雕刻着自律联盟的标志。,有几率获得意想不到的物品，请怀着期待的心情打开。
,410021,木箱,在讨伐领主中作出卓越贡献的人才有资格获得。,有几率获得提升装备星级的材料。
,410022,青铜箱,在讨伐领主中作出卓越贡献的人才有资格获得。,有几率获得提升装备星级的材料。
,410023,白银箱,在讨伐领主中作出卓越贡献的人才有资格获得。,有几率获得提升装备星级的材料。
,410024,燃金宝箱,在讨伐领主中作出卓越贡献的人才有资格获得。,有几率获得提升装备星级的材料。
紫色符文宝箱,420013,星辉符文匣,就和巧克力一样，直到打开的前一刻，你都不知道里面的符文究竟有多强。,有几率获得紫色品质的符文。
橙色符文宝箱,420014,荣耀符文匣,就和巧克力一样，直到打开的前一刻，你都不知道里面的符文究竟有多强。,有几率获得橙色品质的符文。
,421012,荧光本命匣,神秘的本命礼匣，无人知晓哪个本命藏于里面。,有几率获得一名蓝色品质的本命
,421013,流光本命匣,神秘的本命礼匣，无人知晓哪个本命藏于里面。,有几率获得一名紫色品质的本命。
,421014,极光本命匣,神秘的本命礼匣，无人知晓哪个本命藏于里面。,有几率获得一名橙色品质的本命。
