,id,desp,story
备注,团队id,怪物描述,三星结论叙述
,101,庞大的身躯，镇守着梦境。<color=#FAD13B>如果想要进入梦境，应该选用合适的物理/魔法英雄。</color>,芙蕾雅家后院深处的荒林，重重树影后，藏着一个不显眼的小屋，却有卫兵把守。
,102,禁忌魔法驱动内核，是个行事嚣张的机械人。<color=#FAD13B>与他交手，尽量使用群攻技能避免他的手下出场。</color>,温丽误入荒林。她感知到了奇怪的力量，并看到可疑的痕迹。之后被爷爷特罗德禁足了相当一段长的时间。
,103,玫瑰团团长，渴望自由并怨恨着这个世界。<color=#FAD13B>和她交手，最好选用高命中的女性英雄。同时，所有奥义技能都是无视闪避状态的。</color>,某天，一个卫兵队长向特罗德急报。随后，特罗德下令全面封禁后院的小屋以及附近的荒林。
,104,为亡魂带去慰藉，是个内心柔软的家伙。不过，别因此而小瞧了他。<color=#FAD13B>注意让他在低生命值时无法攻击，以免他恢复生命值。</color>,芙蕾雅家后院的荒林燃起大火，火势甚至威胁到芙蕾雅家建筑，特罗德未下令救火。
,105,生长在墓地，体内累积了大量魔法能量。<color=#FAD13B>使用状态伤害、反弹伤害、忽视防御进行攻击，可越过他的超高防御状态，对其造成伤害。</color>,“让死去的人重新站起来。”——《露西蒂尼魔法手札》
,106,自由战争时期，被魔族囚禁的人族战士，一直渴望重回人间。<color=#FAD13B>注意降低他手下的攻击机会，以免触发他的复活。</color>,一个卫兵被特罗德下令处死，他曾是优秀的魔法骑士，后来因伤被安排担任小屋守卫的队长。
,107,前帝国情报处负责人，现在是个臭名昭著的“弑君者”。<color=#FAD13B>应时刻注意他的状态触发，随机应对。</color>,帝国颁布官方讣告：追绶伍德森队长“帝国光明之将”称号。特罗德：我只能这么做，但，你是为帝国而死。
,201,利用煽动鹰族间的矛盾，登上鹰后宝座。<color=#FAD13B>使用状态伤害、反弹伤害发起攻击，可以越过她的高反弹伤害状态，对其造成伤害。</color>,罗兰公历28年，玛法•欧斯当选第9届魔法议会主席；芙蕾雅家族因缺席，被委员会认定为蔑视会议，全族十年内禁止参选议会。
,202,斯科特家族的守卫，在多年前遭袭身亡。<color=#FAD13B>战斗时，需时刻注意怪物的状态，并保留适当奥义值。</color>,21年前，最擅长光魔法的家族——斯科特家族惨遭暴徒灭门。克罗·斯科特作为玛法·欧斯的有力竞争者，也在这惨案中死亡。
,203,欧斯家族秘密圈养的丧尸，攻击具有强烈的感染能力。<color=#FAD13B>战斗时，尽量选用拥有治疗技能的英雄，以便回复自身生命值。</color>,罗兰公历29年，当时作为人们候选人之一的维奇·芙蕾雅在公选演讲中遭受袭击，也就是斯科特家族灭门事件发生后的第二天。
,204,听从命运的召唤，修炼禁忌的黑魔法。<color=#FAD13B>战斗时，注意及时援护，让物理/魔法英雄交替出场。</color>,特罗德在一次吃饭的时候说起，自己早年受到过极强的魔法侵蚀，昏睡了很久，以至于没能够出席重要的魔法议会。
,205,喜欢一切与阴谋有关的黑暗气息。<color=#FAD13B>战斗时，最好选用高命中、抗暴击英雄。同时，反弹伤害是可以无视他身上的闪避状态的。</color>,[时间碎片还原了第2届魔法议会召开的盛大场景]特罗德·芙蕾雅凭借博爱的思想受到广泛的支持，当选魔法议会主席。
,206,装置机甲的人造人，为了彻底守住秘密，已将铁嘴封死。<color=#FAD13B>注意保留高奥义值，以降低他的属性。</color>,第2届魔法议会召开当天，特罗德宣读了一份长达76页的关于欧斯家族的罪行陈述。
,207,纳雅族总司令，具有出色的指挥和领导能力。挥舞着手中巨剑，守护着心中的正义。<color=#FAD13B>注意保留高奥义值，以降低她的属性。</color>,第一任魔法议会主席皮吉•欧斯被宣布判处魔法熔融之刑。<br>同年，皮吉•欧斯的妻子诞下玛法•欧斯。
,301,魅魔企图迷惑现实与梦境的分别。<color=#FAD13B>战斗时，注意怪物特性，合理利用援护技能、并谨慎使用奥义技能。</color>,20年前哀嚎神殿同现在一样，无数魔物活动在幽暗的深处。有传言说：魔物产生的源头，是当年罗兰大帝放在这里的神器•噬法者。
,302,游荡在哀嚎神殿附近，吞噬周边弱小魔物。<color=#FAD13B>战斗时，注意保留技能，并尽量降低之后拥有晕眩技能手下的攻击次数。</color>,玛法·欧斯家族会议上说：获取被神器·噬法者所吞噬的魔法，就能长久的统治魔法协会了。
,303,暗中窥视着梦境中发生的一切，只等窃取存于神器的魔法。<color=#FAD13B>战斗时，需时刻注意怪物获得的状态。</color>,玛法·欧斯用议会主席的身份向众人承诺：自己将取走神器，净化神殿。
,304,因受魔法反噬而成为丧尸。<color=#FAD13B>战斗时，可选用无技能冷却时间的葛莱蒂丝。同时，注意奥义、援护、辅助技能的使用。</color>,玛法·欧斯带着四位欧斯家族的法师进入神殿，随后失踪。
,305,生于幽沼，性情古怪。需注意怪物状态产生的时机。<color=#FAD13B>使用反弹伤害、状态伤害、忽视防御，可越过怪物超高防御的状态，对其造成伤害。</color>,欧斯家族的族人来神殿调查，下落不明。
