,type,simpleExplain,detailExplain
备注,属性类型,简单说明,详细说明
,1,生命,生命上限
,2,物攻,物理攻击
,3,魔攻,魔法攻击
,4,物防,物理防御
,5,魔防,魔法防御
,6,生命加成,生命加成
,7,物攻加成,物攻加成
,8,魔攻加成,魔攻加成
,9,物防加成,物防加成
,10,魔防加成,魔防加成
,11,命中率,命中率
,12,闪避率,闪避率
,13,暴击率,暴击率
,14,暴击伤害,暴击伤害
,15,抗暴率,抗暴率
,16,格挡率,格挡率
,17,格挡减伤,格挡减伤
,18,破击率,破击率
,22,被击回复奥义值,被击回复奥义值
,31,伤害加成,伤害加成
,32,伤害减免,伤害减免
,41,冰元素伤害,冰元素伤害
,42,火元素伤害,火元素伤害
,43,光元素伤害,光元素伤害
,44,暗元素伤害,暗元素伤害
,51,冰元素抗性,冰元素抗性
,52,火元素抗性,火元素抗性
,53,光元素抗性,光元素抗性
,54,暗元素抗性,暗元素抗性
所有英雄一样，见常量表,60,奥义值上限,奥义值上限
所有英雄一样，见常量表,61,初始奥义值,初始奥义值
