,id,name,des
备注,本命卡id+天赋等级,天赋技能名称,描述
,40121,铁壁,助力英雄的格挡提升<color=#ff4a00>3%</color>。
,40122,铁壁,助力英雄的格挡提升<color=#ff4a00>5%</color>。
,40123,铁壁,助力英雄的格挡提升<color=#ff4a00>8%</color>。
,40221,闪避,助力英雄的闪避提升<color=#ff4a00>1%</color>。
,40222,闪避,助力英雄的闪避提升<color=#ff4a00>3%</color>。
,40223,闪避,助力英雄的闪避提升<color=#ff4a00>5%</color>。
,40321,激运,助力英雄的暴击抗性提升<color=#ff4a00>4%</color>。
,40322,激运,助力英雄的暴击抗性提升<color=#ff4a00>7%</color>。
,40323,激运,助力英雄的暴击抗性提升<color=#ff4a00>10%</color>。
,40421,固守·Ⅰ,助力英雄在战斗中首次受到的奥义伤害降低<color=#ff4a00>10%</color>。
,40422,固守·Ⅰ,助力英雄在战斗中首次受到的奥义伤害降低<color=#ff4a00>15%</color>。
,40423,固守·Ⅰ,助力英雄在战斗中首次受到的奥义伤害降低<color=#ff4a00>20%</color>。
,40521,狩垒·Ⅰ,助力英雄对战兽人时，防御提升<color=#ff4a00>300</color>点。
,40522,狩垒·Ⅰ,助力英雄对战兽人时，防御提升<color=#ff4a00>500</color>点。
,40523,狩垒·Ⅰ,助力英雄对战兽人时，防御提升<color=#ff4a00>800</color>点。
,40621,苍垒·Ⅰ,助力英雄对战异虫时，防御提升<color=#ff4a00>300</color>点。
,40622,苍垒·Ⅰ,助力英雄对战异虫时，防御提升<color=#ff4a00>500</color>点。
,40623,苍垒·Ⅰ,助力英雄对战异虫时，防御提升<color=#ff4a00>800</color>点。
,40721,光佑·Ⅰ,助力英雄对战亡灵时，防御提升<color=#ff4a00>300</color>点。
,40722,光佑·Ⅰ,助力英雄对战亡灵时，防御提升<color=#ff4a00>500</color>点。
,40723,光佑·Ⅰ,助力英雄对战亡灵时，防御提升<color=#ff4a00>800</color>点。
,40821,坚守·Ⅰ,助力英雄对战人族时，防御提升<color=#ff4a00>300</color>点。
,40822,坚守·Ⅰ,助力英雄对战人族时，防御提升<color=#ff4a00>500</color>点。
