,id,name
备注,怪物ID,名字
,10001,普通盗贼
,10002,部落精英战士
,10003,草原游侠
,10004,部落战士
,10005,金钱哥布林
,10006,鹿角兽
,10007,草原哥布林
,10008,阿噗
,10009,宝箱怪
,10010,草原蝎子
,10011,工蜂
,10012,哈蒙
,10013,丧尸法师
,10014,山岭巨人
,10015,武装熊人战士
,10016,先驱者一号
,10017,小石头人
,10018,巨骨熊
,10019,A型感染者
,10020,大鱼妖
,10021,黑色荆棘
,10022,绝世舞姬
,10023,狼人战士
,10024,鹿角兽队长
,10025,杀人蜂
,10026,武装狼人
,10027,蝎怪
,10028,鱼妖
,10029,大哥布林
,10030,兰奇
,10031,贪婪
,10032,卫队长莱克
,10033,狂化阿噗
,10034,鹿角怪
,10035,萨米尔
,10036,四蹄神
,10037,默希娅
,10038,感染的冒险者
,10039,寄居熊
,10040,僵尸老婆
,10041,卡司族阿噗
,10042,枯叶蜂蜂王
,10043,枯叶工蜂
,10044,泪目狼人
,10045,受惊的僵尸
,10046,采矿工兵
,10047,小鱼龙
,10048,要塞守卫官
,10049,萤火熊
,10050,锤子团首领
,10051,森林猎手
,10052,沙漠巨人
,10053,神秘兽
,10054,荒原女巫
,10055,红甲虫
,10056,黑甲虫
,11031,贪婪
,20101,西蒙
,20102,泰雷
,20103,兰奇
,20104,森慧
,20105,碧洛丝
,20106,檐鬼
,20107,该影
,20108,德鲁伊
,20201,温丽
,20301,爱林娜
,20302,爱琪
,20401,乔伊
,52001,战魂之灵
,52002,战魂之殇
,52003,黑骑士
,52004,战魂之灵火
,52005,战魂之灵冰
,52006,战魂之灵暗
,52007,战魂之灵光
,52008,暗黑战魂
,52009,白袍法师
,52010,黑暗法师
,52011,白银盾战
,52012,枭鹰
,52013,摩尼耶
,52014,合成怪
,52015,黑龙舰兵
,52016,精灵战士
,52017,精灵弓箭手
,52018,海魔
,52019,机械男孩
,52020,黑龙战士
,52021,黄金首领
,52022,机械石像
,52023,锡波
,52024,J博士
,701102,泰雷
,701103,兰奇
,802201,温丽
,805107,夜崎隐
,806201,温丽
,807301,爱琳娜
,812107,夜崎隐
,814102,泰雷
,1000078,不死丧尸
,1000079,熔岩丧尸
,1000080,扭曲丧尸
,1000081,禁卫督军莱克
,1000082,制杖丧尸
,1000083,制杖丧尸
,1000084,尸体
,1000085,左相·西莫斯
,1000086,制杖丧尸
,1000087,制杖丧尸
,1000091,丛林偷猎者
,1000092,铁甲哥布林
,1000093,先驱者1号
,1000094,丧尸士兵
,1000095,强盗珀纳
,1000096,食人怪奥顿
,1000097,先驱者1号
,1000098,食人酋长布鲁
,1000099,狐克斯
,1000100,诡烈僵尸
,1000101,毒尾蝎
,1000102,重锤卫队
,1000103,战魂之灵·火
,1000104,战魂之灵·冰
,1000105,战魂之灵·暗
,1000106,战魂之灵·光
,1000111,赤瞳战狼
,1000112,狐克斯
,1000113,碎魂狼王
,1000115,巨骨熊
,1000116,金钱哥布林
,1000117,山岩巨兽·塞恩
,1000118,深渊鱼王
,1000119,重装甲暴熊
,1000120,战魂之主
,1000121,左相府卫兵
,1000124,哈扎克
,1000125,哥布林格德
,1000127,白眼独狼
,1000128,巨刃鹿角兽
,1000129,巨刃鹿角兽
,1000130,食魂鹿角兽
,1000131,鹿角男爵尤克
,1000132,亡魂死徒
,1000133,亡魂死士
,1000134,黑骑士佩兰
,1000135,狮心魔骑巴兹
,1000136,野蛮孤狼
,1000137,狼爵士普洛
,1000138,魔尾蝎
,1000139,魔蝎王艾德
,1000140,贪婪
,1000143,沙河虫
,1000144,吞骨沙虫
,1000145,毒尾蝎
,1000146,沙原魔蝎斯科恩
,1000147,地下矿工
,1000148,地下矿工
,1000149,矮巨人钢锤
,1000150,矮巨人铁盾
,1000151,檐鬼
巫傀,1000153,巫傀
,1000154,女巫菲梅
,1000155,夜崎隐
,1000156,丛林开膛手
,1000157,鹿角兽
,1000158,森林熊
,1000159,加希诺
,1000160,枯叶蜂王
,1000166,强盗艾莉
,1000167,强盗瑞秋
,1000168,强盗头目巴娜
,1000169,强盗丽丽丝
,1000170,巨刃鹿角兽
,1000171,鹿角兽士兵
,1000172,鹿角兽士兵
,1000173,食魂鹿角兽
,1000174,鹿角兽酋长
,1000175,叛军统领
,1000176,叛军守卫
,1000177,默希娅
,1000178,不死丧尸
,1000179,熔岩丧尸
,1000180,失心丧尸
,1000182,幻阵之魂·冰
,1000183,幻阵之魂·火
,1000184,幻阵之魂·光
,1000185,幻阵之魂·暗
,1000186,亡魂死徒
,1000187,亡魂死士
,1000188,黑骑士迪亚
,1000189,狮心魔骑贝恩
,1000190,黑魔巫师
,1000192,武装哥布林
,1000193,伪装哥布林
,1000194,欺诈宝箱
,1000195,食人魔佣兵
,1000196,哈扎克
,1000197,白眼独狼
,1000198,野蛮孤狼
,1000199,野蛮孤狼
,1000200,白眼独狼
,1000201,野蛮孤狼
,1000202,碎魂狼王乌迪尔
,1000203,苍白獠牙塞特
,1000204,巨斧屠夫曼达
,1000205,刃牙姬希莉恩
,1000206,锤卫先锋马哈德
,1000207,锤卫战将贾布尔
,1000208,灰岩巨灵托卜
,1000209,血叶蜂后菲莉恩
,1000210,黑荆棘伊瓦莉娅
,1000211,游魂狂战奥克兰
,1000212,游魂战将古拉特
,1000213,丛林偷猎者
,1000214,野蛮孤狼
,1000215,妖灵女仆
,1000216,灰狐族卫
,1000217,毒尾蝎
,1000218,猎战鹿角兽
,1000219,赤叶蜂
,1000220,蓝晶熊
,1000221,异刃丧尸
,1000222,诡焰尸人
,1000223,幽刃丧尸
,1000224,游魂重甲卫
,1000225,矮巨人王黎恩特
,1000226,矿卫矮巨人
,1000228,魔导箱守卫萨泽
,1000229,魔导箱守卫波尔
,1000230,魔导箱守卫普坦
,1000232,叛军统领哈乌利
,1000233,叛军守卫
,1000234,沙河虫
,1000235,吞骨沙虫
,1000236,毒尾蝎
,1000237,沙原魔蝎斯科恩
,1000238,地下矿工
,1000239,矮巨人铁盾
,1000240,矮巨人铁盾
,1000241,矮巨人钢锤
,1000242,虎斑蜂
,1000243,玫瑰团追随者
,1000247,扭曲不死者
,1000248,糜烂不死者
,1000249,腐灼不死者
,1000250,魅魔修狄斯
,1000251,扭曲不死者
,1000252,糜烂不死者
,1000253,腐灼不死者
,1000255,荆棘花妖
,1000256,精灵族剑士
,1000257,精灵族射手
,1000258,魅魔修狄斯
,1000259,石像鬼塔比瑟
,1000260,蜘蛛女王艾达
,1000261,魔导箱守卫伊登
,1000262,魔导箱守卫哈伦
,1000263,魔导箱守卫科克
,1000264,扭曲不死者
,1000265,糜烂不死者
,1000266,腐灼不死者
,1000267,不死者尼普
,1000268,扭曲不死者
,1000269,糜烂不死者
,1000270,腐灼不死者
,1000271,双枪毒蝎
,1000272,荆棘花妖
,1000273,精灵族剑士
,1000274,精灵族射手
,1000275,魅魔修狄斯
,1000276,石像鬼塔比瑟
,1000277,双枪毒蝎
,1000278,蜘蛛女王艾达
,1000279,黑荆棘伊瓦莉娅
,1000280,血叶蜂后菲莉恩
,1000281,死灵法师桑德士
,1000282,巨斧屠夫曼达
,1000283,苍白獠牙塞特
,1000284,刃牙姬希莉恩
,1000285,隐叶猎手
,1000286,巨骨熊
,1000287,游魂先锋军
,1000289,武装哥布林
,1000290,发疯的哥布林
,1000292,食人魔佣兵
,1000293,白眼独狼
,1000294,隐雾狐
,1000295,白眼独狼
,1000296,碎魂狼王乌迪尔
,1000297,黑背熊
,1000298,邪冥领主弗德
,1000299,苍蓝领主拉弥娅
,1000300,石像领主厄迦
,1000301,亡魂死徒
,1000302,鹿角兽
,1000303,亡魂死士
,1000304,巨刃鹿角兽
,1000305,深渊毒角兽
,1000306,亡魂死徒
,1000307,亡魂死士
,1000308,暗黑骑士
,1000309,鹿角兽
,1000310,巨刃鹿角兽
,1000311,阔斧鹿角兽
,1000312,食魂鹿角兽
,1000313,魔影骑兵
,1000314,嗜血死神萨米尔
,1000315,失心丧尸
,1000316,矮巨人钢锤
,1000317,蚀魔狐
,1000318,杀人蜂
,1000319,橙翼蜂
,1000320,蓝铠骨魔
,1000321,枭鹰领主夏妮
,1000322,枭鹰领主夏妮
,1000323,哥布林探宝哨兵
,1000324,异化的改造体
,1000325,暗精灵不死者
,1000331,女巫菲梅
,1000332,主宰的魔族亡者
,1000333,绿林花妖
,1000334,蝎怪
,1000335,黑暗法师
,1000336,大女巫
,1000337,贪婪
,1000338,黑色荆棘
,1000339,绝世舞姬
,1000340,萨米尔
,1000341,默希娅
,1000342,蝎怪
,1000343,黑暗法师
,1000344,大女巫
,1000345,贪婪
,1000346,黑色荆棘
,1000347,绝世舞姬
,1000348,萨米尔
,1000349,默希娅
,1000350,蝎怪
,1000351,黑暗法师
,1000352,大女巫
,1000353,贪婪
,1000354,黑色荆棘
,1000355,绝世舞姬
,1000356,萨米尔
,1000357,默希娅
,1000358,蝎怪
,1000359,黑暗法师
,1000360,大女巫
,1000361,贪婪
,1000362,黑色荆棘
,1000363,绝世舞姬
,1000364,萨米尔
,1000365,魔化的龙骑守卫
,1000366,黑色蔷薇费玛
,1000368,游魂狂战奥克兰
,1000369,野蛮孤狼
,1000370,沙原毒蝎
,1000371,锤子团先锋
,1000372,斯塔克毒蝎
,1000373,矮巨人指挥官
,1000374,宝箱怪
,1000375,异雾鬼手
,1000376,烈火斧兽
,1000377,迷梦魔蛛
,1000378,遗忘徘徊者
,1000379,铁斧魔兵
,1000380,深红魔人
,1000381,石窟蝎怪
,1000382,幽藤巫医
,1000383,悲叹巫女
,1000384,鬼面恶魔
,1000385,罪恶之鞭
,1000386,憎恨血刃
,1000387,虚妄鬼手
,1000388,炽炎斧魔
,1000389,烈毒魔蛛
,1000390,邪魇支配者
,1000391,利斧尖兵
,1000392,赤血魔人
,1000393,地穴蝎兽
,1000394,森骨巫医
,1000395,逆潮巫女
,1000396,魔瞳恶魔
,1000397,荆棘之鞭
,1000398,银月逆刃
,1000399,邪纹鬼手达克
,1000400,熔岩巨兽索恩
,1000401,绯影魔蛛瑟西
,1000402,噩梦预言者凯文
,1000403,尖嚎锐斧巴克
,1000404,狂暴魔人贝尔特
,1000405,黯蚀蝎魔索恩斯
,1000406,冥夜巫医艾凛
,1000407,绯红巫女卡珊德
,1000408,恶魔领主克拉斯
,1000409,灵魂鞭挞者埃莉
,1000410,致命利刃希尔琳
,1000411,诡禁魔手之奥顿
,1000412,焚心巨斧之卡尔
,1000413,暗渊蛛姬之达莉
,1000414,堕落法王之帕克
,1000415,荒芜魔斧之伊凡
,1000416,苍澜怒火之德里
,1000417,寂静梦魇之琼斯
,1000418,深渊巫医之加尔
,1000419,薄暮巫女之米格
,1000420,恶魔主宰之伊拉
