,id,name,des
备注,特性id,名字,描述
,1011,物理屏障,大幅降低受到的物理伤害
,1012,物理屏障,大幅降低受到的物理伤害
,1021,魔能护盾,大幅降低受到的魔法伤害
,1022,魔能护盾,大幅降低受到的魔法伤害
,1031,少女敌意,攻击男性单位时，大幅提高暴击率
,1041,雄性统治,攻击女性单位时，大幅提高暴击率
,1051,反弹,反弹50%的伤害给对方
,1061,永固沼泽,限制对方援护与辅助技能
,1071,神之仲裁,免疫所有减益效果
,1081,惩戒,永久降低对方奥义值上限
,1091,野蛮鼓舞,对方死亡时，提升自身的攻击力与防御力
,1101,狂战,生命值越低，攻击力越高
,1111,生命天赋,额外提高初始生命值上限
,1121,攻击特长,提高攻击力
,1131,堡垒,提高防御力
,1141,暴击专精,提高暴击与暴击伤害
,1151,铁壁,提高格挡与格挡减伤
,1161,斩杀,对方生命值越低，对其造成的伤害越高
,1171,崩灭堆叠,降低对方防御力
,1181,救援延迟,有几率延长对方援护技能的冷却时间
,1191,免伤护盾,免疫一定次数的伤害
,1201,超负荷,增加对方奥义值的消耗
,1211,终极沉默,有几率封印对方的奥义技能
,1221,怒火叠击,增加暴击率与暴击伤害
,1231,冰霜恐惧,对冰元素的抗性较低，火元素抗性较高
,1241,火焰恐惧,对火元素的抗性较低，冰元素抗性较高
,1251,光明恐惧,对光元素的抗性较低，暗元素抗性较高
,1261,黑暗恐惧,对暗元素的抗性较低，光元素抗性较高
,1271,救援,有几率激活援助技能
,1281,压制,有几率打断对方的攻击
,1291,霸权,有几率触发额外的技能
,1301,生命偷取,每次攻击时，回复一定生命值
,1311,腐化,使对方中毒，且每次行动会损失生命值
,1321,致命腐化,使对方中毒，且每次行动会损失生命值
,1331,流血,给对方造成流血伤害
,1341,黑色诅咒,任意技能有概率封印目标所有技能
,3004,狂暴,提高攻击力与暴击伤害
,3001,吸血,技能自带吸血
,3005,贪婪变身,免疫终结伤害并回满血，本体变得更强
,3010,忽视防御,忽视目标防御和减伤属性
,4001,减伤,降低受到伤害5%
,4002,抗暴,抗暴+10%
,4003,格挡减伤,格挡减伤+15%
,4004,格挡,格挡+10%
,4005,闪避,闪避+10%
,4006,暴击减奥义值,暴击时目标奥义值-15点
,4007,格挡减奥义值,格挡时目标奥义值-15点
,4008,闪避减奥义值,闪避时目标奥义值-15点
,4009,降冷却,所有主动技能冷却上限降低10%
,4010,反伤,反弹15%伤害
,4011,嫉恶如仇,提高对boss的伤害10%
,4012,初始奥义值,前锋位时初始奥义值增加500
,5101,造成伤害+5%,造成伤害+5%
,5201,造成伤害+6%,造成伤害+6%
,5301,造成伤害+7%,造成伤害+7%
,5401,造成伤害+8%,造成伤害+8%
,5501,造成伤害+10%,造成伤害+10%
,5102,暴击率+10%,暴击率+10%
,5202,暴击率+12%,暴击率+12%
,5302,暴击率+14%,暴击率+14%
,5402,暴击率+16%,暴击率+16%
,5502,暴击率+18%,暴击率+18%
,5103,破格挡+12%,破格挡+12%
,5203,破格挡+14%,破格挡+14%
,5303,破格挡+16%,破格挡+16%
,5403,破格挡+18%,破格挡+18%
,5503,破格挡+20%,破格挡+20%
,5104,命中率+12%,命中率+12%
,5204,命中率+14%,命中率+14%
,5304,命中率+16%,命中率+16%
,5404,命中率+18%,命中率+18%
,5504,命中率+20%,命中率+20%
