,required,required,required,required
,int32,int32,string,int32
,level,needexp,title,packageid
备注,等级,升级所需经验,称号,礼包id
,1,300,"1级大佬",8000123
,2,500,"2级大佬",8000143
,3,700,"3级大佬",8000153
,4,1000,"4级大佬",8000163
,5,1000,"5级大佬",8000173
,6,1000,"6级大佬",8000183
,7,1000,"7级大佬",8000193
,8,1000,"8级大佬",8000203
,9,1000,"9级大佬",8000213
,10,1000,"10级大佬",8000223
,11,1000,"11级大佬",8000123
,12,1000,"12级大佬",8000143
,13,1000,"13级大佬",8000153
,14,1000,"14级大佬",8000163
,15,1000,"15级大佬",8000173
,16,1000,"16级大佬",8000183
,17,1000,"17级大佬",8000193
,18,1000,"18级大佬",8000203
,19,1000,"19级大佬",8000213
,20,1000,"20级大佬",8000223
,21,1000,"21级大佬",8000123
,22,1000,"22级大佬",8000143
,23,1000,"23级大佬",8000153
,24,1000,"24级大佬",8000163
,25,1000,"25级大佬",8000173
,26,1000,"26级大佬",8000183
,27,1000,"27级大佬",8000193
,28,1000,"28级大佬",8000203
,29,1000,"29级大佬",8000213
,30,1000,"30级大佬",8000223
,31,1000,"31级大佬",8000123
,32,1000,"32级大佬",8000143
,33,1000,"33级大佬",8000153
,34,1000,"34级大佬",8000163
,35,1000,"35级大佬",8000173
,36,1000,"36级大佬",8000183
,37,1000,"37级大佬",8000193
,38,1000,"38级大佬",8000203
,39,1000,"39级大佬",8000213
,40,1000,"40级大佬",8000223
,41,1000,"41级大佬",8000123
,42,1000,"42级大佬",8000143
,43,1000,"43级大佬",8000153
,44,1000,"44级大佬",8000163
,45,1000,"45级大佬",8000173
,46,1000,"46级大佬",8000183
,47,1000,"47级大佬",8000193
,48,1000,"48级大佬",8000203
,49,1000,"49级大佬",8000213
,50,1000,"50级大佬",8000223
,51,1000,"51级大佬",8000123
,52,1000,"52级大佬",8000143
,53,1000,"53级大佬",8000153
,54,1000,"54级大佬",8000163
,55,1000,"55级大佬",8000173
,56,1000,"56级大佬",8000183
,57,1000,"57级大佬",8000193
,58,1000,"58级大佬",8000203
,59,1000,"59级大佬",8000213
,60,1000,"60级大佬",8000223
,61,1000,"61级大佬",8000123
,62,1000,"62级大佬",8000143
,63,1000,"63级大佬",8000153
,64,1000,"64级大佬",8000163
,65,1000,"65级大佬",8000173
,66,1000,"66级大佬",8000183
,67,1000,"67级大佬",8000193
,68,1000,"68级大佬",8000203
,69,1000,"69级大佬",8000213
,70,1000,"70级大佬",8000223
,71,1000,"71级大佬",8000123
,72,1000,"72级大佬",8000143
,73,1000,"73级大佬",8000153
,74,1000,"74级大佬",8000163
,75,1000,"75级大佬",8000173
,76,1000,"76级大佬",8000183
,77,1000,"77级大佬",8000193
,78,1000,"78级大佬",8000203
,79,1000,"79级大佬",8000213
,80,1000,"80级大佬",8000223
,81,1000,"81级大佬",8000123
,82,1000,"82级大佬",8000143
,83,1000,"83级大佬",8000153
,84,1000,"84级大佬",8000163
,85,1000,"85级大佬",8000173
,86,1000,"86级大佬",8000183
,87,1000,"87级大佬",8000193
,88,1000,"88级大佬",8000203
,89,1000,"89级大佬",8000213
