,required,required,required,required,required,required,required,required,required,required,optional,repeated,optional,repeated
,uint32,string,string,uint32,uint32,uint32,uint32,float,float,float,int32,int32,string,int32
,levelID,name,desc,sceneID,sort,subsort,type,enterPosX,enterPosY,enterPosZ,audioClipID,stepClipID,loadBgName,AudioClipLoopID
备注,关卡ID,关卡名,关卡描述,资源名称,类型(-1客户端场景、0主城、1野外、2副本),子类型,"属性(2进制,地图限制)",入口坐标X,入口坐标Y(暂时添加，是否需要？？？),入口坐标Z,背景音乐,英雄脚步声,场景加载背景名,循环音乐（分号隔开
,0,启动场景,启动场景,0,0,0,0,0,0,0,1004,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,1,Loading场景,Loading场景,1,4,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,2,登录场景,登录场景,2,0,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,3,神谕会议场景,神谕会议场景,3,6,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,11,皇宫,皇宫,11,0,0,0,4.53,0,4.48,1028,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,12,主城_酒馆,主城_酒馆,12,0,0,0,4.53,0,4.48,1028,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,18,技能编辑,技能编辑,19,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,19,技能测试场景,技能测试场景,19,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,22,创建角色场景,创建角色场景,22,3,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,23,SpiderQ_Palace,SpiderQ_Palace,23,2,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,24,Annes_Mine,Annes_Mine,24,5,0,0,0,0,0,10007,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,25,Hill,Hill,25,2,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,27,副本_地下城,副本_地下城,27,2,0,0,29.12,0.05,-0.76,1003,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,28,副本_破阵,副本_破阵,28,2,2,0,450,0,150,1044,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,29,蜘蛛BOSS战,蜘蛛BOSS战,29,2,0,0,0,0,0,2046,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,30,FuBenHz,FuBenHz,30,2,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,51,竞技场战斗场景,竞技场战斗场景,51,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,52,主城训练场,主城训练场,52,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,53,鹿角兽战斗场景,鹿角兽战斗场景,53,5,0,0,0,0,0,10011,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10012;10013;10014
,54,狼人营地战斗场景,狼人营地战斗场景,54,5,0,0,0,0,0,10066,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10067;10068;10069;10070
,56,狂沙虫巢战斗场景,狂沙虫巢战斗场景,56,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,57,战斗_阿克莱斯,战斗_阿克莱斯,57,5,0,0,0,0,0,10043,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10005
,58,战斗_天空遗落城,战斗_天空遗落城,58,5,0,0,0,0,0,10038,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10039;10040;10041;10042
,59,战斗_露西墓地,战斗_露西墓地,59,5,0,0,0,0,0,10049,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10050;10051;10052;10053;10054;10055
,60,战斗_女巫古堡,战斗_女巫古堡,60,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,61,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,62,战斗_遗忘森林,战斗_遗忘森林,62,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,63,战斗_永夜森林,战斗_永夜森林,63,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,64,战斗_迷雾森林,战斗_迷雾森林,64,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,65,战斗_树心城,战斗_树心城,65,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,66,战斗_永夜墓地,战斗_永夜墓地,66,5,0,0,0,0,0,10020,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10021;10022;10023
,67,战斗_银母矿洞,战斗_银母矿洞,67,5,0,0,0,0,0,10020,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10021;10022;10023
,68,战斗_锤石军团,战斗_锤石军团,68,5,0,0,0,0,0,10020,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10021;10022;10023
,69,战斗_黄金立方,战斗_黄金立方,69,5,0,0,0,0,0,10020,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10021;10022;10023
,70,战斗_忘川河滩,战斗_忘川河滩,70,5,0,0,0,0,0,10020,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10021;10022;10023
,71,战斗_天空实验室,战斗_天空实验室,71,5,0,0,0,0,0,10020,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10021;10022;10023
,72,战斗_深海实验室,战斗_深海实验室,72,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,73,战斗_口袋岛,战斗_口袋岛,73,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,74,战斗_黑龙战舰,战斗_黑龙战舰,74,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,75,战斗_不冬岛,战斗_不冬岛,75,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,99,Lua测试场景,Lua测试场景,99,1,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,100,ATB战斗场景_LUA,ATB战斗场景_LUA,100,1,0,0,0,0,0,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,156,狂沙虫巢,狂沙虫巢,156,2,0,0,0,0,0,1031,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,157,副本_女巫古堡,副本_女巫古堡,157,2,0,0,0,0,0,1036,2280,"60,61,62,63,64,65,66,67,68,69,74,75",
,158,副本_银母矿洞,副本_银母矿洞,158,2,0,0,0,0,0,1009,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,159,副本_锤石军团,副本_锤石军团,159,2,0,0,-17.18434,8.851018,36.48024,1043,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,160,副本_树心城一层,副本_树心城一层,160,2,0,0,39.27336,14.16704,59.06499,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,161,副本_树心城二层,副本_树心城二层,161,2,0,0,820.4446,14.36252,97.0659,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,162,副本_树心城三层,副本_树心城三层,162,2,0,0,1050,0,150,1040,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,163,副本_永夜墓地,副本_永夜墓地,163,2,0,0,0,0,0,1030,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,164,副本_左相府,副本_左相府,164,2,0,0,0,0,0,1044,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,165,副本_立方矿地,副本_立方矿地,165,2,0,0,0,0,0,1057,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,166,副本_天空实验室,副本_天空实验室,166,2,0,0,17.51,7.63,35.45,1056,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,168,深海实验室,副本_深海实验室,168,2,0,0,6.953745,0.03062057,-2.924656,1058,2312,"60,61,62,63,64,65,66,67,68,69,74,75",
,170,黑龙战舰,副本_黑龙战舰,170,2,0,0,58.33,-3.52,-0.49,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,173,邪神降临,多人副本_邪神降临,173,2,0,0,0.35,18.51,-0.11,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,174,黑龙战舰,多英雄副本_黑龙战舰,174,2,0,0,21.71,-6.94,-20.56,1000,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,701,首相府,首相府,51,5,0,0,0,0,0,10007,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,702,温丽梦境,温丽梦境,24,5,0,0,0,0,0,10005,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,800,战斗教学1,战斗教学1,52,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,801,战斗教学2,战斗教学2,19,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,802,战斗教学3,战斗教学3,19,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,803,战斗教学4,战斗教学4,19,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,804,战斗教学5,战斗教学5,53,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,805,战斗教学6,战斗教学6,19,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,806,战斗教学7,战斗教学7,19,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,807,战斗教学8,战斗教学8,19,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,808,战斗教学9,战斗教学9,54,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,809,战斗教学10,战斗教学10,52,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,810,战斗教学,木禅vs檐鬼,62,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,811,Annes_Mine,Annes_Mine,24,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10026;10027;10028;10029;10030;10031
,812,战斗教学VS该隐,战斗教学VS该隐,53,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",10026;10027;10028;10029;10030;10031
,813,战斗教学14,战斗教学14,19,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,814,战斗教学15,战斗教学15,52,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,815,战斗教学16,战斗教学16,19,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,816,战斗教学17,战斗教学17,19,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,817,战斗教学18,战斗教学18,65,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,818,以此同时1,以此同时1,60,5,0,0,0,0,0,10002,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,819,战斗教学20,战斗教学20,69,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,820,以此同时3,以此同时4,54,5,0,0,0,0,0,10001,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,821,战斗教学20,战斗教学20,69,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,822,战斗教学22,战斗教学22,69,5,0,0,0,0,0,10025,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,823,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,824,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,825,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,826,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,827,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,828,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,829,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,830,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,831,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,832,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,833,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,834,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,835,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,836,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,837,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,838,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,839,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,840,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,841,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,842,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,843,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,844,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,845,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,846,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,847,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,848,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,849,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,850,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,851,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,852,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,853,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,854,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,855,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,856,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,857,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,858,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,859,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,860,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,861,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,862,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,863,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,864,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,865,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,866,战斗_沙漠,战斗_沙漠,61,5,0,0,0,0,0,10006,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,999,新手引导,新手引导,999,6,0,0,0,0,20,0,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,1000,卡诺萨城,Cronus City,10,0,0,0,-68.5,20.56,23.79,0,2270;2271;2272;2273;2274,"60,61,62,63,64,65,66,67,68,69,74,75",
,1001,自律联盟大厅,Alliance's Hall,33,0,0,0,14.28356,-1.8,18.5262,0,2270;2271;2272;2273;2274,"60,61,62,63,64,65,66,67,68,69,74,75",
,1002,王宫,Royal Palace of Cronus,11,0,0,0,0.2,0.01,21.29,1028,2270;2271;2272;2273;2274,"60,61,62,63,64,65,66,67,68,69,74,75",
,2006,纳雅王宫,Royal Palace of Nayar,11,0,0,0,0.2,0.01,21.29,1028,2270;2271;2272;2273;2274,"60,61,62,63,64,65,66,67,68,69,74,75",
,1004,酒馆,酒馆,12,0,0,0,4.53,0,4.48,1028,2010,"60,61,62,63,64,65,66,67,68,69,74,75",
,2001,雷鸣大陆,Continental Tonnerre,21,1,0,0,52.49,6.22,21.11,0,2265;2266;2267;2268;2269,"60,61,62,63,64,65,66,67,68,69,74,75",
探索层,2002,魔族高地,Inferno highlands,32,1,0,0,2.96,3.72,-5.59,1044,2265;2266;2267;2268;2269,"60,61,62,63,64,65,66,67,68,69,74,75",
,2003,古加尼尔,Kuugarneir,34,1,0,0,22.64,-0.01,18.65,0,2265;2266;2267;2268;2269,"60,61,62,63,64,65,66,67,68,69,74,75",
,2004,天空城,Skycity Nayar,36,1,0,0,95.21,-0.1,2,0,2265;2266;2267;2268;2269,"60,61,62,63,64,65,66,67,68,69,74,75",
,2005,失落群岛,The Lost Islands,35,1,0,0,37.48,6.06,-3.43,0,2265;2266;2267;2268;2269,"60,61,62,63,64,65,66,67,68,69,74,75",
,3003,哀嚎神殿,Howling Shrine,27,2,0,0,39.74322,0,-1.7,1013,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3004,哀嚎神殿,Howling Shrine,27,2,0,0,39.74322,0,-1.7,1013,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3011,饿狼巢穴,Wolfer Den,151,2,0,0,0.47,0,18.58,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
,3012,雷克兽巢穴,雷克兽巢穴,151,2,0,0,-2.58819,0,9.659258,1009,2260;2261;2262;2263;2264,"60,61,62,63,64,65,66,67,68,69,74,75",
