,required,required,required,required,required
,uint32,uint32,uint32,string,string
,sysID,id,typeID,limitData,info
备注,系统编号（个数）,唯一id,类型(主城类，探索层类),Tips日期限制,文字内容
,1,1,9,1,<color=#00FF00>小道消息: </color>据说因为桑妮祭司对单身男女速配太过热心，帝国将法定婚龄调高了0.5岁。
,2,2,9,1,<color=#00FF00>小道消息: </color>听说大家常把赫丽温丽由莉海莉搞混，文案表示他们自己也搞不清楚。
,3,3,9,1,<color=#00FF00>小道消息: </color>湖畔镇的湖叫白瑙湖，当地特产却叫青湖贝和青湖茶。外地人对此一脸懵逼。
,4,4,9,1,<color=#00FF00>小道消息: </color>左相：忘记我往日清澈俊美的容颜吧！现在请叫我阿克莱斯丧尸制造者。
,5,5,9,1,<color=#00FF00>小道消息: </color>仔细研究《雷鸣大陆志·一》就会发现，内容和《雷鸣大陆志·二》完全不同。
,6,6,9,1,<color=#00FF00>小道消息: </color>只要你肯为梦想而努力，就算每天只睡三个小时，你也……Zzzz
,7,7,9,1,<color=#00FF00>小道消息: </color>魔族为了了解帝国的军力部署情况，组团报名了雷鸣大陆十日游活动。
,8,8,9,1,<color=#00FF00>小道消息: </color>左相和右相的区别在于，他们在王座两旁的站位不同。
,9,9,9,1,<color=#00FF00>小道消息: </color>青湖贝和青湖茶千万不能配在一起喝，因为……青湖贝是用来吃的。
,10,10,9,1,<color=#00FF00>小道消息: </color>生活补给已经用完，联盟办事员本来准备吃土的，但一场大雪改变了他的伙食。
,11,11,9,1,<color=#00FF00>小道消息: </color>矮人酒馆的鸡肉面放的酱每次不同，如果每天吃一种，两周之后你就会……变胖。
,12,12,9,1,<color=#00FF00>小道消息: </color>商场大促销！即日起至罗兰历49年11月，边陲商场满500减30，可叠加，可跨店！
,13,13,9,1,<color=#00FF00>小道消息: </color>宇宙之中，万物相似，比如迷雾森林气候寒冷，那里的人也可以不用暖气过冬。
,14,14,9,1,<color=#00FF00>小道消息: </color>生活中泰雷的双刀一把削水果，一把切菜，而组合起来就变成食材雕刻专用刀具。
,15,15,9,1,<color=#00FF00>小道消息: </color>爱琳娜生气时会说一些少儿不宜的词汇，为了保持人设，这些词汇被无情的消音了……
,16,16,9,1,<color=#00FF00>小道消息: </color>爱琳娜有一个妹妹叫爱琪，然而她们并不姓“爱”，而是姓“贝米拉”，想不到吧！
,17,17,9,1,<color=#00FF00>小道消息: </color>如果你在卡诺萨城散步的时候突然掉线，不要惊慌，很可能是哥布林故意碰瓷。
,18,18,9,1,<color=#00FF00>小道消息: </color>温丽：梦想是一生中最重要的事——好了，我说完了，你该把枫糖松糕布丁给我了吧！
,19,19,9,1,<color=#00FF00>小道消息: </color>吸猫吗？来自律联盟大厅吧！不同脾气的主子，让你一次吸个够！
,20,20,9,1,<color=#00FF00>小道消息: </color>风车镇发生的意外事件总是特别多，至于为什么，你看看风车塔有没有栏杆就知道了。
,21,21,9,1,<color=#00FF00>小道消息: </color>参加雷鸣大陆七日游，千万记得去罗兰雕像后面体验一下大帝当年用过的厕所。
,22,22,9,1,<color=#00FF00>小道消息: </color>当你亲自到过玫瑰团营地就会发现，别说玫瑰了，那里连一朵花都没有。
,23,23,9,1,<color=#00FF00>小道消息: </color>警报机器人只会发出“滴”和“嘟”的声音，因而能和阿噗族进行完美交流。
,24,24,9,1,<color=#00FF00>小道消息: </color>女巫并不总是熬制毒药，她们还会熬制乳酪牛排汤、芝士鱼子酱和鲜蔬大杂烩。
,25,25,9,1,<color=#00FF00>小道消息: </color>如果你们有好的防脱发秘方可以介绍给风车镇的麦提，他才28岁就失去了发际线……
