,required,optional,optional,optional,repeated,required,required,repeated,optional
,uint32,string,string,string,uint32,uint32,uint32,uint32,int32
,id,effectPath,iconPath,defaultAnim,talk_ids,talk_time,talk_wait_time,dialog_ids,trap_stay
备注,npcGroupID,魔法阵路径,显示图标,默认动作,气泡id组,气泡显示时长,等待时间,对话id组,0 陷阱触发方式不变 1 陷阱停留触发
,12001,Prefab/Effect/Effect_Scene_YWchuansongmen.prefab,,,,0,0,,0
,20046,,Textures/Atlas/Dyn/CharacterCommonHead/Yuro.png,cg01,,0,0,,0
,20092,,Textures/Atlas/Dyn/CharacterCommonHead/Godofdeath.png,cg02,,0,0,,0
,20109,,Textures/Atlas/Dyn/CharacterCommonHead/Thairay01.png,cg01,,0,0,,0
,20111,,Textures/Atlas/Dyn/CharacterCommonHead/Greedy.png,cg03,,0,0,,0
,20112,,Textures/Atlas/Dyn/CharacterCommonHead/IronwallThomas.png,,,0,0,,0
,20113,,Textures/Atlas/Dyn/CharacterCommonHead/Pierre.png,,,0,0,,0
,20114,,Textures/Atlas/Dyn/CharacterCommonHead/Gilardino.png,,,0,0,,0
,20115,,Textures/Atlas/Dyn/CharacterCommonHead/Manycats.png,,,0,0,,0
,20179,,Textures/Atlas/Dyn/CharacterCommonHead/Greedy.png,cg04,,0,0,,0
,20226,,Textures/Atlas/Dyn/CharacterCommonHead/Willies.png,,,0,0,,0
,20276,,Textures/Atlas/Dyn/CharacterCommonHead/Zombiewife.png,cg01,,0,0,,0
,20277,,,cg01,,0,0,,0
,20278,,,cg03,,0,0,,0
,20280,Prefab/Effect/Effect_CG_zuoxiang@shifa.prefab,,,,0,0,,0
,20281,Prefab/Effect/Effect_CG_zuoxiang@guangmu.prefab,,,,0,0,,0
,20323,,,,,0,0,,0
,20324,,,,,0,0,,0
,20325,,,,,0,0,,0
,20326,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,20335,,,,,0,0,,0
,20337,,,,,0,0,,0
,20338,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_an.prefab,,,,0,0,,0
,20339,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_shui.prefab,,,,0,0,,0
,20340,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20350,,,die_forever,,0,0,,0
,20351,,,die_forever,,0,0,,0
,20352,,,die_forever,,0,0,,0
,20353,,,die_forever,,0,0,,0
,20354,,,die_forever,,0,0,,0
,20355,,,die_forever,,0,0,,0
,20356,,,die_forever,,0,0,,0
,20357,,,die_forever,,0,0,,0
,20358,,,die_forever,,0,0,,0
,20359,,,die_forever,,0,0,,0
,20360,,,die_forever,,0,0,,0
,20361,,,die_forever,,0,0,,0
,20362,,,die_forever,,0,0,,0
,20363,,,die_forever,,0,0,,0
,20364,,,die_forever,,0,0,,0
,20365,,,die_forever,,0,0,,0
,20366,,,die_forever,,0,0,,0
,20367,,,die_forever,,0,0,,0
,20368,,,die_forever,,0,0,,0
,20369,,,die_forever,,0,0,,0
,20370,,,die_forever,,0,0,,0
,20414,,,die_forever,,0,0,,0
,20416,,Textures/Atlas/Dyn/CharacterCommonHead/teenageboy.png,cg01,,0,0,,0
,20417,,Textures/Atlas/Dyn/CharacterCommonHead/Herly2.png,cg01,,0,0,,0
,20430,Prefab/Effect/Scene/Effect_Scene_mozuzhixin_chuansongmen.prefab,,,,0,0,,0
,20480,,,,,0,0,,0
,20481,,,,,0,0,,0
,20486,,,,,0,0,,0
,20565,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,20577,Prefab/Effect/Effect_Scene_YWchuansongmen.prefab,,,,0,0,,0
,20613,,,die_forever,,0,0,,0
,20614,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20615,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20616,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20617,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20618,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20636,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20637,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20638,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20662,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20663,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20664,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20667,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20668,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20669,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20699,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20700,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20701,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20702,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20703,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20710,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20711,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_shui.prefab,,,,0,0,,0
,20712,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20713,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_shui.prefab,,,,0,0,,0
,20714,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20719,,,die,,0,0,,0
,20727,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20728,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20729,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20730,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20731,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20737,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20738,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_shui.prefab,,,,0,0,,0
,20739,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20740,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_shui.prefab,,,,0,0,,0
,20741,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20747,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20748,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20749,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20750,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20751,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20756,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20757,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20758,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20759,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20760,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20765,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20766,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_shui.prefab,,,,0,0,,0
,20767,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20768,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_shui.prefab,,,,0,0,,0
,20769,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20775,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20776,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20777,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20778,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20779,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20784,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20785,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20786,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20787,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20788,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20793,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20794,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20795,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20796,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20797,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20802,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20803,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20804,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20805,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20806,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20811,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20812,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20813,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20814,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20815,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20820,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20821,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
,20822,Prefab/Effect/Scene/Effect_Scenemoxin_fengyinfazhen_huo.prefab,,,,0,0,,0
