,required,optional,optional
,uint32,string,string
,id,headPath,normalHalfPath
备注,id,标准头像,标准半身像
,100,Textures/Atlas/Dyn/CharacterCommonHead/Lancy.png,Textures/Atlas/Dyn/CharacterHalfBody/Lancy.png
西蒙,101,Textures/Atlas/Dyn/CharacterCommonHead/simone.png,Textures/Atlas/Dyn/CharacterHalfBody/Simonnewe.png
泰雷,102,Textures/Atlas/Dyn/CharacterCommonHead/Thairay.png,Textures\Atlas\Dyn\CharacterHalfBody\Thairay.png
兰奇黑,103,Textures/Atlas/Dyn/CharacterCommonHead/LancyBlack.png,Textures\Atlas\Dyn\CharacterHalfBody\LancyBlack.png
,104,Textures/Atlas/Dyn/CharacterCommonHead/Muchan.png,Textures/Atlas/Dyn/CharacterHalfBody/Muchan.png
,105,Textures/Atlas/Dyn/CharacterCommonHead/Arwen.png,Textures/Atlas/Dyn/CharacterHalfBody/Arwenthinks.png
,106,Textures/Atlas/Dyn/CharacterCommonHead/Aghost.png,Textures/Atlas/Dyn/CharacterHalfBody/Aghost.png
,107,Textures/Atlas/Dyn/CharacterCommonHead/Cain.png,Textures/Atlas/Dyn/CharacterHalfBody/Cain.png
,108,Textures/Atlas/Dyn/CharacterCommonHead/Druid.png,Textures/Atlas/Dyn/CharacterHalfBody/Druid.png
,112,Textures/Atlas/Dyn/CharacterCommonHead/Miaer.png,Textures/Atlas/Dyn/CharacterHalfBody/Miranda.png
温丽,201,Textures/Atlas/Dyn/CharacterCommonHead/Wenly.png,Textures\Atlas\Dyn\CharacterHalfBody\Wenly.png
爱琳娜,301,Textures/Atlas/Dyn/CharacterCommonHead/Elena.png,Textures\Atlas\Dyn\CharacterHalfBody\Elena.png
爱琪,302,Textures/Atlas/Dyn/CharacterCommonHead/Rose.png,Textures\Atlas\Dyn\CharacterHalfBody\Elecy.png
,401,Textures/Atlas/Dyn/CharacterCommonHead/Joey.png,Textures/Atlas/Dyn/CharacterHalfBody/Joey.png
诺尔,1000,Textures/Atlas/Dyn/CharacterCommonHead/Andrew.png,Textures\Atlas\Dyn\CharacterHalfBody\Andrew.png
黑谷,1001,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\DarkGrains.png
薇莉丝,1002,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\ResearchInstituteofBaixier.png
莱克,1003,Textures/Atlas/Dyn/CharacterCommonHead/Captain.png,Textures\Atlas\Dyn\CharacterHalfBody\Captain.png
旅馆老板,1051,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
修船机器人,1168,Textures\Atlas\Dyn\CharacterCommonHead\default.png,Textures\Atlas\Dyn\CharacterHalfBody\ShipRepairRobot.png
乞丐,1169,Textures\Atlas\Dyn\CharacterCommonHead\Beggar.png,Textures\Atlas\Dyn\CharacterHalfBody\Beggar.png
气球女孩小雅,1170,Textures\Atlas\Dyn\CharacterCommonHead\TheballoongirlXiaoya.png,Textures\Atlas\Dyn\CharacterHalfBody\TheballoongirlXiaoya.png
小树灵,1171,Textures\Atlas\Dyn\CharacterCommonHead\XiaoShuLing.png,Textures\Atlas\Dyn\CharacterHalfBody\XiaoShuLing.png
歌姬露娜,1173,Textures\Atlas\Dyn\CharacterCommonHead\DivaLuna.png,Textures\Atlas\Dyn\CharacterHalfBody\DivaLuna.png
吟游诗人玛门,1175,Textures\Atlas\Dyn\CharacterCommonHead\TheBardofMammon.png,Textures\Atlas\Dyn\CharacterHalfBody\TheBardofMammon.png
卫兵,2001,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\SilverShieldwar.png
村民,2019,Textures/Atlas/Dyn/CharacterCommonHead/default.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
狂化阿噗,2020,Textures/Atlas/Dyn/CharacterCommonHead/CrazyMichel.png,Textures\Atlas\Dyn\CharacterHalfBody\CrazyMichel.png
鹿角兽队长,2021,Textures/Atlas/Dyn/CharacterCommonHead/Monsterdeer.png,Textures\Atlas\Dyn\CharacterHalfBody\default.png
