,required,required,required
,uint32,uint32,uint32
,id,sort_id,level
备注,成就id,竞技成就分类id,分类等级
,1010516,1,1
,1010517,1,2
,1010518,1,3
,1010519,1,4
,1010520,1,5
,1010521,1,6
,1010522,1,7
,1010523,1,8
,1010524,1,9
,1010525,1,10
,1010526,2,1
,1010527,2,2
,1010528,2,3
,1010529,2,4
,1010530,2,5
,1010531,2,6
,1010532,2,7
,1010533,2,8
,1010534,2,9
,1010535,2,10
,1010536,2,11
,1010537,2,12
,1010538,2,13
,1010539,2,14
,1010540,2,15
,1010541,2,16
,1010542,2,17
,1010543,2,18
,1010544,3,1
,1010545,3,2
,1010546,3,3
,1010547,3,4
,1010548,3,5
,1010549,3,6
,1010550,3,7
,1010551,3,8
,1010552,3,9
,1010553,3,10
,1010554,3,11
,1010555,3,12
,1010556,3,13
,1010557,3,14
,1010558,3,15
,1010559,3,16
,1010560,3,17
,1010561,3,18
,1010562,4,1
,1010563,4,2
,1010564,4,3
,1010565,4,4
,1010566,4,5
,1010567,4,6
,1010568,4,7
,1010569,4,8
,1010570,4,9
,1010571,4,10
,1010572,4,11
,1010573,4,12
,1010574,4,13
,1010575,4,14
,1010576,4,15
,1010577,4,16
,1010578,4,17
,1010579,4,18
