,required,required,required,required
,uint32,uint32,uint32,uint32
,id,achievement_lv,achievement_need_point,achievement_award_id
备注,id,成就等级,所需点数,奖励id
,1,1,0,0
,2,2,20,7000135
,3,3,26,7000136
,4,4,38,7000137
,5,5,56,7000138
,6,6,80,7000139
,7,7,110,7000140
,8,8,146,7000141
,9,9,188,7000142
,10,10,236,7000143
,11,11,290,7000144
,12,12,350,7000145
,13,13,438,7000146
,14,14,534,7000147
,15,15,638,7000148
,16,16,750,7000149
,17,17,870,7000150
,18,18,998,7000151
,19,19,1134,7000152
,20,20,1300,7000153
,21,21,1500,7000154
