,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,min,max,data1,data2
备注,系统流水,类型ID,战斗力比值区间的最小值,战斗力比值区间的最大值,表示英雄造成的伤害的调整系统（万分比）,表示英雄受到的伤害的调整系统（万分比）
,1,1,0,9000,9000,12000
,2,1,9000,10000,10000,10000
,3,1,10000,10800,10500,9000
,4,1,10800,11600,11500,8000
,5,1,11600,12400,13000,7000
,6,1,12400,13200,15000,6000
,7,1,13200,999999,18000,5000
,8,2,0,7500,8000,12000
,9,2,7500,9000,9000,11000
,10,2,9000,10800,10000,10000
,11,2,10800,12500,11000,9000
,12,2,12500,15000,12000,8000
,13,2,15000,18000,13000,7000
,14,2,18000,999999,14000,6000
