,required,required,required,required,required
,uint32,uint32,string,uint32,uint32
,id,arrest_id,taskid,monstergroup_id,award_id
备注,流水ID,悬赏ID,任务ID,怪物组ID,奖励ID
,1,11,40132;40162,900469,2000388
,2,12,40133;40163,900470,2000389
,3,13,40134;40164,900471,2000390
,4,21,40135;40165,900472,2000391
,5,22,40136;40166,900473,2000392
,6,23,40137;40167,900474,2000393
,7,31,40138;40168,900475,2000394
,8,32,40139;40169,900476,2000395
,9,33,40140;40170,900477,2000396
,10,41,40141;40171,900478,2000397
,11,42,40142;40172,900479,2000398
,12,43,40143;40173,900480,2000399
,13,51,40144;40174,900481,2000400
,14,52,40145;40175,900482,2000401
,15,53,40146;40176,900483,2000402
,16,61,40147;40177,900484,2000403
,17,62,40148;40178,900485,2000404
,18,63,40149;40179,900486,2000405
,19,71,40150;40180,900487,2000406
,20,72,40151;40181,900488,2000407
,21,73,40152;40182,900489,2000408
,22,81,40153;40183,900490,2000409
,23,82,40154;40184,900491,2000410
,24,83,40155;40185,900492,2000411
,25,91,40156;40186,900493,2000412
,26,92,40157;40187,900494,2000413
,27,93,40158;40188,900495,2000414
,28,101,40159;40189,900496,2000415
,29,102,40160;40190,900497,2000416
,30,103,40161;40191,900498,2000417
,31,111,40192;40222,900499,2000418
,32,112,40193;40223,900500,2000419
,33,113,40194;40224,900501,2000420
,34,121,40195;40225,900502,2000421
,35,122,40196;40226,900503,2000422
,36,123,40197;40227,900504,2000423
,37,131,40198;40228,900505,2000424
,38,132,40199;40229,900506,2000425
,39,133,40200;40230,900507,2000426
,40,141,40201;40231,900508,2000427
,41,142,40202;40232,900509,2000428
,42,143,40203;40233,900510,2000429
,43,151,40204;40234,900511,2000430
,44,152,40205;40235,900512,2000431
,45,153,40206;40236,900513,2000432
,46,161,40207;40237,900514,2000433
,47,162,40208;40238,900515,2000434
,48,163,40209;40239,900516,2000435
,49,171,40210;40240,900517,2000436
,50,172,40211;40241,900518,2000437
,51,173,40212;40242,900519,2000438
,52,181,40213;40243,900520,2000439
,53,182,40214;40244,900521,2000440
,54,183,40215;40245,900522,2000441
,55,191,40216;40246,900523,2000442
,56,192,40217;40247,900524,2000443
,57,193,40218;40248,900525,2000444
,58,201,40219;40249,900526,2000445
,59,202,40220;40250,900527,2000446
,60,203,40221;40251,900528,2000447
,61,211,40252;40282,900530,2000450
,62,212,40253;40283,900531,2000451
,63,213,40254;40284,900532,2000452
,64,221,40255;40285,900533,2000453
,65,222,40256;40286,900534,2000454
,66,223,40257;40287,900535,2000455
,67,231,40258;40288,900536,2000456
,68,232,40259;40289,900537,2000457
,69,233,40260;40290,900538,2000458
,70,241,40261;40291,900539,2000459
,71,242,40262;40292,900540,2000460
,72,243,40263;40293,900541,2000461
,73,251,40264;40294,900542,2000462
,74,252,40265;40295,900543,2000463
,75,253,40266;40296,900544,2000464
,76,261,40267;40297,900545,2000465
,77,262,40268;40298,900546,2000466
,78,263,40269;40299,900547,2000467
