,required,required,required,required
,uint32,uint32,uint32,uint32
,id,award_id,item_id,item_num
备注,id,奖励id,物品id,物品数量
,1,6000096,3011013,1
,2,6000097,3011013,2
,3,6000098,3011013,3
,4,6000099,3011013,4
,5,6000100,3011013,5
,6,6000101,3012013,1
,7,6000102,3012013,2
,8,6000103,3012013,3
,9,6000104,3012013,4
,10,6000105,3012013,5
,11,6000106,3013013,1
,12,6000107,3013013,2
,13,6000108,3013013,3
,14,6000109,3013013,4
,15,6000110,3013013,5
,16,6000111,3011023,1
,17,6000112,3011023,2
,18,6000113,3011023,3
,19,6000114,3011023,4
,20,6000115,3011023,5
,21,6000116,3013023,1
,22,6000117,3013023,2
,23,6000118,3013023,3
,24,6000119,3013023,4
,25,6000120,3013023,5
,26,6000121,3011033,1
,27,6000122,3011033,2
,28,6000123,3011033,3
,29,6000124,3011033,4
,30,6000125,3011033,5
,31,6000126,3011044,1
,32,6000127,3011044,2
,33,6000128,3011044,3
,34,6000129,3011044,4
,35,6000130,3011044,5
,36,6000131,3011054,1
,37,6000132,3011054,2
,38,6000133,3011054,3
,39,6000134,3011054,4
,40,6000135,3011054,5
,41,6000136,3011064,1
,42,6000137,3011064,2
,43,6000138,3011064,3
,44,6000139,3011064,4
,45,6000140,3011064,5
,46,6000141,3011074,1
,47,6000142,3011074,2
,48,6000143,3011074,3
,49,6000144,3011074,4
,50,6000145,3011074,5
,51,6000146,3011084,1
,52,6000147,3011084,2
,53,6000148,3011084,3
,54,6000149,3011084,4
,55,6000150,3011084,5
,56,6000151,3014014,1
,57,6000152,3014014,2
,58,6000153,3014014,3
,59,6000154,3014014,4
,60,6000155,3014014,5
,61,6000096,3010013,5
,62,6000097,3010013,10
,63,6000098,3010013,15
,64,6000099,3010013,20
,65,6000100,3010013,30
,66,6000101,3010013,5
,67,6000102,3010013,10
,68,6000103,3010013,15
,69,6000104,3010013,20
,70,6000105,3010013,30
,71,6000106,3010013,5
,72,6000107,3010013,10
,73,6000108,3010013,15
,74,6000109,3010013,20
,75,6000110,3010013,30
,76,6000111,3010013,5
,77,6000112,3010013,10
,78,6000113,3010013,15
,79,6000114,3010013,20
,80,6000115,3010013,30
,81,6000116,3010013,5
,82,6000117,3010013,10
,83,6000118,3010013,15
,84,6000119,3010013,20
,85,6000120,3010013,30
,86,6000121,3010013,5
,87,6000122,3010013,10
,88,6000123,3010013,15
,89,6000124,3010013,20
,90,6000125,3010013,30
,91,6000126,3010013,5
,92,6000127,3010013,10
,93,6000128,3010013,15
