,required,required,required,required
,uint32,uint32,uint32,uint32
,id,times_type,times,cost
备注,流水号,次数类型,第几次,花费
购买竞技场挑战次数花费,1,9,1,50
,2,9,2,100
,3,9,3,100
,4,9,4,150
,5,9,5,150
,6,9,6,150
,7,9,7,200
,8,9,8,200
,9,9,9,200
,10,9,10,300
好友分享次数,11,15,1,100
,12,15,2,200
,13,15,3,300
,14,15,4,400
,15,15,5,500
,16,15,6,600
,17,15,7,700
,18,15,8,800
,19,15,9,900
,20,15,10,1000
,21,15,11,1100
,22,15,12,1200
,23,15,13,1300
,24,15,14,1400
,25,15,15,1500
,201,2,1,100
,202,2,2,200
,203,2,3,300
,204,2,4,500
,205,2,5,500
,1001,10,1,50
,1002,10,2,100
,1003,10,3,150
,1004,10,4,200
,1005,10,5,300
,4901,49,1,10
,4902,49,2,20
,4903,49,3,30
,4904,49,4,40
,4905,49,5,50
,4906,49,6,60
,4907,49,7,70
,4908,49,8,80
,4909,49,9,90
,4910,49,10,100
