,required,required,required,required
,uint32,uint32,uint32,uint32
,id,type,count,award_id
备注,id,活动类型id,签到次数,奖励id
,1000,1,1,7000055
,1001,1,2,7000056
,1002,1,3,7000057
,1003,1,4,7000058
,1004,1,5,7000059
,1005,1,6,7000060
,1006,1,7,7000061
,1007,1,8,7000062
,1008,1,9,7000063
,1009,1,10,7000064
,1010,1,11,7000065
,1011,1,12,7000066
,1012,1,13,7000067
,1013,1,14,7000068
,1014,1,15,7000069
,1015,1,16,7000070
,1016,1,17,7000071
,1017,1,18,7000072
,1018,1,19,7000073
,1019,1,20,7000074
,1020,1,21,7000075
,1021,1,22,7000076
,1022,1,23,7000077
,1023,1,24,7000078
,1024,1,25,7000079
,1025,1,26,7000080
,1026,1,27,7000081
,1027,1,28,7000082
,1028,1,29,7000083
,1029,1,30,7000084
,1030,2,10,7000085
,1031,2,30,7000086
,1032,2,60,7000087
,1033,2,100,7000088
,1034,2,150,7000089
,1035,2,200,7000090
,1036,2,250,7000091
,1037,2,300,7000092
,1038,2,350,7000093
,1039,2,400,7000094
,1040,2,450,7000123
,1041,2,500,7000124
,1042,2,550,7000125
,1043,2,600,7000126
,1044,2,650,7000127
,1045,2,700,7000128
,1046,2,750,7000129
,1047,2,800,7000130
,1048,2,850,7000131
,1049,2,900,7000132
,1050,2,950,7000133
,1051,2,1000,7000134
