,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,monstergroup_id,conditions1,data1,conditions2,data2,conditions3,data3,first_bounses
备注,关卡ID,怪物组ID,星级条件,数据,星级条件,数据,星级条件,数据,首杀奖励
,101,800080,1,0,9,0,6,2,0
,102,800081,1,0,9,0,5,30,1000262
,103,800082,1,0,9,0,7,2,0
,104,800083,1,0,2,1,9,0,0
,105,800084,1,0,9,0,6,2,1000263
,106,800085,1,0,9,0,5,50,0
,107,800086,1,0,9,0,5,30,0
,201,800087,1,0,2,1,9,0,0
,202,800088,1,0,9,0,6,3,0
,203,800089,1,0,9,0,5,30,1000264
,204,800090,1,0,9,0,6,2,0
,205,800091,1,0,9,0,7,2,0
,206,800092,1,0,9,0,6,3,1000265
,207,800093,1,0,9,0,5,30,0
,301,800094,1,0,2,1,9,0,0
,302,800095,1,0,9,0,6,3,0
,303,800096,1,0,9,0,7,2,0
,304,800097,1,0,9,0,4,105,1000266
,305,800098,1,0,9,0,4,104,0
,306,800099,1,0,9,0,5,30,0
,307,800100,1,0,2,1,9,0,1000267
,401,800101,1,0,9,0,4,102,0
,402,800102,1,0,9,0,7,2,1000268
,403,800103,1,0,2,1,9,0,0
,404,800104,1,0,9,0,4,105,0
,405,800105,1,0,9,0,5,30,1000269
,406,800106,1,0,9,0,6,3,0
,407,800107,1,0,2,1,9,0,0
,501,800108,1,0,9,0,5,30,0
,502,800109,1,0,9,0,4,103,0
,503,800110,1,0,2,1,9,0,1000270
,504,800111,1,0,9,0,6,2,0
,505,800112,1,0,2,1,9,0,0
,506,800113,1,0,9,0,6,3,1000271
,507,800114,1,0,9,0,4,105,0
,601,800134,1,0,9,0,4,103,0
,602,800135,1,0,9,0,4,106,0
,603,800136,1,0,9,0,5,30,0
,604,800137,1,0,9,0,5,30,7000748
,605,800138,1,0,9,0,6,3,0
,606,800139,1,0,2,1,9,0,0
,607,800140,1,0,9,0,4,108,7000749
,701,800141,1,0,9,0,6,3,0
,702,800142,1,0,9,0,5,30,7000750
,703,800143,1,0,9,0,7,2,0
,704,800144,1,0,2,1,9,0,0
,705,800145,1,0,9,0,6,2,0
,706,800146,1,0,9,0,5,50,7000751
,707,800147,1,0,9,0,5,30,0
,801,800148,1,0,2,1,9,0,0
,802,800149,1,0,9,0,6,3,0
,803,800150,1,0,9,0,5,30,7000752
,804,800151,1,0,9,0,6,2,0
,805,800152,1,0,9,0,7,2,0
,806,800153,1,0,9,0,4,105,7000753
,807,800154,1,0,9,0,5,30,0
,901,800155,1,0,2,1,9,0,0
,902,800156,1,0,9,0,6,3,0
,903,800157,1,0,9,0,7,2,0
,904,800158,1,0,9,0,4,105,7000754
,905,800159,1,0,9,0,4,104,0
,906,800160,1,0,9,0,5,30,0
,907,800161,1,0,2,1,9,0,7000755
,1001,800162,1,0,2,1,9,0,0
,1002,800163,1,0,9,0,5,30,7000756
,1003,800164,1,0,9,0,6,2,0
,1004,800165,1,0,2,1,9,0,0
,1005,800166,1,0,9,0,5,30,7000757
,1006,800167,1,0,2,1,9,0,0
,1007,800168,1,0,9,0,6,2,0
,1101,800169,1,0,9,0,5,30,0
,1102,800170,1,0,9,0,4,103,0
,1103,800171,1,0,2,1,9,0,7000758
,1104,800172,1,0,9,0,6,2,0
,1105,800173,1,0,2,1,9,0,0
,1106,800174,1,0,9,0,6,3,7000759
,1107,800175,1,0,9,0,7,2,0
,1201,800176,1,0,9,0,4,103,0
,1202,800177,1,0,9,0,4,106,0
,1203,800178,1,0,9,0,5,30,0
,1204,800179,1,0,9,0,5,30,7000760
,1205,800180,1,0,9,0,6,3,0
,1206,800181,1,0,2,1,9,0,0
,1207,800182,1,0,9,0,6,2,7000761
