,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32
,id,type,add_type,type_value,add_value
备注,ID,类型(1英雄2幻兽),容量增加类型（1是战队等级2是VIP等级）,容量增加等级,经验球容量
,1,1,1,1,100000000
,2,1,1,2,100000000
,3,1,1,3,100000000
,4,1,1,4,100000000
,5,1,1,5,100000000
,6,1,1,6,100000000
,7,1,1,7,100000000
,8,1,1,8,100000000
,9,1,1,9,100000000
,10,1,1,10,100000000
,11,1,1,11,100000000
,12,1,1,12,100000000
,13,1,1,13,100000000
,14,1,1,14,100000000
,15,1,1,15,100000000
,16,1,1,16,100000000
,17,1,1,17,100000000
,18,1,1,18,100000000
,19,1,1,19,100000000
,20,1,1,20,100000000
,21,1,1,21,100000000
,22,1,1,22,100000000
,23,1,1,23,100000000
,24,1,1,24,100000000
,25,1,1,25,100000000
,26,1,1,26,100000000
,27,1,1,27,100000000
,28,1,1,28,100000000
,29,1,1,29,100000000
,30,1,1,30,100000000
,31,1,1,31,100000000
,32,1,1,32,100000000
,33,1,1,33,100000000
,34,1,1,34,100000000
,35,1,1,35,100000000
,36,1,1,36,100000000
,37,1,1,37,100000000
,38,1,1,38,100000000
,39,1,1,39,100000000
,40,1,1,40,100000000
,41,1,1,41,100000000
,42,1,1,42,100000000
,43,1,1,43,100000000
,44,1,1,44,100000000
,45,1,1,45,100000000
,46,1,1,46,100000000
,47,1,1,47,100000000
,48,1,1,48,100000000
,49,1,1,49,100000000
,50,1,1,50,100000000
,51,1,1,51,100000000
,52,1,1,52,100000000
,53,1,1,53,100000000
,54,1,1,54,100000000
,55,1,1,55,100000000
,56,1,1,56,100000000
,57,1,1,57,100000000
,58,1,1,58,100000000
,59,1,1,59,100000000
,60,1,1,60,100000000
,61,1,1,61,100000000
,62,1,1,62,100000000
,63,1,1,63,100000000
,64,1,1,64,100000000
,65,1,1,65,100000000
,66,1,1,66,100000000
,67,1,1,67,100000000
,68,1,1,68,100000000
,69,1,1,69,100000000
,70,1,1,70,100000000
,71,1,1,71,100000000
,72,1,1,72,100000000
,73,1,1,73,100000000
,74,1,1,74,100000000
,75,1,1,75,100000000
,76,1,1,76,100000000
,77,1,1,77,100000000
,78,1,1,78,100000000
,79,1,1,79,100000000
,80,1,1,80,100000000
,81,2,1,1,100000000
,82,2,1,2,100000000
,83,2,1,3,100000000
,84,2,1,4,100000000
,85,2,1,5,100000000
,86,2,1,6,100000000
,87,2,1,7,100000000
,88,2,1,8,100000000
,89,2,1,9,100000000
,90,2,1,10,100000000
,91,2,1,11,100000000
,92,2,1,12,100000000
,93,2,1,13,100000000
,94,2,1,14,100000000
,95,2,1,15,100000000
,96,2,1,16,100000000
,97,2,1,17,100000000
,98,2,1,18,100000000
,99,2,1,19,100000000
,100,2,1,20,100000000
,101,2,1,21,100000000
,102,2,1,22,100000000
,103,2,1,23,100000000
,104,2,1,24,100000000
,105,2,1,25,100000000
,106,2,1,26,100000000
,107,2,1,27,100000000
,108,2,1,28,100000000
,109,2,1,29,100000000
,110,2,1,30,100000000
,111,2,1,31,100000000
,112,2,1,32,100000000
,113,2,1,33,100000000
,114,2,1,34,100000000
,115,2,1,35,100000000
,116,2,1,36,100000000
,117,2,1,37,100000000
,118,2,1,38,100000000
,119,2,1,39,100000000
,120,2,1,40,100000000
,121,2,1,41,100000000
,122,2,1,42,100000000
,123,2,1,43,100000000
,124,2,1,44,100000000
,125,2,1,45,100000000
,126,2,1,46,100000000
,127,2,1,47,100000000
,128,2,1,48,100000000
,129,2,1,49,100000000
,130,2,1,50,100000000
,131,2,1,51,100000000
,132,2,1,52,100000000
,133,2,1,53,100000000
,134,2,1,54,100000000
,135,2,1,55,100000000
,136,2,1,56,100000000
,137,2,1,57,100000000
,138,2,1,58,100000000
,139,2,1,59,100000000
,140,2,1,60,100000000
,141,2,1,61,100000000
,142,2,1,62,100000000
,143,2,1,63,100000000
,144,2,1,64,100000000
,145,2,1,65,100000000
,146,2,1,66,100000000
,147,2,1,67,100000000
,148,2,1,68,100000000
,149,2,1,69,100000000
,150,2,1,70,100000000
,151,2,1,71,100000000
,152,2,1,72,100000000
,153,2,1,73,100000000
,154,2,1,74,100000000
,155,2,1,75,100000000
,156,2,1,76,100000000
,157,2,1,77,100000000
,158,2,1,78,100000000
,159,2,1,79,100000000
,160,2,1,80,100000000
