,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,200042,,3012,2,300001,2,0,0,0,0,0,0,,0,1
,200043,,3012,2,300002,9,0,0,0,0,0,0,,0,1
,200044,狼王的收藏箱,3012,1,30000001,1,0,0,0,0,0,0,,0,1
,200045,,3012,2,300003,6,0,0,0,0,0,0,,0,1
,200046,,3013,2,300009,4,1,1,0,0,0,0,,0,1
,200047,,3012,2,300010,8,0,0,0,0,0,0,,0,1
,200048,,3013,2,300001,2,0,0,0,0,0,0,,0,1
,200049,,3013,2,300002,9,0,0,0,0,0,0,,0,1
,200050,狼王的收藏箱,3013,1,30000001,1,0,0,0,0,0,0,,0,1
,200051,,3013,2,300003,6,0,0,0,0,0,0,,0,1
,200052,,3013,2,300009,4,1,1,0,0,0,0,,0,1
,200053,,3013,2,300010,8,0,0,0,0,0,0,,0,1
,200054,,3014,2,300001,2,0,0,0,0,0,0,,0,1
,200055,,3014,2,300002,9,0,0,0,0,0,0,,0,1
,200056,狼王的收藏箱,3014,1,30000001,1,0,0,0,0,0,0,,0,1
,200057,,3014,2,300003,6,0,0,0,0,0,0,,0,1
,200058,,3014,2,300009,4,1,1,0,0,0,0,,0,1
,200059,,3014,2,300010,8,0,0,0,0,0,0,,0,1
,900001,卫兵,1000,2,900001,0,1,1,1,0,0,0,"-17.17969,1.087865,-26.40578",0,1
,900002,鹿角兽,2001,2,900002,22001005,1,1,1,0,0,0,,0,1
,900003,温丽,2001,2,900003,22001007,1,1,1,0,0,0,,0,1
,900004,盗贼,2001,2,900004,22001006,1,1,1,0,0,0,,0,1
,1000002,,1000,1,20125,0,1,0,0,0,0,0,"-71.14,23.37,49.05",150,1
,1000003,,1000,1,20125,0,1,0,0,0,0,0,"-66.18,23.37,49.06",200,1
,1000004,卫兵,1000,1,20145,0,0,0,0,0,0,0,"-169.13,32.51,71.50",180,1
,1000005,卫兵,1000,1,20145,0,0,0,0,0,0,0,"-169.13,32.51,65.16",0,1
,1000006,卫兵,1000,1,20145,0,0,0,0,0,0,0,"-162.86,32.51,71.50",180,1
,1000007,卫兵,1000,1,20145,0,0,0,0,0,0,0,"-162.86,32.51,65.16",0,1
,1000008,卫兵,1000,1,20145,0,0,0,0,0,0,0,"-129.09,32.51,64.38",90,1
,1000009,卫兵,1000,1,20145,0,0,0,0,0,0,0,"-129.09,32.54,72.61",90,1
,1000012,警报机器人·滴,1000,1,20146,0,0,0,0,0,0,0,"-65.63,20.55,20.62",-30,1
,1000013,乞讨老者,1000,1,20147,0,0,0,0,0,0,0,"-19.14,22.80,75.42",90,1
,1000014,少女玛格,1000,1,20148,0,0,0,0,0,0,0,"70.00,22.57,126.43",45,1
,1000015,小木灵球球,1000,1,20149,0,2,0,0,0,0,0,"68.68,25.57,44.10",90,1
,1000016,哥布林商贩麦肯,1000,1,20150,0,0,0,0,0,0,0,"8.04,22.57,98.50",120,1
,1000017,宫廷歌姬露娜,1000,1,20151,0,0,0,0,0,0,0,"-74.69,20.76,136.68",150,1
