,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,star,type,order,monitor_id,statistics_type,statistics_num,league_exp
备注,流水id,战队星级,养成类型,任务序号,监听事件id,增加属性的类型,增加属性值,获得声望
,1,1,1,1,1097,1,1000,10
,2,1,1,2,1098,1,10000,20
,3,1,2,1,1131,2,100,10
,4,1,2,2,1132,2,200,20
,5,1,3,1,1153,3,100,10
,6,1,3,2,1154,3,200,20
,7,1,4,1,1215,4,100,10
,8,1,4,2,1216,4,200,20
,9,1,5,1,1187,5,100,10
,10,1,5,2,1188,5,200,20
,11,1,6,1,1884,6,100,10
,12,1,6,2,1615,6,200,20
,13,2,1,1,1099,1,20000,30
,14,2,1,2,1100,1,30000,40
,15,2,2,1,1133,2,300,30
,16,2,2,2,1134,2,400,40
,17,2,3,1,1155,3,300,30
,18,2,3,2,1156,3,400,40
,19,2,4,1,1217,4,300,30
,20,2,4,2,1218,4,400,40
,21,2,5,1,1189,5,300,30
,22,2,5,2,1190,5,400,40
,23,2,6,1,1890,6,300,30
,24,2,6,2,1621,6,400,40
