,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
英雄进阶,id,hero_type_id,hero_class,hero_Level,item_id1,item_num1,item_id2,item_num2,item_id3,item_num3,item_id4,item_num4,money,attr_type1,data1,attr_type2,data2,attr_type3,data3
备注,id,英雄id,进阶等级,等级要求,物品,物品数量,物品,物品数量,物品,物品数量,物品,物品数量,消耗钱,属性,值,属性,值,属性,值
,10100,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10101,101,1,5,3010013,5,0,0,0,0,0,0,1000,4,472,0,0,0,0
,10102,101,2,10,3010013,10,0,0,0,0,0,0,2000,18,1000,0,0,0,0
,10103,101,3,20,3010013,20,3011013,1,0,0,0,0,5000,0,0,0,0,0,0
,10104,101,4,25,3010013,30,3011013,2,0,0,0,0,50000,2,2625,0,0,0,0
,10105,101,5,30,3010013,50,3011013,5,0,0,0,0,100000,1,45000,0,0,0,0
,10106,101,6,35,3010013,80,3011013,10,0,0,0,0,200000,0,0,0,0,0,0
,10107,101,7,40,3010013,100,3011013,20,0,0,0,0,400000,13,1000,0,0,0,0
,10108,101,8,45,3010013,120,3011013,30,0,0,0,0,800000,31,1500,0,0,0,0
,10109,101,9,50,3010013,150,3011013,50,0,0,0,0,1500000,0,0,0,0,0,0
,10110,101,10,55,3010013,180,3011013,80,0,0,0,0,3000000,15,1000,0,0,0,0
,10111,101,11,60,3010013,210,3011013,100,0,0,0,0,5000000,4,2362,0,0,0,0
,10112,101,12,65,3010013,240,3011013,120,0,0,0,0,10000000,32,2000,0,0,0,0
,10200,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10201,102,1,5,3010013,5,0,0,0,0,0,0,1000,2,1147,0,0,0,0
,10202,102,2,10,3010013,10,0,0,0,0,0,0,2000,16,800,0,0,0,0
,10203,102,3,20,3010013,20,3011023,1,0,0,0,0,5000,0,0,0,0,0,0
,10204,102,4,25,3010013,30,3011023,2,0,0,0,0,50000,1,30555,0,0,0,0
,10205,102,5,30,3010013,50,3011023,5,0,0,0,0,100000,4,1537,0,0,0,0
,10206,102,6,35,3010013,80,3011023,10,0,0,0,0,200000,0,0,0,0,0,0
,10207,102,7,40,3010013,100,3011023,20,0,0,0,0,400000,15,1000,0,0,0,0
,10208,102,8,45,3010013,120,3011023,30,0,0,0,0,800000,32,1500,0,0,0,0
,10209,102,9,50,3010013,150,3011023,50,0,0,0,0,1500000,0,0,0,0,0,0
,10210,102,10,55,3010013,180,3011023,80,0,0,0,0,3000000,13,1000,0,0,0,0
,10211,102,11,60,3010013,210,3011023,100,0,0,0,0,5000000,2,5737,0,0,0,0
,10212,102,12,65,3010013,240,3011023,120,0,0,0,0,10000000,31,2000,0,0,0,0
,10300,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10301,103,1,5,3010013,5,0,0,0,0,0,0,1000,2,1158,0,0,0,0
,10302,103,2,10,3010013,10,0,0,0,0,0,0,2000,13,800,0,0,0,0
,10303,103,3,20,3010013,20,3011033,1,0,0,0,0,5000,0,0,0,0,0,0
,10304,103,4,25,3010013,30,3011033,2,0,0,0,0,50000,1,31500,0,0,0,0
,10305,103,5,30,3010013,50,3011033,5,0,0,0,0,100000,4,1500,0,0,0,0
,10306,103,6,35,3010013,80,3011033,10,0,0,0,0,200000,0,0,0,0,0,0
,10307,103,7,40,3010013,100,3011033,20,0,0,0,0,400000,11,1000,0,0,0,0
,10308,103,8,45,3010013,120,3011033,30,0,0,0,0,800000,32,1500,0,0,0,0
,10309,103,9,50,3010013,150,3011033,50,0,0,0,0,1500000,0,0,0,0,0,0
,10310,103,10,55,3010013,180,3011033,80,0,0,0,0,3000000,15,1000,0,0,0,0
,10311,103,11,60,3010013,210,3011033,100,0,0,0,0,5000000,2,5793,0,0,0,0
,10312,103,12,65,3010013,240,3011033,120,0,0,0,0,10000000,31,2000,0,0,0,0
,10400,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10401,104,1,5,3010013,5,0,0,0,0,0,0,1000,4,506,0,0,0,0
,10402,104,2,10,3010013,10,0,0,0,0,0,0,2000,12,500,0,0,0,0
,10403,104,3,20,3010013,20,3011044,1,0,0,0,0,5000,0,0,0,0,0,0
,10404,104,4,25,3010013,30,3011044,2,0,0,0,0,50000,2,2520,0,0,0,0
,10405,104,5,30,3010013,50,3011044,5,0,0,0,0,100000,1,44550,0,0,0,0
,10406,104,6,35,3010013,80,3011044,10,0,0,0,0,200000,0,0,0,0,0,0
,10407,104,7,40,3010013,100,3011044,20,0,0,0,0,400000,16,1500,0,0,0,0
,10408,104,8,45,3010013,120,3011044,30,0,0,0,0,800000,31,1500,0,0,0,0
,10409,104,9,50,3010013,150,3011044,50,0,0,0,0,1500000,0,0,0,0,0,0
,10410,104,10,55,3010013,180,3011044,80,0,0,0,0,3000000,15,1000,0,0,0,0
,10411,104,11,60,3010013,210,3011044,100,0,0,0,0,5000000,4,2531,0,0,0,0
,10412,104,12,65,3010013,240,3011044,120,0,0,0,0,10000000,32,2000,0,0,0,0
,10500,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10501,105,1,5,3010013,5,0,0,0,0,0,0,1000,3,1125,0,0,0,0
,10502,105,2,10,3010013,10,0,0,0,0,0,0,2000,13,800,0,0,0,0
,10503,105,3,20,3010013,20,3011054,1,0,0,0,0,5000,0,0,0,0,0,0
,10504,105,4,25,3010013,30,3011054,2,0,0,0,0,50000,1,30870,0,0,0,0
,10505,105,5,30,3010013,50,3011054,5,0,0,0,0,100000,5,1687,0,0,0,0
,10506,105,6,35,3010013,80,3011054,10,0,0,0,0,200000,0,0,0,0,0,0
,10507,105,7,40,3010013,100,3011054,20,0,0,0,0,400000,18,1000,0,0,0,0
,10508,105,8,45,3010013,120,3011054,30,0,0,0,0,800000,32,1500,0,0,0,0
,10509,105,9,50,3010013,150,3011054,50,0,0,0,0,1500000,0,0,0,0,0,0
,10510,105,10,55,3010013,180,3011054,80,0,0,0,0,3000000,12,1000,0,0,0,0
,10511,105,11,60,3010013,210,3011054,100,0,0,0,0,5000000,3,5625,0,0,0,0
,10512,105,12,65,3010013,240,3011054,120,0,0,0,0,10000000,31,2000,0,0,0,0
,10600,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,10601,106,1,5,3010013,5,0,0,0,0,0,0,1000,1,13365,0,0,0,0
,10602,106,2,10,3010013,10,0,0,0,0,0,0,2000,16,800,0,0,0,0
,10603,106,3,20,3010013,20,3011064,1,0,0,0,0,5000,0,0,0,0,0,0
,10604,106,4,25,3010013,30,3011064,2,0,0,0,0,50000,2,2730,0,0,0,0
,10605,106,5,30,3010013,50,3011064,5,0,0,0,0,100000,5,1575,0,0,0,0
,10606,106,6,35,3010013,80,3011064,10,0,0,0,0,200000,0,0,0,0,0,0
,10607,106,7,40,3010013,100,3011064,20,0,0,0,0,400000,12,800,0,0,0,0
,10608,106,8,45,3010013,120,3011064,30,0,0,0,0,800000,31,1500,0,0,0,0
,10609,106,9,50,3010013,150,3011064,50,0,0,0,0,1500000,0,0,0,0,0,0
