,required,required,required
,uint32,uint32,uint32
,id,reward_id,need_value
备注,英雄id拼等级,奖励id,升级所需
,10100,0,200
,10101,6000179,500
,10102,6000096,800
,10103,6000096,1100
,10104,6000096,1500
,10105,6000096,2000
,10106,6000097,2500
,10107,6000097,3000
,10108,6000097,4000
,10109,6000097,5000
,10110,6000097,6000
,10111,6000097,8000
,10112,6000098,10000
,10113,6000098,12000
,10114,6000098,15000
,10115,6000098,18000
,10116,6000098,22000
,10117,6000098,26000
,10118,6000099,30000
,10119,6000099,35000
,10120,6000099,40000
,10121,6000099,45000
,10122,6000099,50000
,10123,6000099,55000
,10124,6000100,60000
,10125,6000100,70000
,10126,6000100,80000
,10127,6000100,90000
,10128,6000100,100000
,10129,6000100,0
,10200,0,200
,10201,6000179,500
,10202,6000111,800
,10203,6000111,1100
,10204,6000111,1500
,10205,6000111,2000
,10206,6000112,2500
,10207,6000112,3000
,10208,6000112,4000
,10209,6000112,5000
,10210,6000112,6000
,10211,6000112,8000
,10212,6000113,10000
,10213,6000113,12000
,10214,6000113,15000
,10215,6000113,18000
,10216,6000113,22000
,10217,6000113,26000
,10218,6000114,30000
,10219,6000114,35000
,10220,6000114,40000
,10221,6000114,45000
,10222,6000114,50000
,10223,6000114,55000
,10224,6000115,60000
,10225,6000115,70000
,10226,6000115,80000
,10227,6000115,90000
,10228,6000115,100000
,10229,6000115,0
,10300,0,200
,10301,6000179,500
,10302,6000121,800
,10303,6000121,1100
,10304,6000121,1500
,10305,6000121,2000
,10306,6000122,2500
,10307,6000122,3000
,10308,6000122,4000
,10309,6000122,5000
,10310,6000122,6000
,10311,6000122,8000
,10312,6000123,10000
,10313,6000123,12000
,10314,6000123,15000
,10315,6000123,18000
,10316,6000123,22000
,10317,6000123,26000
,10318,6000124,30000
,10319,6000124,35000
,10320,6000124,40000
,10321,6000124,45000
,10322,6000124,50000
,10323,6000124,55000
,10324,6000125,60000
,10325,6000125,70000
,10326,6000125,80000
,10327,6000125,90000
,10328,6000125,100000
,10329,6000125,0
,10400,0,200
,10401,6000179,500
,10402,6000126,800
,10403,6000126,1100
,10404,6000126,1500
,10405,6000126,2000
,10406,6000127,2500
,10407,6000127,3000
,10408,6000127,4000
