,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,int32,int32,int32,int32,int32
,id,hero_id,level,life,phy_atk,mgc_atk,phy_def,mgc_def
备注,索引Id,英雄id,等级,生命值,物理攻击,魔法攻击,物理防御,魔法防御
,101001,101,1,0,0,0,0,0
,101002,101,2,900,75,0,31,28
,101003,101,3,1800,150,0,63,57
,101004,101,4,2700,225,0,94,85
,101005,101,5,3600,300,0,126,114
,101006,101,6,4500,375,0,157,142
,101007,101,7,5400,450,0,189,171
,101008,101,8,6300,525,0,220,199
,101009,101,9,7200,600,0,252,228
,101010,101,10,8100,675,0,283,256
,101011,101,11,9000,750,0,315,285
,101012,101,12,9900,825,0,346,313
,101013,101,13,10800,900,0,378,342
,101014,101,14,11700,975,0,409,370
,101015,101,15,12600,1050,0,441,399
,101016,101,16,13500,1125,0,472,427
,101017,101,17,14400,1200,0,504,456
,101018,101,18,15300,1275,0,535,484
,101019,101,19,16200,1350,0,567,513
,101020,101,20,17100,1425,0,598,541
,101021,101,21,18000,1500,0,630,570
,101022,101,22,18900,1575,0,661,598
,101023,101,23,19800,1650,0,693,627
,101024,101,24,20700,1725,0,724,655
,101025,101,25,21600,1800,0,756,684
,101026,101,26,22500,1875,0,787,712
,101027,101,27,23400,1950,0,819,741
,101028,101,28,24300,2025,0,850,769
,101029,101,29,25200,2100,0,882,798
,101030,101,30,26100,2175,0,913,826
,101031,101,31,27000,2250,0,945,855
,101032,101,32,27900,2325,0,976,883
,101033,101,33,28800,2400,0,1008,912
,101034,101,34,29700,2475,0,1039,940
,101035,101,35,30600,2550,0,1071,969
,101036,101,36,31500,2625,0,1102,997
,101037,101,37,32400,2700,0,1134,1026
,101038,101,38,33300,2775,0,1165,1054
,101039,101,39,34200,2850,0,1197,1083
,101040,101,40,35100,2925,0,1228,1111
,101041,101,41,36000,3000,0,1260,1140
,101042,101,42,36900,3075,0,1291,1168
,101043,101,43,37800,3150,0,1323,1197
,101044,101,44,38700,3225,0,1354,1225
,101045,101,45,39600,3300,0,1386,1254
,101046,101,46,40500,3375,0,1417,1282
,101047,101,47,41400,3450,0,1449,1311
,101048,101,48,42300,3525,0,1480,1339
,101049,101,49,43200,3600,0,1512,1368
,101050,101,50,44100,3675,0,1543,1396
,101051,101,51,45000,3750,0,1575,1425
,101052,101,52,45900,3825,0,1606,1453
,101053,101,53,46800,3900,0,1638,1482
,101054,101,54,47700,3975,0,1669,1510
,101055,101,55,48600,4050,0,1701,1539
,101056,101,56,49500,4125,0,1732,1567
,101057,101,57,50400,4200,0,1764,1596
,101058,101,58,51300,4275,0,1795,1624
,101059,101,59,52200,4350,0,1827,1653
,101060,101,60,53100,4425,0,1858,1681
,101061,101,61,54000,4500,0,1890,1710
,101062,101,62,54900,4575,0,1921,1738
,101063,101,63,55800,4650,0,1953,1767
,101064,101,64,56700,4725,0,1984,1795
,101065,101,65,57600,4800,0,2016,1824
,101066,101,66,58500,4875,0,2047,1852
,101067,101,67,59400,4950,0,2079,1881
,101068,101,68,60300,5025,0,2110,1909
,101069,101,69,61200,5100,0,2142,1938
,101070,101,70,62100,5175,0,2173,1966
,101071,101,71,63000,5250,0,2205,1995
,101072,101,72,63900,5325,0,2236,2023
,101073,101,73,64800,5400,0,2268,2052
,101074,101,74,65700,5475,0,2299,2080
,101075,101,75,66600,5550,0,2331,2109
,101076,101,76,67500,5625,0,2362,2137
,101077,101,77,68400,5700,0,2394,2166
,101078,101,78,69300,5775,0,2425,2194
,101079,101,79,70200,5850,0,2457,2223
,101080,101,80,71100,5925,0,2488,2251
,101081,101,81,72000,6000,0,2520,2280
,101082,101,82,72900,6075,0,2551,2308
,101083,101,83,73800,6150,0,2583,2337
,101084,101,84,74700,6225,0,2614,2365
,101085,101,85,75600,6300,0,2646,2394
