,required,optional,required,optional,optional,optional
,uint32,string,uint32,uint32,uint32,uint32
,id,name,hero_id,skillmainid,hero_level,hero_class
备注,流水ID,name,英雄Id,技能ID,解锁所需英雄等级,解锁所需英雄职级
,1,力斩·一,101,10101,1,0
,2,力斩·二,101,10102,1,0
,3,飞天·疾斩,101,10103,1,0
,4,飞天·重斩,101,10104,1,0
,5,飞天·连斩,101,10105,1,0
,6,命运之握,101,10106,3,0
,7,量化·正义裁决,101,10107,3,0
,8,奥兹战记·征伐,101,10108,8,0
,9,勇者领域,101,10110,1,0
,10,命运的意志,101,10111,0,3
,11,,101,10112,0,9
,12,不屈的信念,101,10113,0,99
,13,,201,20101,1,0
,14,,201,20102,1,0
,15,冬祭幻想冰雪,201,20103,1,0
,16,夏祭幻想焰火,201,20104,1,0
,17,空之庆典火鸟,201,20105,1,0
,18,快门幻想焰火,201,20106,3,0
,19,冰龙之怒歌,201,20107,3,0
,20,缔法之书,201,20108,8,0
,21,美少女法则,201,20110,1,0
,22,庆典祈愿礼,201,20111,0,3
,23,新月祝福日,201,20112,0,9
,24,圣祭大冥想,201,20113,0,99
,25,,301,30101,1,0
,26,,301,30102,1,0
,27,万吨·乱轰,301,30103,1,0
,28,万吨·风吼,301,30104,1,0
,29,万吨·地爆,301,30105,1,0
,30,万吨·破空,301,30106,3,0
,31,百万吨·怒击,301,30107,3,0
,32,奇迹真言·力,301,30108,8,0
,33,御姐气场,301,30110,1,0
,34,重力波动,301,30111,0,3
,35,力之爆发,301,30112,0,9
,36,愤怒壁垒,301,30113,0,99
,37,,102,10201,1,0
,38,,102,10202,1,0
,39,锋刃·肆光,102,10203,1,0
,40,锋刃·月步,102,10204,1,0
,41,锋刃·旋轮,102,10205,1,0
,42,锋刃·天坠,102,10206,3,0
,43,量化·流刃锋合,102,10207,3,0
,44,奥兹战记·审判,102,10208,8,0
,45,军人战场,102,10210,1,0
,46,命运双刃,102,10211,0,3
,47,绝对反制,102,10212,0,9
,48,虚弱裁决,102,10213,0,99
,49,,302,30201,1,0
,50,,302,30202,1,0
,51,爱琪的暖场舞,302,30203,1,0
,52,爱琪野玫瑰,302,30204,1,0
,53,爱琪的开场礼,302,30205,1,0
,54,爱琪大闪耀,302,30206,3,0
,55,夜场的休止符,302,30207,3,0
,56,奇迹真言·花,302,30208,8,0
,57,爱琪舞场,302,30210,1,0
,58,爱琪的二重曲,302,30211,0,3
,59,爱琪圆舞曲,302,30212,0,9
,60,爱琪魅影,302,30213,0,99
,61,,103,10301,1,0
,62,,103,10302,1,0
,63,黑蚀连斩,103,10303,1,0
,64,噬魂之式,103,10304,1,0
,65,怨念枷锁,103,10305,1,0
,66,鬼炎爆破,103,10306,3,0
,67,恶召·炼狱禁卫,103,10307,3,0
,68,奥兹战记·仲裁,103,10308,8,0
,69,魔剑深渊,103,10310,1,0
,70,极恶之源,103,10311,0,3
,71,鬼炎奥爆,103,10312,0,9
,72,血怒狂咒,103,10313,0,99
,73,,105,10501,1,0
,74,,105,10502,1,0
,75,,105,10503,1,0
,76,,105,10504,1,0
,77,,105,10505,1,0
,78,,105,10506,3,0
,79,,105,10507,3,0
,80,,105,10508,8,0
,81,,105,10510,1,0
,82,,105,10511,0,3
,83,,105,10512,0,9
,84,,105,10513,0,99
,85,,108,10801,1,0
,86,,108,10802,1,0
,87,,108,10803,1,0
,88,,108,10804,1,0
,89,,108,10805,1,0
,90,,108,10806,3,0
,91,,108,10807,3,0
,92,,108,10808,8,0
,93,,108,10810,1,0
,94,,108,10811,0,3
,95,,108,10812,0,9
,96,,108,10813,0,99
,97,,104,10401,1,0
,98,,104,10402,1,0
,99,树缚连,104,10403,1,0
,100,木逢春,104,10404,1,0
,101,三重桩,104,10405,1,0
,102,森罗万象,104,10406,3,0
,103,万物生,104,10407,3,0
,104,万物记叙,104,10408,8,0
,105,自然规则,104,10410,1,0
,106,木之力量,104,10411,0,3
,107,林之守护,104,10412,0,9
,108,森之眷恋,104,10413,0,99
,109,,106,10601,1,0
,110,,106,10602,1,0
,111,鬼之泣,106,10603,1,0
,112,狩魂,106,10604,1,0
,113,邪魔真眼,106,10605,1,0
,114,弑杀阵,106,10606,3,0
,115,猎杀夜,106,10607,3,0
,116,黑夜信条,106,10608,8,0
,117,杀戮场,106,10610,1,0
,118,灵魂聚焦,106,10611,0,3
,119,月夜支配,106,10612,0,9
,120,洞察之眼,106,10613,0,99
,121,,107,10701,1,0
,122,,107,10702,1,0
,123,,107,10703,1,0
,124,,107,10704,1,0
,125,,107,10705,1,0
,126,,107,10706,3,0
,127,,107,10707,3,0
,128,,107,10708,8,0
,129,致命伤口,107,10710,1,0
,130,,107,10711,0,3
,131,,107,10712,0,9
,132,修罗领域,107,10713,0,99
,133,,401,40101,1,0
,134,,401,40102,1,0
,135,夜读,401,40103,1,0
,136,天幕,401,40104,1,0
,137,日噬,401,40105,1,0
,138,黑暗启示,401,40106,3,0
,139,暗龙之裔,401,40107,3,0
,140,启示录·下篇,401,40108,8,0
,141,魔龙疆域,401,40110,1,0
,142,黑暗赞礼,401,40111,0,3
,143,龙魂觉醒,401,40112,0,9
,144,龙祭汲取,401,40113,0,99
,145,,101,10114,0,99
,146,,201,20114,0,99
,147,,301,30114,0,99
,148,,102,10214,0,99
,149,,103,10314,0,99
,150,,104,10414,0,99
,151,,105,10514,0,99
,152,,106,10614,0,99
,153,,107,10714,0,99
,154,,108,10814,0,99
,155,,302,30214,0,99
,156,,401,40114,0,99
,157,,101,10115,0,99
,158,,201,20115,0,99
,159,,301,30115,0,99
,160,,102,10215,0,99
,161,,103,10315,0,99
,162,,104,10415,0,99
,163,,105,10515,0,99
,164,,106,10615,0,99
,165,,107,10715,0,99
,166,,108,10815,0,99
,167,,302,30215,0,99
,168,,401,40115,0,99
,169,,112,11201,1,0
,170,,112,11202,1,0
,171,,112,11203,1,0
,172,,112,11204,1,0
,173,,112,11205,1,0
,174,,112,11206,3,0
,175,,112,11207,3,0
,176,,112,11208,8,0
,177,,112,11210,1,0
,178,,112,11211,0,3
,179,,112,11212,0,9
,180,,112,11213,0,99
,181,,112,11214,0,99
,182,,112,11215,0,99
