,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,attr_type,hero_level,level,attr_id,attack,life,phy_atk,mgc_atk,phy_def,mgc_def
"备注,",系统自增,属性适配类型,类型作用的英雄等级,显示等级,属性id,标准攻击,血量调整系数a,物攻调整系数b,魔攻调整系数c,物防调整系数d,魔防调整系数e
,10000,1,0,1,101001,1311,5000,6000,6000,5000,5000
,10001,1,1,1,101001,1311,5000,6000,6000,5000,5000
,10002,1,2,1,101001,1311,5000,6000,6000,5000,5000
,10003,1,3,1,101001,1311,5000,6000,6000,5000,5000
,10004,1,4,1,101001,1311,5000,6000,6000,5000,5000
,10005,1,5,5,101005,1715,5100,6100,6100,5100,5100
,10006,1,6,5,101005,1715,5100,6100,6100,5100,5100
,10007,1,7,5,101005,1715,5100,6100,6100,5100,5100
,10008,1,8,5,101005,1715,5100,6100,6100,5100,5100
,10009,1,9,5,101005,1715,5100,6100,6100,5100,5100
,10010,1,10,10,101010,2220,5200,6200,6200,5200,5200
,10011,1,11,10,101010,2220,5200,6200,6200,5200,5200
,10012,1,12,10,101010,2220,5200,6200,6200,5200,5200
,10013,1,13,10,101010,2220,5200,6200,6200,5200,5200
,10014,1,14,10,101010,2220,5200,6200,6200,5200,5200
,10015,1,15,15,101015,2725,5300,6300,6300,5300,5300
,10016,1,16,15,101015,2725,5300,6300,6300,5300,5300
,10017,1,17,15,101015,2725,5300,6300,6300,5300,5300
,10018,1,18,15,101015,2725,5300,6300,6300,5300,5300
,10019,1,19,15,101015,2725,5300,6300,6300,5300,5300
,10020,1,20,20,101020,3334,5400,6400,6400,5400,5400
,10021,1,21,20,101020,3334,5400,6400,6400,5400,5400
,10022,1,22,20,101020,3334,5400,6400,6400,5400,5400
,10023,1,23,20,101020,3334,5400,6400,6400,5400,5400
,10024,1,24,20,101020,3334,5400,6400,6400,5400,5400
,10025,1,25,25,101025,4090,5500,6500,6500,5500,5500
,10026,1,26,25,101025,4090,5500,6500,6500,5500,5500
,10027,1,27,25,101025,4090,5500,6500,6500,5500,5500
,10028,1,28,25,101025,4090,5500,6500,6500,5500,5500
,10029,1,29,25,101025,4090,5500,6500,6500,5500,5500
