,required,required,required
,uint32,uint32,uint32
,id,type,path_id
备注,红包id,红包底纹类型,索引功能id
,1000,1,0900
,1001,1,0900
,1002,0,0900
,1003,0,0900
,1004,0,0900
,1005,0,0900
,1006,0,0900
,1007,0,0900
,1008,0,0900
,1009,0,0900
,1010,1,0900
,1011,0,0900
,1012,0,0900
,1013,0,0900
,1014,0,0900
,1015,0,0900
,1016,1,1100
,1017,1,1100
,1018,0,1100
,1019,0,1100
,1020,0,1100
,1021,0,1100
,1022,0,1100
,1023,0,1100
,1024,0,1100
,1025,0,1100
,1026,1,1100
,1027,1,1100
,1028,1,1100
,1029,0,1100
,1030,0,1100
,1031,0,1100
,1032,0,1100
,1033,0,1100
,1034,0,1100
,1035,0,1100
,1036,0,1100
,1037,0,1100
,1038,0,1100
,1039,0,1100
,1040,0,1100
,1041,0,1100
,1042,0,1100
,1043,0,1100
,1044,0,1100
,1045,0,1100
,1046,0,1100
,1047,0,1100
,1048,0,1100
,1049,0,1100
,1050,0,1100
,1051,0,1100
,1052,0,1100
,1053,0,1100
,1054,0,1100
,1055,0,1100
,1056,0,1100
,1057,0,1100
,1058,0,1100
,1059,0,1100
,1060,0,1100
,1061,0,1100
,1062,0,1100
,1063,0,1100
,1064,0,1100
,1065,0,1100
,1066,0,1100
,1067,0,1100
,1068,0,1100
,1069,0,1100
,1070,0,1100
,1071,0,1100
,1072,0,1100
,1073,0,1100
,1074,0,1100
,1075,0,1100
,1076,0,1100
,1077,0,1100
,1078,0,1100
,1079,0,1100
,1080,0,1100
,1081,0,1100
,1082,0,1100
,1083,0,1100
,1084,0,1100
,1085,0,1100
,1086,0,1100
,1087,0,1100
,1088,0,1100
,1089,0,1100
,1090,0,1100
,1091,0,1100
,1092,0,1100
,1093,0,1100
,1094,0,1100
,1095,0,1100
,1096,0,1100
,1097,0,1100
,1098,0,1100
,1099,0,1100
,1100,0,1100
,1101,0,1100
,1102,0,1100
,1103,0,1100
,1104,0,1100
,1105,0,1100
,1106,0,1100
,1107,0,1100
,1108,0,1100
,1109,0,1100
,1110,0,1100
,1111,0,1100
,1112,0,1100
,1113,0,1100
,1114,0,1100
,1115,0,1100
,1116,0,1100
,1117,0,1100
,1118,0,1100
,1119,0,1100
,1120,0,1100
,1121,0,1100
,1122,0,1100
,1123,0,1100
,1124,0,1100
,1125,0,1100
,1126,0,1200
,1132,0,1310
,1136,0,0720
,1137,0,0710
,1138,1,0201
,1139,1,0201
,1140,1,0201
,1141,1,0201
,1142,1,0201
,1143,1,0201
,1144,1,0201
,1145,1,0201
,1146,1,0201
,1147,1,0201
,1148,1,0201
,1149,1,0201
,1150,1,0201
,1151,1,0201
,1152,1,0201
,1153,1,0201
,1154,1,0201
,1155,1,0201
,1156,1,0201
,1157,1,0201
,1158,0,0204
,1159,0,0204
,1160,0,0204
,1161,0,0204
,1162,1,0204
,1163,1,0204
,1164,0,0204
,1165,0,0204
,1166,0,0204
,1167,0,0204
,1168,1,0204
,1169,1,0204
,1170,0,0204
,1171,0,0204
,1172,0,0204
,1173,0,0204
,1174,1,0204
,1175,1,0204
,1176,0,0204
,1177,0,0204
,1178,0,0204
,1179,0,0204
,1180,1,0204
,1181,1,0204
,1182,0,0205
,1183,0,0205
,1184,1,0205
,1185,1,0205
,1186,0,0205
,1187,0,0205
,1188,1,0205
,1189,1,0205
,1190,0,0205
,1191,0,0205
,1192,1,0205
,1193,1,0205
,1194,0,0205
,1195,0,0205
,1196,1,0205
,1197,1,0205
,1198,0,0206
,1199,0,0206
,1200,0,0206
,1201,0,0206
,1202,1,0206
,1203,1,0206
,1204,0,0206
,1205,0,0206
,1206,0,0206
,1207,0,0206
,1208,1,0206
,1209,1,0206
,1210,0,0206
,1211,0,0206
,1212,0,0206
,1213,0,0206
,1214,1,0206
,1215,1,0206
,1216,0,0206
,1217,0,0206
,1218,0,0206
,1219,0,0206
,1220,1,0206
,1221,1,0206
,1222,0,0206
,1223,0,0206
,1224,0,0206
,1225,0,0206
,1226,1,0206
,1227,1,0206
,1228,0,0207
,1229,0,0207
,1230,1,0207
,1231,1,0207
,1232,1,0207
,1233,0,0207
,1234,0,0207
,1235,1,0207
,1236,1,0207
,1237,0,0207
,1238,0,0207
,1239,1,0207
,1240,1,0207
,1241,0,0207
,1242,0,0207
,1243,1,0207
,1244,1,0207
,1245,0,0207
,1246,0,0207
,1247,1,0207
,1248,1,0207
,1249,0,0207
,1250,0,0207
,1251,1,0207
,1252,1,0207
,1253,0,0207
,1254,0,0207
,1255,1,0207
,1256,1,0207
,1257,0,0207
,1258,0,0207
,1259,1,0207
,1260,1,0207
,1261,0,0207
,1262,0,0207
,1263,1,0207
,1264,1,0207
,1265,0,0207
,1266,0,0207
,1267,1,0207
,1268,1,0207
,1269,0,0207
,1270,0,0207
,1271,1,0207
,1272,1,0207
,1273,1,0802
,1274,1,0802
,1275,1,0802
,1276,1,0802
,1277,1,0802
,1278,1,0802
,1279,1,0802
,1280,1,0802
,1281,1,0802
,1282,1,0802
,1283,1,0802
,1284,1,0802
,1285,1,0802
,1286,1,0802
,1287,1,0802
,1288,1,0802
,1289,1,0802
,1290,1,0802
,1291,1,0802
,1292,1,0802
,1293,1,0802
,1294,1,0802
,1295,1,0802
,1296,1,0802
,1297,1,0802
,1298,1,0802
,1299,1,0802
,1300,1,0802
,1301,1,0802
,1302,1,0802
,1303,0,0208
,1304,0,0208
,1305,0,0208
,1306,1,0208
,1307,1,0208
,1308,0,0208
,1309,0,0208
,1310,0,0208
,1311,1,0208
,1312,1,0208
,1313,0,0208
,1314,0,0208
,1315,0,0208
,1316,1,0208
,1317,1,0208
,1318,0,0208
,1319,0,0208
,1320,0,0208
,1321,1,0208
,1322,1,0208
,1323,0,0208
,1324,0,0208
,1325,0,0208
,1326,1,0208
,1327,1,0208
