,required,required,required,required,repeated,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,name,fight,multi_boss,monster,money,user_exp,hero_exp,exp_ball,reward_id,action_id,max_battle_time,battle_check,attack_status_id,fight_type
备注,ID,备注,战力,多人boss,怪物id,掉落金币,战队经验,英雄经验,经验球经验,奖励id,事件id,战斗限时,战斗检测,偷袭状态,战斗力压制算法类型
玫瑰团追随者,200061,玫瑰团追随者,1,0,1001041,1500,0,0,0,0,0,600000,0,1,0
玫瑰团流浪者,200062,玫瑰团流浪者,1,0,1001042;1001042,1500,0,0,0,0,0,600000,0,1,0
黑色蔷薇费玛,200067,黑色蔷薇费玛,1,0,1001044,5000,0,0,0,0,0,600000,0,0,0
强盗贝拉,200068,强盗贝拉,1,0,1001045,3000,0,0,0,1000011,0,600000,0,0,0
,200071,不死丧尸,0,0,1000078,3000,0,0,0,0,0,600000,0,0,0
,200072,熔岩丧尸,0,0,1000079,3000,0,0,0,0,0,600000,0,1,0
,200073,不死丧尸,0,0,1000078,3000,0,0,0,0,0,600000,0,0,0
,200074,不死丧尸,0,0,1000078,3000,0,0,0,0,0,600000,0,0,0
,200075,扭曲丧尸,0,0,1000080,5000,0,0,0,0,0,600000,0,0,0
,200076,禁卫督军莱克,0,0,1000081,10000,0,0,0,0,0,600000,0,0,0
,200082,武装哥布林,1,0,1000289,3000,0,0,0,0,0,600000,0,1,0
,200083,夜崎隐,30000,0,1000155,0,0,0,0,0,0,600000,0,1,0
,200088,哥布林格德,1,0,1000125,3000,0,0,0,0,0,600000,0,1,0
,200090,食人魔佣兵,20000,0,1000292,3000,0,0,0,0,0,600000,0,1,0
,200091,猩红魔箱,30000,0,1000921,1000,0,0,0,0,0,600000,0,0,0
战魂之灵·冰,200101,幻阵之魂·冰,0,0,1001065,0,0,0,0,0,0,600000,1,0,0
战魂之灵·火,200102,幻阵之魂·火,0,0,1001064,0,0,0,0,0,0,600000,1,0,0
