,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,adapt_level,poker_id,weight,boss_id,taskgroup_id,information,point
备注,流水id,适配等级,扑克序号,权重,bossid,任务组id,情报值,积分
,1,20,21,200,800214,1,100,200
,2,20,22,200,800214,1,100,200
,3,20,23,200,800214,1,100,200
,4,20,24,200,800214,1,100,200
,5,20,31,200,800213,2,100,200
,6,20,32,200,800213,2,100,200
,7,20,33,200,800213,2,100,200
,8,20,34,200,800213,2,100,200
,9,20,41,200,800212,3,100,200
,10,20,42,200,800212,3,100,200
,11,20,43,200,800212,3,100,200
,12,20,44,200,800212,3,100,200
,13,20,51,200,800211,4,100,200
,14,20,52,200,800211,4,100,200
,15,20,53,200,800211,4,100,200
,16,20,54,200,800211,4,100,200
,17,20,61,200,800210,5,100,200
,18,20,62,200,800210,5,100,200
,19,20,63,200,800210,5,100,200
,20,20,64,200,800210,5,100,200
,21,20,71,200,800209,6,100,200
,22,20,72,200,800209,6,100,200
,23,20,73,200,800209,6,100,200
,24,20,74,200,800209,6,100,200
,25,20,81,200,800208,7,100,200
,26,20,82,200,800208,7,100,200
,27,20,83,200,800208,7,100,200
,28,20,84,200,800208,7,100,200
,29,20,91,200,800207,8,100,200
,30,20,92,200,800207,8,100,200
,31,20,93,200,800207,8,100,200
,32,20,94,200,800207,8,100,200
,33,20,101,200,800206,9,100,200
,34,20,102,200,800206,9,100,200
,35,20,103,200,800206,9,100,200
,36,20,104,200,800206,9,100,200
,37,20,111,200,800205,10,100,200
,38,20,112,200,800205,10,100,200
,39,20,113,200,800205,10,100,200
,40,20,114,200,800205,10,100,200
,41,20,121,200,800204,11,100,200
,42,20,122,200,800204,11,100,200
,43,20,123,200,800204,11,100,200
,44,20,124,200,800204,11,100,200
,45,20,131,200,800203,12,100,200
,46,20,132,200,800203,12,100,200
,47,20,133,200,800203,12,100,200
,48,20,134,200,800203,12,100,200
,49,20,141,200,800199,16,100,200
,50,20,142,200,800200,15,100,200
,51,20,143,200,800201,14,100,200
,52,20,144,200,800202,13,100,200
,53,20,150,0,800198,17,100,200
,54,20,160,0,800197,18,100,200
,55,21,21,200,800214,1,150,250
,56,21,22,200,800214,1,150,250
,57,21,23,200,800214,1,150,250
,58,21,24,200,800214,1,150,250
,59,21,31,200,800213,2,150,250
,60,21,32,200,800213,2,150,250
,61,21,33,200,800213,2,150,250
,62,21,34,200,800213,2,150,250
,63,21,41,200,800212,3,150,250
,64,21,42,200,800212,3,150,250
,65,21,43,200,800212,3,150,250
,66,21,44,200,800212,3,150,250
,67,21,51,200,800211,4,150,250
,68,21,52,200,800211,4,150,250
,69,21,53,200,800211,4,150,250
,70,21,54,200,800211,4,150,250
,71,21,61,200,800210,5,150,250
,72,21,62,200,800210,5,150,250
,73,21,63,200,800210,5,150,250
,74,21,64,200,800210,5,150,250
,75,21,71,200,800209,6,150,250
,76,21,72,200,800209,6,150,250
,77,21,73,200,800209,6,150,250
,78,21,74,200,800209,6,150,250
,79,21,81,200,800208,7,150,250
,80,21,82,200,800208,7,150,250
,81,21,83,200,800208,7,150,250
,82,21,84,200,800208,7,150,250
,83,21,91,200,800207,8,150,250
,84,21,92,200,800207,8,150,250
,85,21,93,200,800207,8,150,250
,86,21,94,200,800207,8,150,250
,87,21,101,200,800206,9,150,250
,88,21,102,200,800206,9,150,250
,89,21,103,200,800206,9,150,250
,90,21,104,200,800206,9,150,250
,91,21,111,200,800205,10,150,250
,92,21,112,200,800205,10,150,250
,93,21,113,200,800205,10,150,250
,94,21,114,200,800205,10,150,250
,95,21,121,200,800204,11,150,250
,96,21,122,200,800204,11,150,250
,97,21,123,200,800204,11,150,250
,98,21,124,200,800204,11,150,250
,99,21,131,200,800203,12,150,250
,100,21,132,200,800203,12,150,250
,101,21,133,200,800203,12,150,250
,102,21,134,200,800203,12,150,250
,103,21,141,200,800199,16,150,250
,104,21,142,200,800200,15,150,250
,105,21,143,200,800201,14,150,250
,106,21,144,200,800202,13,150,250
,107,21,150,0,800198,17,150,250
,108,21,160,0,800197,18,150,250
,109,22,21,200,800214,1,200,300
,110,22,22,200,800214,1,200,300
,111,22,23,200,800214,1,200,300
,112,22,24,200,800214,1,200,300
,113,22,31,200,800213,2,200,300
,114,22,32,200,800213,2,200,300
,115,22,33,200,800213,2,200,300
,116,22,34,200,800213,2,200,300
,117,22,41,200,800212,3,200,300
,118,22,42,200,800212,3,200,300
,119,22,43,200,800212,3,200,300
,120,22,44,200,800212,3,200,300
,121,22,51,200,800211,4,200,300
,122,22,52,200,800211,4,200,300
,123,22,53,200,800211,4,200,300
,124,22,54,200,800211,4,200,300
,125,22,61,200,800210,5,200,300
,126,22,62,200,800210,5,200,300
,127,22,63,200,800210,5,200,300
,128,22,64,200,800210,5,200,300
,129,22,71,200,800209,6,200,300
,130,22,72,200,800209,6,200,300
,131,22,73,200,800209,6,200,300
,132,22,74,200,800209,6,200,300
,133,22,81,200,800208,7,200,300
,134,22,82,200,800208,7,200,300
,135,22,83,200,800208,7,200,300
,136,22,84,200,800208,7,200,300
,137,22,91,200,800207,8,200,300
,138,22,92,200,800207,8,200,300
,139,22,93,200,800207,8,200,300
,140,22,94,200,800207,8,200,300
,141,22,101,200,800206,9,200,300
,142,22,102,200,800206,9,200,300
,143,22,103,200,800206,9,200,300
,144,22,104,200,800206,9,200,300
,145,22,111,200,800205,10,200,300
,146,22,112,200,800205,10,200,300
,147,22,113,200,800205,10,200,300
,148,22,114,200,800205,10,200,300
,149,22,121,200,800204,11,200,300
,150,22,122,200,800204,11,200,300
,151,22,123,200,800204,11,200,300
,152,22,124,200,800204,11,200,300
,153,22,131,200,800203,12,200,300
,154,22,132,200,800203,12,200,300
,155,22,133,200,800203,12,200,300
,156,22,134,200,800203,12,200,300
,157,22,141,200,800199,16,200,300
,158,22,142,200,800200,15,200,300
,159,22,143,200,800201,14,200,300
,160,22,144,200,800202,13,200,300
,161,22,150,0,800198,17,200,300
,162,22,160,0,800197,18,200,300
,163,23,21,200,800214,1,250,350
,164,23,22,200,800214,1,250,350
,165,23,23,200,800214,1,250,350
,166,23,24,200,800214,1,250,350
,167,23,31,200,800213,2,250,350
,168,23,32,200,800213,2,250,350
,169,23,33,200,800213,2,250,350
,170,23,34,200,800213,2,250,350
,171,23,41,200,800212,3,250,350
,172,23,42,200,800212,3,250,350
,173,23,43,200,800212,3,250,350
,174,23,44,200,800212,3,250,350
,175,23,51,200,800211,4,250,350
,176,23,52,200,800211,4,250,350
,177,23,53,200,800211,4,250,350
,178,23,54,200,800211,4,250,350
,179,23,61,200,800210,5,250,350
,180,23,62,200,800210,5,250,350
,181,23,63,200,800210,5,250,350
,182,23,64,200,800210,5,250,350
,183,23,71,200,800209,6,250,350
,184,23,72,200,800209,6,250,350
,185,23,73,200,800209,6,250,350
,186,23,74,200,800209,6,250,350
,187,23,81,200,800208,7,250,350
,188,23,82,200,800208,7,250,350
,189,23,83,200,800208,7,250,350
,190,23,84,200,800208,7,250,350
,191,23,91,200,800207,8,250,350
,192,23,92,200,800207,8,250,350
,193,23,93,200,800207,8,250,350
,194,23,94,200,800207,8,250,350
,195,23,101,200,800206,9,250,350
,196,23,102,200,800206,9,250,350
,197,23,103,200,800206,9,250,350
,198,23,104,200,800206,9,250,350
,199,23,111,200,800205,10,250,350
,200,23,112,200,800205,10,250,350
,201,23,113,200,800205,10,250,350
,202,23,114,200,800205,10,250,350
,203,23,121,200,800204,11,250,350
,204,23,122,200,800204,11,250,350
,205,23,123,200,800204,11,250,350
,206,23,124,200,800204,11,250,350
,207,23,131,200,800203,12,250,350
,208,23,132,200,800203,12,250,350
,209,23,133,200,800203,12,250,350
,210,23,134,200,800203,12,250,350
,211,23,141,200,800199,16,250,350
,212,23,142,200,800200,15,250,350
,213,23,143,200,800201,14,250,350
,214,23,144,200,800202,13,250,350
,215,23,150,0,800198,17,250,350
,216,23,160,0,800197,18,250,350
,217,24,21,200,800214,1,300,400
,218,24,22,200,800214,1,300,400
,219,24,23,200,800214,1,300,400
,220,24,24,200,800214,1,300,400
,221,24,31,200,800213,2,300,400
,222,24,32,200,800213,2,300,400
,223,24,33,200,800213,2,300,400
,224,24,34,200,800213,2,300,400
,225,24,41,200,800212,3,300,400
,226,24,42,200,800212,3,300,400
,227,24,43,200,800212,3,300,400
,228,24,44,200,800212,3,300,400
,229,24,51,200,800211,4,300,400
,230,24,52,200,800211,4,300,400
,231,24,53,200,800211,4,300,400
,232,24,54,200,800211,4,300,400
,233,24,61,200,800210,5,300,400
,234,24,62,200,800210,5,300,400
,235,24,63,200,800210,5,300,400
,236,24,64,200,800210,5,300,400
,237,24,71,200,800209,6,300,400
,238,24,72,200,800209,6,300,400
,239,24,73,200,800209,6,300,400
,240,24,74,200,800209,6,300,400
,241,24,81,200,800208,7,300,400
,242,24,82,200,800208,7,300,400
,243,24,83,200,800208,7,300,400
,244,24,84,200,800208,7,300,400
,245,24,91,200,800207,8,300,400
,246,24,92,200,800207,8,300,400
,247,24,93,200,800207,8,300,400
,248,24,94,200,800207,8,300,400
,249,24,101,200,800206,9,300,400
,250,24,102,200,800206,9,300,400
,251,24,103,200,800206,9,300,400
,252,24,104,200,800206,9,300,400
,253,24,111,200,800205,10,300,400
,254,24,112,200,800205,10,300,400
,255,24,113,200,800205,10,300,400
,256,24,114,200,800205,10,300,400
,257,24,121,200,800204,11,300,400
,258,24,122,200,800204,11,300,400
,259,24,123,200,800204,11,300,400
,260,24,124,200,800204,11,300,400
,261,24,131,200,800203,12,300,400
,262,24,132,200,800203,12,300,400
,263,24,133,200,800203,12,300,400
,264,24,134,200,800203,12,300,400
,265,24,141,200,800199,16,300,400
,266,24,142,200,800200,15,300,400
,267,24,143,200,800201,14,300,400
,268,24,144,200,800202,13,300,400
,269,24,150,0,800198,17,300,400
,270,24,160,0,800197,18,300,400
,271,25,21,200,800214,1,350,450
,272,25,22,200,800214,1,350,450
,273,25,23,200,800214,1,350,450
,274,25,24,200,800214,1,350,450
,275,25,31,200,800213,2,350,450
,276,25,32,200,800213,2,350,450
,277,25,33,200,800213,2,350,450
,278,25,34,200,800213,2,350,450
,279,25,41,200,800212,3,350,450
,280,25,42,200,800212,3,350,450
,281,25,43,200,800212,3,350,450
,282,25,44,200,800212,3,350,450
,283,25,51,200,800211,4,350,450
,284,25,52,200,800211,4,350,450
,285,25,53,200,800211,4,350,450
,286,25,54,200,800211,4,350,450
,287,25,61,200,800210,5,350,450
,288,25,62,200,800210,5,350,450
,289,25,63,200,800210,5,350,450
,290,25,64,200,800210,5,350,450
,291,25,71,200,800209,6,350,450
,292,25,72,200,800209,6,350,450
,293,25,73,200,800209,6,350,450
,294,25,74,200,800209,6,350,450
,295,25,81,200,800208,7,350,450
,296,25,82,200,800208,7,350,450
,297,25,83,200,800208,7,350,450
,298,25,84,200,800208,7,350,450
,299,25,91,200,800207,8,350,450
,300,25,92,200,800207,8,350,450
,301,25,93,200,800207,8,350,450
,302,25,94,200,800207,8,350,450
,303,25,101,200,800206,9,350,450
,304,25,102,200,800206,9,350,450
,305,25,103,200,800206,9,350,450
,306,25,104,200,800206,9,350,450
,307,25,111,200,800205,10,350,450
,308,25,112,200,800205,10,350,450
,309,25,113,200,800205,10,350,450
,310,25,114,200,800205,10,350,450
,311,25,121,200,800204,11,350,450
,312,25,122,200,800204,11,350,450
,313,25,123,200,800204,11,350,450
,314,25,124,200,800204,11,350,450
,315,25,131,200,800203,12,350,450
,316,25,132,200,800203,12,350,450
,317,25,133,200,800203,12,350,450
,318,25,134,200,800203,12,350,450
,319,25,141,200,800199,16,350,450
,320,25,142,200,800200,15,350,450
,321,25,143,200,800201,14,350,450
,322,25,144,200,800202,13,350,450
,323,25,150,0,800198,17,350,450
,324,25,160,0,800197,18,350,450
,325,26,21,200,800214,1,400,500
,326,26,22,200,800214,1,400,500
,327,26,23,200,800214,1,400,500
,328,26,24,200,800214,1,400,500
,329,26,31,200,800213,2,400,500
,330,26,32,200,800213,2,400,500
,331,26,33,200,800213,2,400,500
,332,26,34,200,800213,2,400,500
,333,26,41,200,800212,3,400,500
,334,26,42,200,800212,3,400,500
,335,26,43,200,800212,3,400,500
,336,26,44,200,800212,3,400,500
,337,26,51,200,800211,4,400,500
,338,26,52,200,800211,4,400,500
,339,26,53,200,800211,4,400,500
,340,26,54,200,800211,4,400,500
,341,26,61,200,800210,5,400,500
,342,26,62,200,800210,5,400,500
,343,26,63,200,800210,5,400,500
,344,26,64,200,800210,5,400,500
,345,26,71,200,800209,6,400,500
,346,26,72,200,800209,6,400,500
,347,26,73,200,800209,6,400,500
,348,26,74,200,800209,6,400,500
,349,26,81,200,800208,7,400,500
,350,26,82,200,800208,7,400,500
,351,26,83,200,800208,7,400,500
,352,26,84,200,800208,7,400,500
,353,26,91,200,800207,8,400,500
,354,26,92,200,800207,8,400,500
,355,26,93,200,800207,8,400,500
,356,26,94,200,800207,8,400,500
,357,26,101,200,800206,9,400,500
,358,26,102,200,800206,9,400,500
,359,26,103,200,800206,9,400,500
,360,26,104,200,800206,9,400,500
,361,26,111,200,800205,10,400,500
,362,26,112,200,800205,10,400,500
,363,26,113,200,800205,10,400,500
,364,26,114,200,800205,10,400,500
,365,26,121,200,800204,11,400,500
,366,26,122,200,800204,11,400,500
,367,26,123,200,800204,11,400,500
,368,26,124,200,800204,11,400,500
,369,26,131,200,800203,12,400,500
,370,26,132,200,800203,12,400,500
,371,26,133,200,800203,12,400,500
,372,26,134,200,800203,12,400,500
,373,26,141,200,800199,16,400,500
,374,26,142,200,800200,15,400,500
,375,26,143,200,800201,14,400,500
,376,26,144,200,800202,13,400,500
,377,26,150,0,800198,17,400,500
,378,26,160,0,800197,18,400,500
,379,27,21,200,800214,1,450,550
,380,27,22,200,800214,1,450,550
,381,27,23,200,800214,1,450,550
,382,27,24,200,800214,1,450,550
,383,27,31,200,800213,2,450,550
,384,27,32,200,800213,2,450,550
,385,27,33,200,800213,2,450,550
,386,27,34,200,800213,2,450,550
,387,27,41,200,800212,3,450,550
,388,27,42,200,800212,3,450,550
,389,27,43,200,800212,3,450,550
,390,27,44,200,800212,3,450,550
,391,27,51,200,800211,4,450,550
,392,27,52,200,800211,4,450,550
,393,27,53,200,800211,4,450,550
,394,27,54,200,800211,4,450,550
,395,27,61,200,800210,5,450,550
,396,27,62,200,800210,5,450,550
,397,27,63,200,800210,5,450,550
,398,27,64,200,800210,5,450,550
,399,27,71,200,800209,6,450,550
,400,27,72,200,800209,6,450,550
,401,27,73,200,800209,6,450,550
,402,27,74,200,800209,6,450,550
,403,27,81,200,800208,7,450,550
,404,27,82,200,800208,7,450,550
,405,27,83,200,800208,7,450,550
,406,27,84,200,800208,7,450,550
,407,27,91,200,800207,8,450,550
,408,27,92,200,800207,8,450,550
,409,27,93,200,800207,8,450,550
,410,27,94,200,800207,8,450,550
,411,27,101,200,800206,9,450,550
,412,27,102,200,800206,9,450,550
,413,27,103,200,800206,9,450,550
,414,27,104,200,800206,9,450,550
,415,27,111,200,800205,10,450,550
,416,27,112,200,800205,10,450,550
,417,27,113,200,800205,10,450,550
,418,27,114,200,800205,10,450,550
,419,27,121,200,800204,11,450,550
,420,27,122,200,800204,11,450,550
,421,27,123,200,800204,11,450,550
,422,27,124,200,800204,11,450,550
,423,27,131,200,800203,12,450,550
,424,27,132,200,800203,12,450,550
,425,27,133,200,800203,12,450,550
,426,27,134,200,800203,12,450,550
,427,27,141,200,800199,16,450,550
,428,27,142,200,800200,15,450,550
,429,27,143,200,800201,14,450,550
,430,27,144,200,800202,13,450,550
,431,27,150,0,800198,17,450,550
,432,27,160,0,800197,18,450,550
,433,28,21,200,800214,1,500,600
,434,28,22,200,800214,1,500,600
,435,28,23,200,800214,1,500,600
,436,28,24,200,800214,1,500,600
,437,28,31,200,800213,2,500,600
,438,28,32,200,800213,2,500,600
,439,28,33,200,800213,2,500,600
,440,28,34,200,800213,2,500,600
,441,28,41,200,800212,3,500,600
,442,28,42,200,800212,3,500,600
,443,28,43,200,800212,3,500,600
,444,28,44,200,800212,3,500,600
,445,28,51,200,800211,4,500,600
,446,28,52,200,800211,4,500,600
,447,28,53,200,800211,4,500,600
,448,28,54,200,800211,4,500,600
,449,28,61,200,800210,5,500,600
,450,28,62,200,800210,5,500,600
,451,28,63,200,800210,5,500,600
,452,28,64,200,800210,5,500,600
,453,28,71,200,800209,6,500,600
,454,28,72,200,800209,6,500,600
,455,28,73,200,800209,6,500,600
,456,28,74,200,800209,6,500,600
,457,28,81,200,800208,7,500,600
,458,28,82,200,800208,7,500,600
,459,28,83,200,800208,7,500,600
,460,28,84,200,800208,7,500,600
,461,28,91,200,800207,8,500,600
,462,28,92,200,800207,8,500,600
,463,28,93,200,800207,8,500,600
,464,28,94,200,800207,8,500,600
,465,28,101,200,800206,9,500,600
,466,28,102,200,800206,9,500,600
,467,28,103,200,800206,9,500,600
,468,28,104,200,800206,9,500,600
,469,28,111,200,800205,10,500,600
,470,28,112,200,800205,10,500,600
,471,28,113,200,800205,10,500,600
,472,28,114,200,800205,10,500,600
,473,28,121,200,800204,11,500,600
,474,28,122,200,800204,11,500,600
,475,28,123,200,800204,11,500,600
,476,28,124,200,800204,11,500,600
,477,28,131,200,800203,12,500,600
,478,28,132,200,800203,12,500,600
,479,28,133,200,800203,12,500,600
,480,28,134,200,800203,12,500,600
,481,28,141,200,800199,16,500,600
,482,28,142,200,800200,15,500,600
,483,28,143,200,800201,14,500,600
,484,28,144,200,800202,13,500,600
,485,28,150,0,800198,17,500,600
,486,28,160,0,800197,18,500,600
,487,29,21,200,800214,1,550,650
,488,29,22,200,800214,1,550,650
,489,29,23,200,800214,1,550,650
,490,29,24,200,800214,1,550,650
,491,29,31,200,800213,2,550,650
,492,29,32,200,800213,2,550,650
,493,29,33,200,800213,2,550,650
,494,29,34,200,800213,2,550,650
,495,29,41,200,800212,3,550,650
,496,29,42,200,800212,3,550,650
,497,29,43,200,800212,3,550,650
,498,29,44,200,800212,3,550,650
,499,29,51,200,800211,4,550,650
,500,29,52,200,800211,4,550,650
,501,29,53,200,800211,4,550,650
,502,29,54,200,800211,4,550,650
,503,29,61,200,800210,5,550,650
,504,29,62,200,800210,5,550,650
,505,29,63,200,800210,5,550,650
,506,29,64,200,800210,5,550,650
,507,29,71,200,800209,6,550,650
,508,29,72,200,800209,6,550,650
,509,29,73,200,800209,6,550,650
,510,29,74,200,800209,6,550,650
,511,29,81,200,800208,7,550,650
,512,29,82,200,800208,7,550,650
,513,29,83,200,800208,7,550,650
,514,29,84,200,800208,7,550,650
,515,29,91,200,800207,8,550,650
,516,29,92,200,800207,8,550,650
,517,29,93,200,800207,8,550,650
,518,29,94,200,800207,8,550,650
,519,29,101,200,800206,9,550,650
,520,29,102,200,800206,9,550,650
,521,29,103,200,800206,9,550,650
,522,29,104,200,800206,9,550,650
,523,29,111,200,800205,10,550,650
,524,29,112,200,800205,10,550,650
,525,29,113,200,800205,10,550,650
,526,29,114,200,800205,10,550,650
,527,29,121,200,800204,11,550,650
,528,29,122,200,800204,11,550,650
,529,29,123,200,800204,11,550,650
,530,29,124,200,800204,11,550,650
,531,29,131,200,800203,12,550,650
,532,29,132,200,800203,12,550,650
,533,29,133,200,800203,12,550,650
,534,29,134,200,800203,12,550,650
,535,29,141,200,800199,16,550,650
,536,29,142,200,800200,15,550,650
,537,29,143,200,800201,14,550,650
,538,29,144,200,800202,13,550,650
,539,29,150,0,800198,17,550,650
,540,29,160,0,800197,18,550,650
,541,30,21,200,800214,1,600,700
,542,30,22,200,800214,1,600,700
,543,30,23,200,800214,1,600,700
,544,30,24,200,800214,1,600,700
,545,30,31,200,800213,2,600,700
,546,30,32,200,800213,2,600,700
,547,30,33,200,800213,2,600,700
,548,30,34,200,800213,2,600,700
,549,30,41,200,800212,3,600,700
,550,30,42,200,800212,3,600,700
,551,30,43,200,800212,3,600,700
,552,30,44,200,800212,3,600,700
,553,30,51,200,800211,4,600,700
,554,30,52,200,800211,4,600,700
,555,30,53,200,800211,4,600,700
,556,30,54,200,800211,4,600,700
,557,30,61,200,800210,5,600,700
,558,30,62,200,800210,5,600,700
,559,30,63,200,800210,5,600,700
,560,30,64,200,800210,5,600,700
,561,30,71,200,800209,6,600,700
,562,30,72,200,800209,6,600,700
,563,30,73,200,800209,6,600,700
,564,30,74,200,800209,6,600,700
,565,30,81,200,800208,7,600,700
,566,30,82,200,800208,7,600,700
,567,30,83,200,800208,7,600,700
,568,30,84,200,800208,7,600,700
,569,30,91,200,800207,8,600,700
,570,30,92,200,800207,8,600,700
,571,30,93,200,800207,8,600,700
,572,30,94,200,800207,8,600,700
,573,30,101,200,800206,9,600,700
,574,30,102,200,800206,9,600,700
,575,30,103,200,800206,9,600,700
,576,30,104,200,800206,9,600,700
,577,30,111,200,800205,10,600,700
,578,30,112,200,800205,10,600,700
,579,30,113,200,800205,10,600,700
,580,30,114,200,800205,10,600,700
,581,30,121,200,800204,11,600,700
,582,30,122,200,800204,11,600,700
,583,30,123,200,800204,11,600,700
,584,30,124,200,800204,11,600,700
,585,30,131,200,800203,12,600,700
,586,30,132,200,800203,12,600,700
,587,30,133,200,800203,12,600,700
,588,30,134,200,800203,12,600,700
,589,30,141,200,800199,16,600,700
,590,30,142,200,800200,15,600,700
,591,30,143,200,800201,14,600,700
,592,30,144,200,800202,13,600,700
,593,30,150,0,800198,17,600,700
,594,30,160,0,800197,18,600,700
