,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,taskgroup_id,task_id,time,information,condition1,data1,condition2,data2,condition3,data3
备注,流水id,任务组id,任务序号,耗时,可获得的情报值,条件1,数值1,条件2,数值2,条件3,数值3
,1,1,1,1,100,1,8000,2,1,5,2
,2,1,2,1,100,1,8000,3,5,6,1
,3,1,3,1,100,1,8000,4,4,7,1
,4,1,4,1,100,1,8000,8,4,9,5
,5,2,1,1,200,1,8000,2,1,5,2
,6,2,2,1,200,1,8000,3,5,6,1
,7,2,3,1,200,1,8000,4,4,7,1
,8,2,4,1,200,1,8000,8,4,9,5
,9,3,1,1,300,1,8000,2,1,5,2
,10,3,2,1,300,1,8000,3,5,6,1
,11,3,3,1,300,1,8000,4,4,7,1
,12,3,4,1,300,1,8000,8,4,9,5
,13,4,1,1,400,1,8000,2,1,5,2
,14,4,2,1,400,1,8000,3,5,6,1
,15,4,3,1,400,1,8000,4,4,7,1
,16,4,4,1,400,1,8000,8,4,9,5
,17,5,1,1,500,1,8000,2,1,5,2
,18,5,2,1,500,1,8000,3,5,6,1
,19,5,3,1,500,1,8000,4,4,7,1
,20,5,4,1,500,1,8000,8,4,9,5
,21,6,1,1,600,1,8000,2,1,5,2
,22,6,2,1,600,1,8000,3,5,6,1
,23,6,3,1,600,1,8000,4,4,7,1
,24,6,4,1,600,1,8000,8,4,9,5
,25,7,1,1,700,1,8000,2,1,5,2
,26,7,2,1,700,1,8000,3,5,6,1
,27,7,3,1,700,1,8000,4,4,7,1
,28,7,4,1,700,1,8000,8,4,9,5
,29,8,1,1,800,1,8000,2,1,5,2
,30,8,2,1,800,1,8000,3,5,6,1
,31,8,3,1,800,1,8000,4,4,7,1
,32,8,4,1,800,1,8000,8,4,9,5
,33,9,1,1,900,1,8000,2,1,5,2
,34,9,2,1,900,1,8000,3,5,6,1
,35,9,3,1,900,1,8000,4,4,7,1
,36,9,4,1,900,1,8000,8,4,9,5
,37,10,1,1,1000,1,8000,2,1,5,2
,38,10,2,1,1000,1,8000,3,5,6,1
,39,10,3,1,1000,1,8000,4,4,7,1
,40,10,4,1,1000,1,8000,8,4,9,5
,41,11,1,1,1100,1,8000,2,1,5,2
,42,11,2,1,1100,1,8000,3,5,6,1
,43,11,3,1,1100,1,8000,4,4,7,1
,44,11,4,1,1100,1,8000,8,4,9,5
,45,12,1,1,1200,1,8000,2,1,5,2
,46,12,2,1,1200,1,8000,3,5,6,1
,47,12,3,1,1200,1,8000,4,4,7,1
,48,12,4,1,1200,1,8000,8,4,9,5
,49,13,1,1,1300,1,8000,2,1,5,2
,50,13,2,1,1300,1,8000,3,5,6,1
,51,13,3,1,1300,1,8000,4,4,7,1
,52,13,4,1,1300,1,8000,8,4,9,5
,53,14,1,1,1400,1,8000,2,1,5,2
,54,14,2,1,1400,1,8000,3,5,6,1
,55,14,3,1,1400,1,8000,4,4,7,1
,56,14,4,1,1400,1,8000,8,4,9,5
,57,15,1,1,1500,1,8000,2,1,5,2
,58,15,2,1,1500,1,8000,3,5,6,1
,59,15,3,1,1500,1,8000,4,4,7,1
,60,15,4,1,1500,1,8000,8,4,9,5
,61,16,1,1,1600,1,8000,2,1,5,2
,62,16,2,1,1600,1,8000,3,5,6,1
,63,16,3,1,1600,1,8000,4,4,7,1
,64,16,4,1,1600,1,8000,8,4,9,5
,65,17,1,1,1700,1,8000,2,1,5,2
,66,17,2,1,1700,1,8000,3,5,6,1
,67,17,3,1,1700,1,8000,4,4,7,1
,68,17,4,1,1700,1,8000,8,4,9,5
,69,18,1,1,1800,1,8000,2,1,5,2
,70,18,2,1,1800,1,8000,3,5,6,1
,71,18,3,1,1800,1,8000,4,4,7,1
,72,18,4,1,1800,1,8000,8,4,9,5
