,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,data1,data2,data3,data4
备注,流水ID,PVP类型,信息参数,信息参数,信息参数,信息参数
,114,1,14,105,20,50
,113,1,13,90,20,50
,112,1,12,75,20,50
,111,1,11,60,20,50
,124,1,24,175,30,50
,123,1,23,150,20,50
,122,1,22,135,20,50
,121,1,21,120,20,50
,134,1,34,385,70,70
,133,1,33,300,60,60
,132,1,32,225,50,50
,131,1,31,200,40,50
,144,1,44,840,180,120
,143,1,43,600,150,100
,142,1,42,540,120,90
,141,1,41,480,90,80
,154,1,54,1000,300,200
,153,1,53,1800,270,180
,152,1,52,1440,240,160
,151,1,51,1120,210,140
