,required,required,required,required,required
,uint32,uint32,string,uint32,uint32
,id,original_cost,tag,tab_type,sort
备注,ID,原价,商品标签,页签类型,顺序
,1,15,xg,1,9
,2,30,xg,1,10
,3,80,xg,1,11
,4,200,xg,1,12
,5,1500,,0,13
,6,50,,0,7
,7,50,,0,8
,8,1000,,0,5
,9,80,,0,6
,10,220,xg,2,1
,11,220,xg,2,2
,12,500,xg,2,3
,13,300,xg,2,4
,14,500,,0,1
,15,500,,0,2
,16,1200,,0,3
,17,1200,,0,4
,18,3000,,0,5
,19,3000,,0,6
,20,300,,0,7
,21,1000,,0,8
,22,400,,0,1
,23,400,,0,2
,24,400,,0,3
,25,1000,,0,4
,26,1000,,0,5
,27,1000,,0,6
,28,120,,0,7
,29,360,,0,8
,30,1000,,0,9
,31,180,xg,2,1
,32,180,xg,2,2
,33,180,xg,2,3
,34,180,xg,2,4
,35,40,,0,5
,36,1000,,0,1
,37,1000,,0,2
,38,1000,,0,3
,39,150,,0,4
,40,600,,0,5
,41,1500,,0,1
,42,1500,,0,2
,43,1500,,0,3
,44,3000,,0,4
,45,100,,0,5
,46,300,,0,6
,47,20,,0,7
,48,1000,,0,1
,49,1000,,0,2
,50,1000,,0,3
,51,100,,0,4
,52,200,,0,5
