,required,required,required,required,required,repeated,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,int32,int32,uint32,int32,int32,int32,int32,int32,int32,int32,int32
,id,skill_id,level,show_time,realtime,status,dmg_odd,const_dmg,crit_bonus,ignore_phy_def,ignore_mgc_def,ignore_dodge,ignore_parry,element_type
备注,流水号,技能ID,等级,招式时间（毫秒）,实际表现时间（毫秒）,buf状态集合,伤害比例,固定加伤,技能额外暴击伤害（暴击时增加的暴击伤害）,无视物理防御,无视魔法防御,无视闪避,无视格挡,元素属性
,101001,1010101,1,1800,1944,,4000,0,0,0,0,0,0,0
,101002,1010201,1,2000,2073,,4000,0,0,0,0,0,0,0
,101003,1010301,1,820,821,,1800,0,0,0,0,0,0,0
,101004,1010302,1,720,726,,4800,0,0,0,0,0,0,0
,101005,1010303,1,320,728,,2900,0,0,0,0,0,0,0
,101006,1010401,1,400,509,,1200,0,0,0,0,0,0,0
,101007,1010402,1,400,521,,1200,0,0,0,0,0,0,0
,101008,1010403,1,500,509,,1200,0,0,0,0,0,0,0
,101009,1010404,1,500,1341,,1200,0,0,0,0,0,0,0
,101010,1010405,1,1200,1378,,3200,0,0,0,0,0,0,0
,101011,1010406,1,1000,819,,2000,0,0,0,0,0,0,0
,101012,1010501,1,500,572,,2100,0,0,0,0,0,0,0
,101013,1010502,1,700,1010,,2100,0,0,0,0,0,0,0
,101014,1010503,1,400,349,,2100,0,0,0,0,0,0,0
,101015,1010504,1,400,511,,2100,0,0,0,0,0,0,0
,101016,1010601,1,1200,1439,,1500,0,0,0,0,0,0,0
,101017,1010602,1,900,1075,,1500,0,0,0,0,0,0,0
,101018,1010603,1,1800,2198,,1500,0,0,0,0,0,0,0
,101019,1010604,1,1600,1835,,1500,0,0,0,0,0,0,0
,101020,1010605,1,1600,1719,,1500,0,0,0,0,0,0,0
,101021,1010606,1,900,963,,4500,0,0,0,0,0,0,0
,101022,1010701,1,5000,5951,,9000,0,0,0,0,1,1,0
,101023,1010702,1,3000,3885,,19000,0,0,0,0,1,1,0
,101024,1010801,1,3000,3944,,0,0,0,0,0,0,0,0
,108075,1080301,7,2000,1894,,10500,0,0,0,0,0,0,0
,108076,1080401,7,3000,3117,,11200,0,0,0,0,0,0,0
,108077,1080501,7,5000,4864,,10000,0,0,0,0,0,0,0
,108078,1080601,7,6000,9013,,9500,0,0,0,0,0,0,0
,108079,1080701,7,8000,8201,,0,0,0,0,0,1,1,0
,108080,1082101,7,2000,1921,,4000,0,0,0,0,0,0,0
,108081,1082201,7,2000,3017,,4000,0,0,0,0,0,0,0
