,required,required,required,optional,optional,optional,optional,optional,optional,optional
,uint32,uint32,uint32,string,string,string,string,string,string,uint32
,id,desc_id,statusType,statusIcon,statusHeadEffect,statusBodyEffect,statusFootEffect,uiEffect,textIcon,audio
Mark,状态ID(状态来自skill.xlsx表技能状态 id规则为：技能id 后面再加2位数字),描述id,buff类型,状态图标,头部特效,身体特效,脚底特效,ui特效,,音效id
,1001,1001,10,Textures/Atlas/Dyn/Buff/yinshendoupeng.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_yinshendoupeng.prefab,,0
,100101,100101,1001,Textures/Atlas/Dyn/Buff/suijia.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_suijia.prefab,,0
,100301,100301,1003,Textures/Atlas/Dyn/Buff/zhongjizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhongjizengfu.prefab,,0
,100701,100701,1007,Textures/Atlas/Dyn/Buff/zenghen.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zenghen.prefab,,0
,100801,100801,1008,Textures/Atlas/Dyn/Buff/lieshang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_lieshang.prefab,,0
,100901,100901,1009,Textures/Atlas/Dyn/Buff/jinjijiejie.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jinjijiejie.prefab,,0
,101001,101001,1010,Textures/Atlas/Dyn/Buff/canrao.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_chanrao.prefab,,0
,101201,101201,1012,Textures/Atlas/Dyn/Buff/diyujiasuo.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_diyujiasuo.prefab,,0
,101301,101301,1013,Textures/Atlas/Dyn/Buff/meihuo.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_meihuo.prefab,,0
,101801,101801,1018,Textures/Atlas/Dyn/Buff/fanzhi.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_fanzhi.prefab,,0
,101901,101901,1019,Textures/Atlas/Dyn/Buff/zhuoshao.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhuoshao.prefab,,0
,102001,102001,1020,Textures/Atlas/Dyn/Buff/Coldwind.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_hanfeng.prefab,,0
,102101,102101,1021,Textures/Atlas/Dyn/Buff/guaiwuwuli.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_guaiwuli.prefab,,0
,102201,102201,1022,Textures/Atlas/Dyn/Buff/gedang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_gedang.prefab,,0
,102301,102301,1023,Textures/Atlas/Dyn/Buff/juneng.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_juneng.prefab,,0
,102401,102401,1024,Textures/Atlas/Dyn/Buff/zuzhou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zuzhou.prefab,,0
,102402,102401,1024,Textures/Atlas/Dyn/Buff/zuzhou.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zuzhou.prefab,,0
,102501,102501,1025,Textures/Atlas/Dyn/Buff/shanbi.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shanbi.prefab,,0
,102601,102601,1026,Textures/Atlas/Dyn/Buff/anxiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anxiang.prefab,,0
,102701,102701,1027,Textures/Atlas/Dyn/Buff/Confuse.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_mihuo.prefab,,0
,102801,102801,1028,Textures/Atlas/Dyn/Buff/anheizhihun.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anheizhihun.prefab,,0
,102901,102901,1029,Textures/Atlas/Dyn/Buff/jinengzengqiang.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_jinengzengqiang.prefab,,0
,103001,103001,1030,Textures/Atlas/Dyn/Buff/Bitingblade.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shiren.prefab,,0
,103101,103101,1031,Textures/Atlas/Dyn/Buff/baoji.png,,,,,,0
,103201,103201,1032,Textures/Atlas/Dyn/Buff/baojizengfu.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_baojizengfu.prefab,,0
,103301,103301,1033,Textures/Atlas/Dyn/Buff/zhenshe.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_zhenshe.prefab,,0
,103401,103401,1034,Textures/Atlas/Dyn/Buff/Sealhunting1.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shoulie1.prefab,,0
,103501,103501,1035,Textures/Atlas/Dyn/Buff/Sealhunting2.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shoulie2.prefab,,0
,103601,103601,1036,Textures/Atlas/Dyn/Buff/Sealhunting3.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shoulie3.prefab,,0
,103701,103701,1037,Textures/Atlas/Dyn/Buff/Sealhunting4.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shoulie4.prefab,,0
,103801,103801,1038,Textures/Atlas/Dyn/Buff/Dark.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_heian.prefab,,0
,200101,200101,2001,Textures/Atlas/Dyn/Buff/huoyanyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_huoyanjidian.prefab,,10486
,200102,200101,2001,Textures/Atlas/Dyn/Buff/huoyanyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_huoyanjidian.prefab,,10486
,200201,200201,2002,Textures/Atlas/Dyn/Buff/xinghongzhihen.png,,Effect_buff_xianxueyingji,,Prefab/EffectUI/Effect_UI_buff_ty_xinghongzhiheng.prefab,,10484
,200301,200301,2003,Textures/Atlas/Dyn/Buff/qinshizhihen.png,,Effect_buff_xieeyingji,,Prefab/EffectUI/Effect_UI_buff_ty_qinshizhiheng.prefab,,10482
,200401,200401,2004,Textures/Atlas/Dyn/Buff/lianyuzhihen.png,,Effect_buff_zuzhouyingji,,Prefab/EffectUI/Effect_UI_buff_ty_lianyuzhiheng.prefab,,10481
,200501,200501,2005,Textures/Atlas/Dyn/Buff/shengmingyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shengmingyinji.prefab,,10483
,200502,200501,2005,Textures/Atlas/Dyn/Buff/shengmingyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_shengmingyinji.prefab,,10483
,200901,200901,2009,Textures/Atlas/Dyn/Buff/anlongyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anlongyinji.prefab,,10482
,200902,200901,2009,Textures/Atlas/Dyn/Buff/anlongyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_anlongyinji.prefab,,10482
,201001,201001,2010,Textures/Atlas/Dyn/Buff/aoziyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_aoziyinji.prefab,,10474
,201101,201101,2011,Textures/Atlas/Dyn/Buff/bingshuangyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_bingshuangyinji.prefab,,10479
,201201,201201,2012,Textures/Atlas/Dyn/Buff/heianzhihunyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_heianzhihunyinji.prefab,,10480
,201202,201202,2012,Textures/Atlas/Dyn/Buff/heianzhihunyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_heianzhihunyinji.prefab,,10480
,201203,201203,2012,Textures/Atlas/Dyn/Buff/heianzhihunyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_heianzhihunyinji.prefab,,10480
,201301,201301,2013,Textures/Atlas/Dyn/Buff/feibiaoyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_feibiaoyinji.prefab,,10474
,201302,201301,2013,Textures/Atlas/Dyn/Buff/feibiaoyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_feibiaoyinji.prefab,,10474
,201303,201303,2013,Textures/Atlas/Dyn/Buff/feibiaoyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_feibiaoyinji.prefab,,10474
,201304,201303,2013,Textures/Atlas/Dyn/Buff/feibiaoyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_feibiaoyinji.prefab,,10474
,201401,201401,2014,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,10475
,201501,201501,2015,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,10477
,201601,201601,2016,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,10476
,201701,201701,2017,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,10478
,201801,201801,2018,Textures/Atlas/Dyn/Buff/xiongxingyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_xiongxingyinji.prefab,,10485
,201802,201801,2018,Textures/Atlas/Dyn/Buff/xiongxingyinji.png,,,,Prefab/EffectUI/Effect_UI_buff_ty_xiongxingyinji.prefab,,10485
,300001,300001,3000,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,10475
,300002,300001,3000,Textures/Atlas/Dyn/Buff/defaultbuff.png,,,,,,10475
