,required,required,required,required,required,required,required,required,required,required
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,id,monster_group_id,reward1_id,reward1_num,reward2_id,reward2_num,reward3_id,reward3_num,reward4_id,reward4_num
备注,怪物id,怪物组id,奖励1id,奖励1数量,奖励2id,奖励2数量,奖励3id,奖励3数量,奖励4id,奖励4数量
,1,800031,1,100,12,200,3,50000,500014,1
,2,800032,1,120,12,240,3,55000,500014,1
,3,800033,1,140,12,280,3,60000,500014,1
,4,800034,1,160,12,320,3,65000,500014,1
,5,800035,1,180,12,360,3,70000,500014,1
,6,800036,1,200,12,400,3,75000,500014,1
,7,800037,1,220,12,440,3,80000,500014,1
,8,800038,1,240,12,480,3,85000,500014,1
,9,800039,1,260,12,520,3,90000,500014,1
,10,800040,1,280,12,560,3,95000,500014,1
,11,800041,1,300,12,600,3,100000,500014,2
,12,800042,1,320,12,640,3,105000,500014,2
,13,800043,1,340,12,680,3,110000,500014,2
,14,800044,1,360,12,720,3,115000,500014,2
,15,800045,1,380,12,760,3,120000,500014,2
,16,800046,1,400,12,800,3,125000,500014,2
,17,800047,1,420,12,840,3,130000,500014,2
,18,800048,1,440,12,880,3,135000,500014,2
,19,800049,1,460,12,920,3,140000,500014,2
,20,800050,1,480,12,960,3,145000,500014,2
,21,800051,1,500,12,1000,3,150000,500014,3
,22,800052,1,520,12,1040,3,155000,500014,3
,23,800053,1,540,12,1080,3,160000,500014,3
,24,800054,1,560,12,1120,3,165000,500014,3
,25,800055,1,580,12,1160,3,170000,500014,3
,26,800056,1,600,12,1200,3,175000,500014,3
,27,800057,1,620,12,1240,3,180000,500014,3
,28,800058,1,640,12,1280,3,185000,500014,3
,29,800059,1,660,12,1320,3,190000,500014,3
,30,800060,1,680,12,1360,3,195000,500014,3
,31,800061,1,700,12,1400,3,200000,500014,4
,32,800062,1,720,12,1440,3,205000,500014,4
,33,800063,1,740,12,1480,3,210000,500014,4
,34,800064,1,760,12,1520,3,215000,500014,4
,35,800065,1,780,12,1560,3,220000,500014,4
,36,800066,1,800,12,1600,3,225000,500014,4
,37,800067,1,820,12,1640,3,230000,500014,4
,38,800068,1,840,12,1680,3,235000,500014,4
,39,800069,1,860,12,1720,3,240000,500014,4
,40,800070,1,880,12,1760,3,245000,500014,4
,41,800071,1,900,12,1800,3,250000,500014,5
,42,800072,1,920,12,1840,3,255000,500014,5
,43,800073,1,940,12,1880,3,260000,500014,5
,44,800074,1,960,12,1920,3,265000,500014,5
,45,800075,1,980,12,1960,3,270000,500014,5
,46,800076,1,1000,12,2000,3,275000,500014,5
,47,800077,1,1000,12,2000,3,280000,500014,5
,48,800078,1,1000,12,2000,3,285000,500014,5
