,required,required,required,required,optional,optional,optional,optional
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,building_type,level,type,data1,data2,data3,data4
备注,ID,建筑类型,建筑等级,功能类型,数据1,数据2,数据3,数据4
,1,1,1,1,10,1,0,0
,2,1,1,1,20,1,0,0
,3,1,1,1,30,2,0,0
,4,1,1,1,40,3,0,0
,5,1,1,1,50,28,0,0
,6,1,2,1,10,1,0,0
,7,1,2,1,20,1,0,0
,8,1,2,1,30,2,0,0
,9,1,2,1,40,4,0,0
,10,1,2,1,50,28,0,0
,11,1,3,1,10,1,0,0
,12,1,3,1,20,1,0,0
,13,1,3,1,30,2,0,0
,14,1,3,1,40,4,0,0
,15,1,3,1,50,29,0,0
,16,1,4,1,10,1,0,0
,17,1,4,1,20,1,0,0
,18,1,4,1,30,2,0,0
,19,1,4,1,40,5,0,0
,20,1,4,1,50,29,0,0
,21,1,5,1,10,1,0,0
,22,1,5,1,20,1,0,0
,23,1,5,1,30,2,0,0
,24,1,5,1,40,5,0,0
,25,1,5,1,50,30,0,0
,26,1,6,1,10,1,0,0
,27,1,6,1,20,1,0,0
,28,1,6,1,30,3,0,0
,29,1,6,1,40,5,0,0
,30,1,6,1,50,30,0,0
,31,1,7,1,10,1,0,0
,32,1,7,1,20,1,0,0
,33,1,7,1,30,3,0,0
,34,1,7,1,40,5,0,0
,35,1,7,1,50,32,0,0
,36,1,8,1,10,1,0,0
,37,1,8,1,20,1,0,0
,38,1,8,1,30,3,0,0
,39,1,8,1,40,6,0,0
,40,1,8,1,50,33,0,0
,41,1,9,1,10,1,0,0
,42,1,9,1,20,1,0,0
,43,1,9,1,30,3,0,0
,44,1,9,1,40,6,0,0
,45,1,9,1,50,36,0,0
,46,1,10,1,10,1,0,0
,47,1,10,1,20,1,0,0
,48,1,10,1,30,3,0,0
,49,1,10,1,40,6,0,0
,50,1,10,1,50,39,0,0
,51,1,1,1,0,1,0,0
,52,1,2,1,0,1,0,0
,53,1,3,1,0,1,0,0
,54,1,4,1,0,1,0,0
,55,1,5,1,0,1,0,0
,56,1,6,1,0,1,0,0
,57,1,7,1,0,1,0,0
,58,1,8,1,0,1,0,0
,59,1,9,1,0,1,0,0
,60,1,10,1,0,1,0,0
,61,1,1,2,35,0,0,0
,62,1,2,2,36,0,0,0
,63,1,3,2,37,0,0,0
,64,1,4,2,38,0,0,0
,65,1,5,2,39,0,0,0
,66,1,6,2,40,0,0,0
,67,1,7,2,42,0,0,0
,68,1,8,2,44,0,0,0
,69,1,9,2,47,0,0,0
,70,1,10,2,50,0,0,0
