,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
,id,type,data1,data2,data3,itemtype_ID1,itemtype_num1,itemtype_ID2,itemtype_num2,itemtype_ID3,itemtype_num3,itemtype_ID4,itemtype_num4
备注,流水ID,活动类型,表示奖励的参数,表示奖励的参数,表示奖励的参数,奖励物品1ID,奖励物品1数量,奖励物品2ID,奖励物品2数量,奖励物品3ID,奖励物品3数量,奖励物品4ID,奖励物品4数量
,1,1,1,0,1,1,200,12,200,3,100000,0,0
,2,1,1,1,2,1,150,12,150,3,80000,0,0
,3,1,1,2,3,1,100,12,100,3,60000,0,0
,4,1,1,3,6,1,50,12,50,3,40000,0,0
,5,1,1,6,10,1,10,12,50,3,20000,0,0
,6,1,2,0,1,1,200,12,200,3,100000,0,0
,7,1,2,1,2,1,150,12,150,3,80000,0,0
,8,1,2,2,3,1,100,12,100,3,60000,0,0
,9,1,2,3,6,1,50,12,50,3,40000,0,0
,10,1,2,6,10,1,10,12,50,3,20000,0,0
,11,1,3,0,1,1,200,12,200,3,100000,0,0
,12,1,3,1,2,1,150,12,150,3,80000,0,0
,13,1,3,2,3,1,100,12,100,3,60000,0,0
,14,1,3,3,6,1,50,12,50,3,40000,0,0
,15,1,3,6,10,1,10,12,50,3,20000,0,0
,16,1,4,0,1,1,200,12,200,3,100000,0,0
,17,1,4,1,2,1,150,12,150,3,80000,0,0
,18,1,4,2,3,1,100,12,100,3,60000,0,0
,19,1,4,3,6,1,50,12,50,3,40000,0,0
,20,1,4,6,10,1,10,12,50,3,20000,0,0
,21,1,5,0,1,1,200,12,200,3,100000,0,0
,22,1,5,1,2,1,150,12,150,3,80000,0,0
,23,1,5,2,3,1,100,12,100,3,60000,0,0
,24,1,5,3,6,1,50,12,50,3,40000,0,0
,25,1,5,6,10,1,10,12,50,3,20000,0,0
,26,1,6,0,1,1,200,12,200,3,100000,0,0
,27,1,6,1,2,1,150,12,150,3,80000,0,0
,28,1,6,2,3,1,100,12,100,3,60000,0,0
,29,1,6,3,6,1,50,12,50,3,40000,0,0
,30,1,6,6,10,1,10,12,50,3,20000,0,0
,31,1,7,0,1,1,200,12,200,3,100000,0,0
,32,1,7,1,2,1,150,12,150,3,80000,0,0
,33,1,7,2,3,1,100,12,100,3,60000,0,0
,34,1,7,3,6,1,50,12,50,3,40000,0,0
,35,1,7,6,10,1,10,12,50,3,20000,0,0
,36,1,8,0,1,1,200,12,200,3,100000,0,0
,37,1,8,1,2,1,150,12,150,3,80000,0,0
,38,1,8,2,3,1,100,12,100,3,60000,0,0
