,required,required,required,optional,required,optional,optional
,int32,int32,string,int32,int32,string,int32
,id,type,Task,level,functionId,Path,guide
备注,系统功能ID,系统功能类型,解锁需要完成的所有任务ID,解锁任务对应的等级,对应主界面功能图标表ID,对应图标路径,引导Id
羁绊,2,2,10216,14,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
英雄升级,3,2,10108、10107、10110、10111、10266,8,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,105
英雄突破,4,2,10164,18,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
装备强化,5,2,10127、10128、10129、10228、10130,13,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,108
符文镶嵌,9,2,10214、10270,15,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
符文升级,10,2,10156、10157、10158、10159、10160,17,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
本命助力,11,3,-1、10116,9,2,Textures\Atlas\Dyn\UnlockIcon\iconChongWu.png,0
装备进阶,6,2,10073、10067,24,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
装备升星,7,2,10173、10174、10175,24,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
技能升级,8,1,10206、10207、10210、10212,3,1,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,301
本命升级,12,1,10112、10113、10114、10115、10116,9,2,Textures\Atlas\Dyn\UnlockIcon\iconChongWu.png,109
本命升星,13,3,-1、10150,14,2,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
英雄抽取,14,1,10134、10132,14,8,Textures\Atlas\Dyn\UnlockIcon\iconZhanBu.png,111
编队,16,1,,0,4,Textures\Atlas\Dyn\UnlockIcon\icon_team.png,106
公会,17,1,10144、10147、10148,10,7,Textures\Atlas\Dyn\UnlockIcon\iconGongHui.png,0
换位竞技场,18,1,10148,14,3,Textures\Atlas\Dyn\UnlockIcon\iconJingJi.png,0
骑士考核,19,2,10184、10185,24,3,Textures\Atlas\Dyn\UnlockIcon\iconJingJi.png,0
改名,20,3,-1、10223,9,0,Textures\Atlas\Dyn\UnlockIcon\iconYingXiong.png,0
好友,21,1,10144,13,0,Textures\Atlas\Dyn\UnlockIcon\icon_friend.png,0
好友宝箱,22,1,10166、10167,19,13,Textures\Atlas\Dyn\UnlockIcon\iconBaoXiang.png,0
商城,23,3,,0,10,Textures\Atlas\Dyn\UnlockIcon\iconShangCheng.png,0
讨伐领主,24,1,10069、10070、10071、10073,24,9,Textures\Atlas\Dyn\UnlockIcon\iconTaoFaLingZhu.png,0
多人副本,25,1,10178、10226、10180、10181、10182,24,14,Textures\Atlas\Dyn\UnlockIcon\icon_activity_02.png,0
自律联盟,26,1,10544,15,12,Textures\Atlas\Dyn\UnlockIcon\iconDailyAct.png,0
每日副本,27,1,10161、10162、10168、10169、10163,9,12,Textures\Atlas\Dyn\UnlockIcon\iconDailyAct.png,0
温丽的梦境,28,2,10064、10217、10218、10065、10066,24,12,Textures\Atlas\Dyn\UnlockIcon\iconDailyAct.png,0
问卷1,30,1,,0,17,Textures\Atlas\Dyn\UnlockIcon\icon_questionnaire.png,313
问卷2,31,1,,0,18,Textures\Atlas\Dyn\UnlockIcon\icon_questionnaire.png,314
限时副本-魔物入侵,32,3,,0,14,Textures\Atlas\Dyn\UnlockIcon\icon_activity_02.png,0
