,required,required,required
,uint32,uint32,uint32
,id,picture_id,reward_id
备注,关卡id,关卡背景图id,奖励id（客户端）
,1,1,6000184
,2,2,6000185
,3,3,6000186
,4,4,6000187
,5,5,6000188
,10101,6,6000189
,10102,7,6000190
,10103,8,6000191
,20101,9,6000192
,20102,10,6000193
,20103,11,6000194
,30101,12,6000195
,30102,13,6000196
,30103,14,6000197
,10201,15,6000198
,10202,16,6000199
,10203,17,6000200
,30201,18,6000201
,30202,19,6000202
,30203,20,6000203
,10301,21,6000204
,10302,22,6000205
,10303,23,6000206
,10401,24,6000207
,10402,25,6000208
,10403,26,6000209
,10601,27,6000210
,10602,28,6000211
,10603,29,6000212
,10701,30,6000213
,10702,31,6000214
,10703,32,6000215
,40101,33,6000216
,40102,34,6000217
,40103,35,6000218
,10501,36,6000219
,10502,37,6000220
,10503,38,6000221
,10801,39,6000222
,10802,40,6000223
,10803,41,6000224
,11201,42,6000225
,11202,43,6000226
,11203,44,6000227
