,required,required
,uint32,uint32
,ui_id,deblocking_id
备注,界面id,解锁id
英雄列表主界面,200,0
英雄升级,201,3
英雄突破,202,4
装备强化,203,5
装备升星,204,7
装备进阶,205,6
技能升级,206,8
符文镶嵌,207,9
英雄好感度,208,2
本命助力,209,11
佣兵界面,400,26
悬赏界面,410,26
自律联盟（四个npc头像的）,420,26
背包,500,0
传送目标选择,600,0
占卜(抽奖)界面,700,14
本命占卜,710,15
英雄占卜,720,14
本命界面,800,12
本命升级,801,12
本命升星,802,13
竞技场,900,18
讨伐领主,1000,24
骑士考核,1100,19
每日必做,1200,29
公会,1300,17
公会活动,1310,17
温丽梦境,1400,28
每日副本,1500,27
商城界面,1600,23
公会商城,1610,17
本命商城,1620,12
英雄商城,1630,23
竞技场商城,1640,18
骑士商城,1650,19
梦境小铺,1660,28
第一个商店,1670,23
编队界面,1700,16
好友宝箱,1800,22
好友列表,1900,0
限时活动,2000,0
14日循环活动,2010,0
充值月卡,2100,0
