,required,required,required
,uint32,uint32,uint32
英雄进阶,id,level,need_exp
备注,id,战队等级,升级经验
,1,1,100
,2,2,100
,3,3,200
,4,4,200
,5,5,400
,6,6,400
,7,7,800
,8,8,800
,9,9,1200
,10,10,1600
,11,11,2000
,12,12,2400
,13,13,3000
,14,14,3500
,15,15,4500
,16,16,5500
,17,17,6500
,18,18,7500
,19,19,9000
,20,20,9500
,21,21,11500
,22,22,13500
,23,23,16000
,24,24,18600
,25,25,22150
,26,26,26800
,27,27,31200
,28,28,38600
,29,29,41600
,30,30,45000
,31,31,53800
,32,32,72000
,33,33,78500
,34,34,87500
,35,35,96900
,36,36,101900
,37,37,106900
,38,38,111900
,39,39,116900
,40,40,137800
,41,41,154200
,42,42,168800
,43,43,183800
,44,44,199400
,45,45,215600
,46,46,233900
,47,47,259600
,48,48,289200
,49,49,319800
,50,50,354600
,51,51,390500
,52,52,439400
,53,53,485700
,54,54,533500
,55,55,586300
,56,56,644200
,57,57,703900
,58,58,769000
,59,59,839800
,60,60,916500
,61,61,999100
,62,62,1088100
,63,63,1179300
,64,64,1277100
,65,65,1381500
,66,66,1492900
,67,67,1611300
,68,68,1737000
,69,69,1870200
,70,70,2015600
,71,71,2169000
,72,72,2330600
,73,73,2500600
,74,74,2683900
,75,75,2876200
,76,76,3077600
,77,77,3293200
,78,78,3518500
,79,79,3758800
,80,80,0
