,required,optional,optional,optional,repeated,required,required,repeated,optional
,uint32,string,string,string,uint32,uint32,uint32,uint32,int32
,id,effectPath,iconPath,defaultAnim,talk_ids,talk_time,talk_wait_time,dialog_ids,trap_stay
备注,npcGroupID,魔法阵路径,显示图标,默认动作,气泡id组,气泡显示时长,等待时间,对话id组,0 陷阱触发方式不变 1 陷阱停留触发
,60473,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,60474,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,60475,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,60476,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,60477,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,60478,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,60479,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,60480,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
,60481,Prefab/Effect/Scene/Effect_Scene_caiji.prefab,,,,0,0,,0
