,required,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required
,uint32,uint32,int32,int32,int32,int32,int32,string,int32,string,int32,string,uint32,int32,int32,string,uint32,uint32
,Task_id,NPC_id,Type,SubType,areaId,Quality,Starttype,Data1,Endtype,Data2,effect,missionMap,escortLookface,talkDur,awardGroupId,QuestionMark,AutoTask,Typemask
备注,任务id,所属NPCID,任务类型,子类型（采集任务1）,所属区域ID,品质,进行中点击追踪面板触发的效果,对应数据,完成时点击追踪面板触发的功,对应数据,接受和完成特效,护送任务地图,护送Npc模型,喊话间隔时间,任务奖组Id,NPC/Monster头顶任务问号或者路标问号,自动任务,图标类型
,60320,0,7,0,0,0,0,,1,,5,0,0,0,0,0,0,0
,60321,0,7,0,0,0,3,1 3148 30680,1,,5,0,0,0,0,0,0,0
,60322,0,7,0,0,0,3,1 3148 30682,1,,5,0,0,0,0,0,0,0
,60323,0,7,0,0,0,3,1 3148 30683,1,,2,0,0,0,0,0,0,0
,70264,0,9,0,0,0,1,,1,,5,0,0,0,0,0,0,0
,70265,0,9,0,0,0,3,1 1000 20992,1,,5,0,0,0,0,1 1 1000 20992,0,0
,70266,0,9,0,0,0,3,1 1000 20992,1,,5,0,0,0,0,1 1 1000 20992,0,0
,70267,0,9,0,0,0,1,,1,,5,0,0,0,0,0,0,0
,70268,0,9,0,0,0,3,1 1000 20228,1,,5,0,0,0,0,1 1 1000 20228,0,0
,70269,0,9,0,0,0,3,1 1000 20228,1,,5,0,0,0,0,1 1 1000 20228,0,0
,70270,0,9,0,0,0,3,1 1000 20228,1,,5,0,0,0,0,1 1 1000 20228,0,0
,70271,0,9,0,0,0,3,1 1000 30676,1,,5,0,0,0,0,0,0,0
,70336,0,9,0,0,0,3,1 1000 30676,1,,5,0,0,0,0,0,0,0
,70337,0,9,0,0,0,3,1 1000 30676,1,,2,0,0,0,0,0,0,0
,70431,0,9,0,0,0,3,1 1000 30676,1,,5,0,0,0,0,0,0,0
,70432,0,9,0,0,0,3,1 1000 30676,1,,5,0,0,0,0,0,0,0
