,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,string,float,float,float,uint32,uint32,float,uint32,uint32,string
,id,levelId,pathId,position,rotation,safePos,patrolSpeed,fightDistance,triggerDistance,triggerAngle,noColor,attack_radius,patrolMinStayTime,patrolMaxStayTime,paths
备注,id,场景ID,路径ID,坐标,角度,英雄安全点,巡逻速度,战斗距离,触发距离,触发角度,视野颜色0可见1不可见,偷袭距离,巡逻最小停留时间,巡逻最大停留时间,路径
,3030006,3030,6,"-17.59,0.02471161,-5.02","0,0,0","-8.89,0.02471161,1.55",0,5,5,360,0,0,500,2000,
,3030007,3030,7,"-48.74,0.08,29.03","0,156.96,0","-8.730122,0.02474213,1.491816",0,5,5,360,0,0,500,2000,
,3030008,3030,8,"-83.45,0.03,18.41","0,92.31027,0","-40.8905,0.02474213,16.50569",0,5,5,360,0,0,500,2000,
,3030009,3030,9,"-65.41,0.08,40.32","0,220.7,0","-63.92,0.07999998,39.33",0,7,7,360,0,0,500,2000,
,3030010,3030,10,"-14.64,0.02471924,7.58","0,0,0","-8.8,0.02471924,1.6",0.5,7,7,360,0,0,1,1,"-20.191,0.025,12.152;-27.506,0.025,12.286;-32.537,0.025,15.273;-44.107,0.025,19.035;-51.124,0.025,25.001;-59.599,0.025,20.985;"
,3030011,3030,11,"-49.92,0.104,21.73","0,232.983,0","-8.800079,-0.031,1.561508",1.2,3,3,360,0,0,500,2000,"-57.789,-0.082,22.947;-50.881,0.137,22.349;"
,3030012,3030,12,"-58.9,0.104,19.31","0,142.983,0","-8.80471,-0.013,1.499357",1.2,3,3,360,0,0,500,2000,"-49.05,0.035,26.656;-59.776,1.34,18.178;"
,3030013,3030,13,"-73.93,0.02473831,15.02","0,99.48998,0","-8.815437,0.02473831,1.527573",0,7,7,360,0,0,500,2000,
,3030014,3030,14,"-65.41,0.08,40.32","0,220.7,0","-74.18047,0.07999998,33.42044",0,7,7,360,0,0,500,2000,
,3030015,3030,15,"-86.21,0.08,11.3","0,74.63999,0","-8.741577,0.0247345,1.420324",0,7,7,360,0,0,500,2000,
,3030016,3030,16,"-83.42638,0.03260824,11.62","0,81.245,0","-64.35254,0.02472305,17.29093",1,5,5,360,0,0,500,2000,
,3030017,3030,17,"-49.57,0.02473068,23.68","11.18245,121.9195,1.859089","-40.77693,0.024,18.20264",1,7,7,360,0,0,500,2000,
,3030018,3030,18,"-77.54,0.02471924,16.26051","348.5006,91.36887,0.3261315","-66.02576,0.024,17.29572",1,7,7,360,0,0,500,2000,
,3030019,3030,19,"-59.21883,0.02472687,40.44333","357.1732,251.8154,357.8541","-69.2487,0.024,37.14865",1,7,7,360,0,0,500,2000,
,3030020,3030,20,"-49.57,0.02473068,23.68","11.18245,121.9195,1.859089","-40.77693,0.024,18.20264",1,0,0,360,0,0,500,2000,
,3030021,3030,21,"-77.54,0.02471924,16.26051","348.5006,91.36887,0.3261315","-66.02576,0.024,17.29572",1,0,0,360,0,0,500,2000,
,3030022,3030,22,"-70.91,0.3109169,44.18","0,180,0","-65.91,0.04091689,17.296",1,3,3,360,0,0,500,2000,
,3030023,3030,23,"-61.87569,0.02472305,47.47","0,180,0","-65.88569,0.02472305,17.32",1,3,3,360,0,0,500,2000,
,3030024,3030,24,"-50.39,0.02472687,37.76","0,270,0","-65.89,0.02472687,17.27999",1,3,3,360,0,0,500,2000,
,3030025,3030,25,"-74.99255,0.02472687,14.34316","0,0,0","-65.88255,0.02472687,17.22316",1,5,5,360,0,0,500,2000,
