,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,uint32,uint32,string,string,string,float,float,float,uint32,uint32,float,uint32,uint32,string
,id,levelId,pathId,position,rotation,safePos,patrolSpeed,fightDistance,triggerDistance,triggerAngle,noColor,attack_radius,patrolMinStayTime,patrolMaxStayTime,paths
备注,id,场景ID,路径ID,坐标,角度,英雄安全点,巡逻速度,战斗距离,触发距离,触发角度,视野颜色0可见1不可见,偷袭距离,巡逻最小停留时间,巡逻最大停留时间,路径
,3038006,3038,6,"24.92,0.02,81.67","0,349.8,0","0.3477306,0,18.56556",0,7,7,80,0,1.8,500,2000,
,3038008,3038,8,"50.96,0,106.96","0,221.177,0","38.56695,0,92.98648",0,7,7,360,0,0,500,2000,
,3038009,3038,9,"-21.3,0,71.1","0,0,0","0.3477306,0,18.56556",0.5,7,7,80,0,1.8,1000,1000,"-14.369,0.008,53.896;-21.57,-0.859,71.074;"
,3038010,3038,10,"-4.66,0,34.77","0,343.3,0","0.3477306,0,18.56556",0,7,7,80,0,2,500,2000,
,3038011,3038,11,"-8.6,0,56.9","0,0,0","0.3477306,0,18.56556",0.5,7,7,80,0,2,1000,1000,"-15.738,0.398,74.163;-8.475,0.852,56.653;"
,3038012,3038,12,"33.64,0.02,85.09","0,220,0","0.3477135,0,18.56554",0,7,7,360,0,2,500,2000,
,3038013,3038,13,"-21.3,0,71.1","0,0,0","0.3477306,0,18.56556",0.5,7,7,80,0,1.8,1000,1000,"-14.369,0.008,53.896;-21.57,-0.859,71.074;"
,3038014,3038,14,"-12.7,-3.814697E-06,55.43","0,0,0","0.3100004,-3.814697E-06,18.53",0.5,7,7,80,0,1.8,500,2000,"-16.156,0.008,69.163;-12.118,0.008,54.61;"
