,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,517203,5172,3,3273,3273,177001,-1,0,-1,0,0,1
,517204,5172,4,3958,3273,177001,-1,0,3958,177001,0,1
,517205,5172,5,3132,-1,0,3132,134007,-1,0,11472,1
,1290701,12907,1,3923,3923,0,-1,0,-1,0,0,1
,1290702,12907,2,-1,-1,0,-1,0,-1,0,0,1
,1290703,12907,3,3920,-1,0,-1,0,3920,0,0,1
,1290704,12907,4,3921,3921,0,-1,0,3920,0,0,1
,1290705,12907,5,3132,3921,0,-1,0,3132,134002,0,1
,1290706,12907,6,3922,3922,0,-1,0,3132,134002,0,1
,1290707,12907,7,3132,3921,0,-1,0,3132,134002,0,1
,1290708,12907,8,3921,3921,0,-1,0,3132,134002,0,1
,1290709,12907,9,101,3921,0,-1,0,101,100109,0,1
,1290710,12907,10,3921,3921,0,-1,0,101,100109,0,1
,1290711,12907,11,-1,-1,0,-1,0,-1,0,0,1
,1290801,12908,1,3922,3922,0,-1,0,-1,0,0,1
,1290802,12908,2,3132,3922,0,-1,0,3132,134007,0,1
