,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,695101,,欢迎来到黯月城，我是你们的广播向导，以后由我陪你们度<br>过试炼时光。如果你们想给我起昵称，我也是不介意的。,,,
,695102,,这家伙是谁？自来熟又聒噪。<br>还起昵称，我不拆了你，算好了！,,,
,695103,,这位小姐姐，这么快就不耐烦了吗？！都没有开始介绍呢。<br>好吧，客户至上，我来为大家说明重点规则。,,,
,695104,,黯月城内，每层的领主通过魔法阵汲取手下的力量，增加自<br>己的特性。所以想要削弱领主的实力，先从……,,,
,695105,,先打爆他的手下，对吧？好了，知道规则了。<br>我们马上开始试炼吧。,,,
,695106,,这位小姐姐，警告！注意使用文明用语哦。<br>那么祝你们体验愉快，我会一直与你们同在。,,,
,695201,,亲爱的冒险者，愉快的解说时间。这层的主人是黯月邪法师，从外表来看的话，只是一个普通的老人家。,,,
,695202,,但是实力一点都不普通，而且他还有两个魔法阵的加持，<br>可以说是战斗力爆表。,,,
,695301,,你们看，左边的魔法阵——生命源力，黯月邪法师通过它<br>汲取黯月贪狼的生命，提升自己的生命上限。,,,
,695401,,而右边的魔法阵——力量源力，听名字就能知道啦，黯月<br>践踏者为黯月邪法师提供力量。,,,
,695501,,嗯，它说明得很到位。西蒙，我们先解决他的部下，消除他<br>的特性。,,,
,695502,,谢谢这个帅气小哥哥的夸奖，我会默默支持你们哒。,,,
,695601,,嘿嘿，亲爱的冒险者们，我猜到你们现在非常需要提示！这<br>扇门受两个魔法阵控制，只需破解任意一个，就能开启。,,,
,695701,,就是这家伙了吧？动手吧！,,,
,695702,,等等，我之前曾说过，这场试炼不仅仅是对个人实力的<br>检验，也是在考验团队的配合。,,,
,695703,,在本场试炼中，除了魔法议会指定的黯月指挥使，其余人<br>均只能出战一次。因此，我们要考虑整体策略。,,,
,695704,,只能出战一次？和城中使用的空间魔法有关吗？,,,
,695705,,对，由于空间魔法恒定，魔法阵上需要出战英雄维持恒定<br>魔力，否则很快魔族又会重聚。,策略，本大小姐想好了。,策略，还要想一想。,
,695801,,为了让你们完整体验流程，这次的封印交给我们，<br>你们继续试炼吧。,,,
,695802,,对不起大人，我守不住魔法阵了，请大人原谅我这个<br>无能的部下……,,,
,695803,,没用的废物不值得我的原谅！不过就算少了生命源力，<br>我一样是这里最强大的法师！,,,
,695804,,西蒙，黯月邪法师交给你，没问题吧？,,,
,695805,,那还用问？放心吧，泰雷！,,,
,695806,,（就在此时，温丽感觉到背后有一道目光注视着他们。）,,,
,695807,,奇怪，没有人……大家有感觉到视线吗？<br>我总觉得有人在窥视我们。,,,
,695808,,或许是其他魔族吧，体验者应该只有我们。,,,
,695809,,嗯……可能是我多心了吧。,,,
,695901,,对不起大人，我守不住魔法阵了，请大人原谅我这个<br>无能的部下……,,,
,695902,,没用的废物不值得我的原谅！不过就算少了生命源力，<br>我一样是这里最强大的法师！,,,
,696001,,就是这家伙了吧？动手吧！,,,
,696002,,等等，我之前曾说过，这场试炼不仅仅是对个人实力的<br>检验，也是在考验团队的配合。,,,
,696003,,在本场试炼中，除了魔法议会指定的黯月指挥使，其余人<br>均只能出战一次。因此，我们要考虑整体策略。,,,
,696004,,只能出战一次？和城中使用的空间魔法有关吗？,,,
,696005,,对，由于空间魔法恒定，魔法阵上需要出战英雄维持恒定<br>魔力，否则很快魔族又会重聚。,策略，本大小姐想好了。,策略，还要想一想。,
,696101,,为了让你们完整体验流程，这次的封印交给我们，<br>你们继续试炼吧。,,,
,696102,,大人，救救我！只要他们离开魔法阵，我就能继续为您<br>提供力量源力了。,,,
,696103,,该死，我这样有能力的法师，为什么分配到的是这样愚蠢<br>无能的部下！,,,
,696104,,这个令人厌恶的冒险者一刻不离开魔法阵，我的力量源力<br>就回不来……必须想办法解决他们！,,,
,696105,,西蒙，黯月邪法师交给你，没问题吧？,,,
,696106,,那还用问？放心吧，泰雷！,,,
,696107,,（就在此时，温丽感觉到背后有一道目光注视着他们。）,,,
,696108,,奇怪，没有人……大家有感觉到视线吗？<br>我总觉得有人在窥视我们。,,,
,696109,,或许是其他魔族吧，体验者应该只有我们。,,,
,696110,,嗯……可能是我多心了吧。,,,
,696201,,大人，救救我！只要他们离开魔法阵，我就能继续为您<br>提供力量源力了。,,,
,696202,,该死，我这样有能力的法师，为什么分配到的是这样愚蠢<br>无能的部下！,,,
,696203,,这个令人厌恶的冒险者一刻不离开魔法阵，我的力量源力<br>就回不来……必须想办法解决他们！,,,
,696301,,若不是部下太无能，我用得着出手？呵，这场闹剧有我来收<br>场。即使没有了两个特性加持，我也轻而易举地打败你们。,,,
,696302,,唔，不说别的，这些虚拟生物自恋自大的口味倒是和真实的<br>魔族一模一样。,,,
,696303,,你给我闭嘴！谁是虚拟的生物？我是世界上独一无二<br>的存在！,你给我醒醒吧！,休息下，稍后再战。,
,696401,,果然上次部下选拔时，不应该选择那个废物！这样轻易被<br>闯入，我在其他领主前的脸面都被丢尽了！,,,
,696402,,呵呵，一个虚拟生物还要面子。那我就一拳头，让你彻底<br>失去脸面！,,,
,696403,,哔哔哔哔！这位红发小姐姐，拳下留魔族啊！由于还有一个<br>魔法阵未破解，他身上还存有一个特性。,,,
,696404,,你们真的要进行战斗吗？这样难度会增加的。,有特性又如何，就是干！,说得还算对，再想想。,
,696501,,（当大家为胜利庆祝时，温丽又有种强烈被窥视的感觉。<br>她迅速回头，看到了一道一闪而过的身影。）,,,
,696502,,西蒙，果然有人在窥视我们！虽然只有一瞬，但是我看到<br>了，是一名人类。,,,
,696503,,你确定是人类？不是其他魔族？,,,
,696504,,当然。从身形来看，本大小姐还能断定她是一个女生。<br>泰雷，除了我们还有其他来体验的人吗？,,,
,696505,,据我所知，今天只有我们进来体验。,,,
,696506,,那她为什么会在城内，难道是想做什么？<br>走，我们出去把体验情况告诉爷爷。,,,
,1286201,,风迹速递，使命必达！<br>你是西蒙吧？请签收。,,,
,1286202,,我的？可是我没有买东西啊……<br>大小姐，是不是你又买了什么网红美食。,,,
,1286203,,诶？！速度这么快吗？昨晚才下单，今天就到了。<br>什么嘛……根本不是！是萨林寄给你的。,,,
,1286204,,在享受拆速递的快乐时，也请不要忘了给我<br>五星好评哦！那么亲，下次见咯。,,,
,1286205,,萨林会给我寄什么？我看看……<br>”以手中利剑，划破浓雾长夜……你就是帝国明日！“,,,
,1286206,,帝国禁卫军的宣传风格改走文艺鸡汤风了吗？这样子真的会<br>有人报名参加吗？,,,
,1286207,,当然要去！帝国明日的称号，我不会让给别人。,,,
,1286301,,萨林，只要是为了帝国，不管任务我都可以接受。<br>全部交给我吧！,,,
,1286302,,我很高兴你愿意报名，如今帝国就需要你这样的热血青年。<br>外界那些不好的传言，不会影响我对你个人能力的判断。,,,
,1286303,,现在有一个紧急任务——收集魔族血液样本，我把<br>它交给你。希望面对魔族时，你的热情也不会退却。,,,
,1286304,,萨林，放心吧，我绝不会退缩！,,,
,1286401,,温丽，大姐头，我们上吧！,为了帝国的明天！,还未准备好，稍后再战。,
,1286501,,萨林，这些样本足够吗？不够的话，我再去收集。<br>不过为什么要收集这么多魔族的血液样本？,,,
,1286502,,这个问题早就该问了吧！<br>事情都做完了，才问为什么要做？你是不是&￥#？,,,
,1286503,,哈哈哈，以前哥……家里人告诉我，军人最重要的是服从命<br>令，执行命令。反正现在问也不迟，不要在意这些小细节。,,,
,1286504,,西蒙，你有能力，有效率，有热情，我很欣赏你。其实收集<br>魔族血液样本是为了重启黯月城做准备。,,,
,1286505,,除此之外，魔法议会还在招募体验员，我想你们很适合。你<br>们可先去找特罗德会长了解情况，稍后我会向他推荐你们。,,,
,1286506,,谢谢你，萨林。奥兹家族永远愿意为帝国奉献一切。,,,
,1286601,,爷爷，爷爷！,,,
,1286602,,喔——噜噜噜~我的小温丽，爷爷等你好久了。<br>来，爷爷给你一个大大的拥抱。,,,
,1286603,,爷爷，快放开啦。别人都在看，多不好意思啊。<br>而且黯月城的事情，我们还要问你啦。,,,
,1286604,,黯月城的事情，哪有你重要。再说了，萨林已经和我推荐过<br>你们了，我觉得可以。,,,
,1286605,,魔族的血液样本是你们收集的，自然你们最了解他们的<br>实力。选你们做体验员，的确适合。,,,
,1286606,,等等……从刚才我就很疑惑，黯月城是那座荒废已久的月神<br>神殿吗？听说那里曾被魔族入侵，里面残留了许多魔气……,,,
,1286607,,喔——噜噜噜~你说得没错，可修复它也不是什么难事，而<br>残留的魔气也是可利用的。现在的话，它被建成试炼场了。,,,
,1286608,,残留的魔气，血液样本……爷爷，你们该不会想虚拟出<br>魔物吧？可是你之前不是说这样做很危险么？,,,
,1286609,,温丽，如何将危险控制在可控范围内，也是魔法师的必修<br>课程，以后你就会明白。,,,
,1286610,,城内的魔物都是用你们采集的样本虚拟出的，你们体验的<br>时候，记得多观察它们，看看哪里有差距。,,,
,1286611,,好了，时间差不多了。指挥使泰雷已经<color=#bd4104>三女神码头</color>在等你们，<br>还有疑问的话，问他就行。,,,
,1286701,,,,,
,1286702,,<align="center">卡诺萨·左相府</align>,,,
,1286703,,大人，他们往黯月城方向去了。,,,
,1286704,,嗯，按原定计划行动。,,,
,1286801,,原来体验员是你们啊，那我倒是放心多了。<br>以你们的实力，不至于被城内的魔族伤到。,,,
,1286802,,当然，那些手下败将只有被我打的份！,,,
,1286803,,爱琳娜姐姐，议会里的魔法师都很恶趣味的，说不定会调高<br>他们攻击力，还是小心些，比较好。,,,
,1286804,,嗯，这个试炼不仅测试个人实力，也需要团队的配合。<br>到时候，大家务必要相互配合。好了，我们出发吧。,,,
,1286805,,泰雷，我们不会是要坐船去吧？<br>呃……呕……我感觉……不太好……,,,
,1286806,,（爱琳娜一个手刀，阻止了西蒙之后想说的话。）,,,
,1286807,,这……是不是太粗暴了？,,,
,1286808,,这叫一劳永逸，懂？,,,
,1286901,,,,,
,1287001,,爷爷，黯月城的设计创意太棒了！不仅有虚拟出的魔物，<br>城内还使用空间魔法维持能量守恒。,,,
,1287002,,喔——噜噜噜~我的小温丽，你怎么这么聪明？说得完全<br>正确，不愧是我们芙蕾雅家族杰出的魔法师！,,,
,1287003,,爷爷！我还没有说完，我们还遇到一件奇怪的事，<br>似乎有人在跟踪窥视我们。,,,
,1287004,,从身形来看，她应该是个人类女生。可是体验者不是只有<br>我们吗？她为什么会在哪里？难道是想做些什么……,,,
,1287005,,跟踪？！我的小温丽，你有没有事？是不是吓到了？<br>来，爷爷给你爱的抱抱。,,,
,1287006,,爷爷，我哪有这么脆弱！我是在担心那个女生的事。,,,
,1287007,,没什么值得担心的，爷爷会处理好的。现在的话，<br>你们说说体验感受，有哪里要调整吗？,,,
,1287008,,其他的都挺好，只是那个广播太吵了，<br>吵得我想打人，不考虑换掉吗？,,,
,1287009,,爱琳娜姐姐，它也没有那么烦啦，还挺可爱的啊。,,,
,1287010,,嗯嗯，我的宝贝孙女说得对。这个广播可是黯月城的灵魂<br>啊，聊天解闷的好对象。你这个年轻人，一点都不懂潮流。,,,
,1287011,,（看在你是温丽爷爷的份上……）<br>呵呵，你开心就好。,,,
,1287012,,喔——噜噜噜~既然没有什么问题，那黯月城可以开放了。<br>以后你们无聊的时候，也可以去玩一玩。,,,
,1296301,,就是这里了，大家都准备好了吗？,马上开始试炼吧！,休息下，再开始试炼。,
