,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,694701,6947,1,101,101,0,-1,0,-1,0,0,1
,694801,6948,1,101,101,0,-1,0,-1,0,0,1
,694901,6949,1,101,101,0,-1,0,-1,0,0,1
,695001,6950,1,101,101,0,-1,0,-1,0,0,1
,697001,6970,1,101,101,100109,-1,0,-1,0,0,1
,697002,6970,2,301,101,100109,-1,0,301,0,0,1
,697003,6970,3,301,101,100109,-1,0,301,0,0,1
,697101,6971,1,-1,-1,0,-1,0,-1,0,0,1
,697201,6972,1,-1,-1,0,-1,0,-1,0,0,1
,697301,6973,1,-1,-1,0,-1,0,-1,0,0,1
,697401,6974,1,-1,-1,0,-1,0,-1,0,0,1
,697501,6975,1,301,-1,0,-1,0,301,0,0,1
,697601,6976,1,101,101,100104,-1,0,-1,0,0,1
,697602,6976,2,301,101,100104,-1,0,301,0,0,1
,702001,7020,1,-1,-1,0,-1,0,-1,0,0,1
,702101,7021,1,101,101,100108,-1,0,-1,0,0,1
,702102,7021,2,301,101,100108,-1,0,301,0,0,1
