,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3150001,,3150,2,200759,1,1,0,0,0,0,53,,0,1
,3150002,,3150,2,200760,2,1,0,0,0,0,53,,0,1
,3150003,,3150,2,200761,3,1,0,0,0,0,53,,0,1
,3150004,,3150,2,200762,4,1,0,0,0,0,53,,0,1
,3150005,,3150,2,200763,6,1,0,0,0,0,53,,0,1
,3150006,,3150,2,200764,5,1,0,0,0,0,53,,0,1
,3150007,,3150,2,200765,7,1,0,0,0,0,53,,0,1
,3150008,秘法魔箱,3150,2,200766,8,1,0,0,0,0,53,,0,1
,3150009,秘法魔箱,3150,2,200766,9,1,0,0,0,0,53,,0,1
,3150010,秘法魔箱,3150,2,200766,10,1,0,0,0,0,53,,0,1
,3150011,秘法魔箱,3150,2,200766,11,1,0,0,0,0,53,,0,1
,3150012,秘法魔箱,3150,2,200766,12,1,0,0,0,0,53,,0,1
,3150013,秘法魔箱,3150,2,200766,13,1,0,0,0,0,53,,0,1
,3150014,尤金妮娅的宝箱,3150,1,40329,0,1,0,0,0,0,0,"-48.908,0.03,29.013",180.08,1
,3150015,尤金妮娅的宝箱,3150,1,40330,0,1,0,0,0,0,0,"-59.174,0.03,25.334",148.31,1
,3150016,尤金妮娅的宝箱,3150,1,40331,0,1,0,0,0,0,0,"-70.974,0.41,10.286",-41.81,1
,3150017,尤金妮娅的宝箱,3150,1,40340,0,1,0,0,0,0,0,"-85.184,0.03,11.261",77.017,1
,3150018,尤金妮娅的宝箱,3150,1,40341,0,1,0,0,0,0,0,"-49.602,0.03,40.601",-131.1,1
,3150019,尤金妮娅的宝箱,3150,1,40342,0,1,0,0,0,0,0,"-65.883,0.03,47.021",146.31,1
,3150020,尤金妮娅的宝箱,3150,1,40343,0,1,0,0,0,0,0,,0,1
,3150021,尤金妮娅的宝箱,3150,1,40344,0,1,0,0,0,0,0,,0,1
,3150022,尤金妮娅的宝箱,3150,1,40345,0,1,0,0,0,0,0,,0,1
,3150023,尤金妮娅的宝箱,3150,1,40346,0,1,0,0,0,0,0,,0,1
,3150024,尤金妮娅的宝箱,3150,1,40347,0,1,0,0,0,0,0,,0,1
,3150025,空气墙,3150,4,1128,0,1,0,0,0,0,0,"-37.30,0.03,15.635",-57.945,1
