,required,required,required,required,required,required,required,required,required,required,required,required,required,required,required
,uint32,string,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,string,float,float
,id,name,mapid,event_type,event_id,path_id,flag,intask,story_id,life_time,level_id,battle_scene,position,rotation_y,scale
备注,分段id,名字,关卡id,事件类型,事件id,路径id,number,怪物是否显示,怪物是否喊话,存在时间,子关卡id,战斗场景id,坐标,Y轴旋转角度,模型缩放比例
,3137013,星曜宝箱,3137,1,40287,0,1,0,0,0,0,0,,0,1
,3137014,星曜宝箱,3137,1,40287,0,1,0,0,0,0,0,,0,1
,3137015,星曜宝箱,3137,1,40287,0,1,0,0,0,0,0,,0,1
,3137016,星曜宝箱,3137,1,40287,0,1,0,0,0,0,0,,0,1
,3137017,星曜宝箱,3137,1,40287,0,1,0,0,0,0,0,,0,1
,3137018,星尘宝箱,3137,1,40288,0,1,0,0,0,0,0,,0,1
,3137019,星尘宝箱,3137,1,40288,0,1,0,0,0,0,0,,0,1
,3137020,星尘宝箱,3137,1,40288,0,1,0,0,0,0,0,,0,1
,3137021,星尘宝箱,3137,1,40288,0,1,0,0,0,0,0,,0,1
,3137022,星尘宝箱,3137,1,40288,0,1,0,0,0,0,0,,0,1
,3137023,圣晶宝箱,3137,1,40290,0,1,0,0,0,0,0,"50,0.06,102.99",-152.1,1.5
