,required,optional,optional,optional
,uint32,string,uint64,uint32
,id,path,approach,red_flag
备注,物品资源Id,图标路径,获取方式类型,是否一直显示红点 1：是 0：否
,11,Textures/Atlas/Dyn/Item/11.png,1024,0
,14,Textures/Atlas/Dyn/Item/14.png,262144,0
,15,Textures/Atlas/Dyn/Item/15.png,17188257792,0
,120012,Textures/Atlas/Dyn/Item/120012.png,2048,0
,120013,Textures/Atlas/Dyn/Item/120013.png,134217728,0
,210010,Textures/Atlas/Dyn/Item/6002002.png,524288,0
召唤券,210023,Textures/Atlas/Dyn/Item/210023.png,2049,0
霜晶钥匙,310020,Textures/Atlas/Dyn/Item/310020.png,2112,0
,421013,Textures/Atlas/Dyn/Item/421013.png,2,1
,421014,Textures/Atlas/Dyn/Item/421014.png,2,1
,421024,Textures/Atlas/Dyn/Item/421024.png,2,1
,2120013,Textures/Atlas/Dyn/Item/2120013.png,2080,0
,2120014,Textures/Atlas/Dyn/Item/2120014.png,2112,0
,3010013,Textures/Atlas/Dyn/Item/3010013.png,2147745794,0
,3011013,Textures/Atlas/Dyn/Item/3011013.png,2147745794,0
,3011044,Textures/Atlas/Dyn/Item/3011044.png,2147745794,0
,3011054,Textures/Atlas/Dyn/Item/3011054.png,2147745794,0
,3011074,Textures/Atlas/Dyn/Item/3011074.png,2147745794,0
,3011123,Textures/Atlas/Dyn/Item/3010013.png,2147745794,0
,3012013,Textures/Atlas/Dyn/Item/3012013.png,2147745794,0
,3013013,Textures/Atlas/Dyn/Item/3013013.png,2147745794,0
,3013023,Textures/Atlas/Dyn/Item/3013023.png,2147745794,0
专属勋章(乔伊),3014014,Textures/Atlas/Dyn/Item/3014014.png,2147745794,0
终焉武炼石,3030014,Textures/Atlas/Dyn/Item/3030014.png,64,0
,3040013,Textures/Atlas/Dyn/Item/3040013.png,264193,0
魔法电话,3060010,Textures/Atlas/Dyn/Item/3060010.png,524288,0
整蛊糖豆,3060020,Textures/Atlas/Dyn/Item/3060020.png,524288,0
迷迭香烤鸡,3060030,Textures/Atlas/Dyn/Item/3060030.png,524288,0
剑斗联赛门票,3060110,Textures/Atlas/Dyn/Item/3060110.png,524288,0
刀具护理套装,3060120,Textures/Atlas/Dyn/Item/3060120.png,524288,0
露西蒂尼手稿,3060220,Textures/Atlas/Dyn/Item/3060220.png,524288,0
水晶护符,3060310,Textures/Atlas/Dyn/Item/3060310.png,524288,0
雕花护臂,3060320,Textures/Atlas/Dyn/Item/3060320.png,524288,0
圣界斗篷,3060410,Textures/Atlas/Dyn/Item/3060410.png,524288,0
秘密档案,3060420,Textures/Atlas/Dyn/Item/3060420.png,524288,0
园艺套装,3060510,Textures/Atlas/Dyn/Item/3060510.png,524288,0
多肉植物,3060520,Textures/Atlas/Dyn/Item/3060520.png,524288,0
卡城烧烤,3060610,Textures/Atlas/Dyn/Item/3060610.png,524288,0
蜂蜜奶茶,3060620,Textures/Atlas/Dyn/Item/3060620.png,524288,0
,6003003,Textures/Atlas/Dyn/Item/6003003.png,3,0
