,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,1237601,12376,1,-1,-1,0,-1,0,-1,0,0,1
,1237701,12377,1,-1,-1,0,-1,0,-1,0,0,1
,1237801,12378,1,-1,-1,0,-1,0,-1,0,0,1
,1237901,12379,1,-1,-1,0,-1,0,-1,0,0,1
,1238001,12380,1,-1,-1,0,-1,0,-1,0,0,1
,1238101,12381,1,-1,-1,0,-1,0,-1,0,0,1
,1238201,12382,1,-1,-1,0,-1,0,-1,0,0,1
,1238301,12383,1,-1,-1,0,-1,0,-1,0,0,1
,1238401,12384,1,-1,-1,0,-1,0,-1,0,0,1
,1238501,12385,1,-1,-1,0,-1,0,-1,0,0,1
,1238601,12386,1,-1,-1,0,-1,0,-1,0,0,1
,1238701,12387,1,-1,-1,0,-1,0,-1,0,0,1
,1238801,12388,1,-1,-1,0,-1,0,-1,0,0,1
,1238901,12389,1,-1,-1,0,-1,0,-1,0,0,1
,1239001,12390,1,-1,-1,0,-1,0,-1,0,0,1
,1239002,12390,2,101,101,0,-1,0,-1,0,0,1
,1239101,12391,1,-1,-1,0,-1,0,-1,0,0,1
,1239201,12392,1,-1,-1,0,-1,0,-1,0,0,1
,1239301,12393,1,-1,-1,0,-1,0,-1,0,0,1
,1239401,12394,1,-1,-1,0,-1,0,-1,0,0,1
,1239501,12395,1,-1,-1,0,-1,0,-1,0,0,1
,1239601,12396,1,-1,-1,0,-1,0,-1,0,0,1
,1239701,12397,1,-1,-1,0,-1,0,-1,0,0,1
,1239801,12398,1,-1,-1,0,-1,0,-1,0,0,1
,1239901,12399,1,-1,-1,0,-1,0,-1,0,0,1
,1240001,12400,1,-1,-1,0,-1,0,-1,0,0,1
,1240101,12401,1,-1,-1,0,-1,0,-1,0,0,1
,1240201,12402,1,-1,-1,0,-1,0,-1,0,0,1
,1240202,12402,2,101,101,0,-1,0,-1,0,0,1
,1240301,12403,1,-1,-1,0,-1,0,-1,0,0,1
,1240401,12404,1,-1,-1,0,-1,0,-1,0,0,1
,1240501,12405,1,-1,-1,0,-1,0,-1,0,0,1
,1240601,12406,1,3042,-1,0,-1,0,3042,0,0,1
,1240701,12407,1,3042,-1,0,-1,0,3042,0,0,1
,1240801,12408,1,3042,-1,0,-1,0,3042,0,0,1
,1240802,12408,2,301,301,0,-1,0,-1,0,0,1
,1240803,12408,3,3042,-1,0,-1,0,3042,0,0,1
,1240901,12409,1,3042,-1,0,-1,0,3042,0,0,1
,1241001,12410,1,3042,-1,0,-1,0,3042,0,0,1
,1241101,12411,1,3042,-1,0,-1,0,3042,0,0,1
,1241201,12412,1,3042,-1,0,-1,0,3042,0,0,1
,1241202,12412,2,101,101,0,-1,0,-1,0,0,1
,1241203,12412,3,101,101,100117,-1,0,-1,0,0,1
,1241301,12413,1,3042,-1,0,-1,0,3042,0,0,1
,1241302,12413,2,201,201,0,-1,0,-1,0,0,1
,1241303,12413,3,3042,-1,0,-1,0,3042,0,0,1
,1241401,12414,1,3042,-1,0,-1,0,3042,0,0,1
,1241501,12415,1,3042,-1,0,-1,0,3042,0,0,1
,1241601,12416,1,3042,-1,0,-1,0,3042,0,0,1
,1241701,12417,1,3042,-1,0,-1,0,3042,0,0,1
,1241801,12418,1,3042,-1,0,-1,0,3042,0,0,1
,1241901,12419,1,3042,-1,0,-1,0,3042,0,0,1
,1242001,12420,1,3042,-1,0,-1,0,3042,0,0,1
,1242003,12420,3,3042,-1,0,-1,0,3042,0,0,1
,1242101,12421,1,3042,-1,0,-1,0,3042,0,0,1
,1242201,12422,1,3042,-1,0,-1,0,3042,0,0,1
,1242301,12423,1,3042,-1,0,-1,0,3042,0,0,1
,1242302,12423,2,301,301,0,-1,0,-1,0,0,1
,1242303,12423,3,301,301,0,-1,0,-1,0,0,1
,1242401,12424,1,3042,-1,0,-1,0,3042,0,0,1
,1242501,12425,1,3042,-1,0,-1,0,3042,0,0,1
,1242601,12426,1,3042,-1,0,-1,0,3042,0,0,1
,1242701,12427,1,3042,-1,0,-1,0,3042,0,0,1
,1242801,12428,1,3042,-1,0,-1,0,3042,0,0,1
,1242901,12429,1,3042,-1,0,-1,0,3042,0,0,1
,1243001,12430,1,3042,-1,0,-1,0,3042,0,0,1
,1243002,12430,2,101,101,0,-1,0,-1,0,0,1
,1243003,12430,3,301,-1,0,-1,0,301,100304,0,1
,1243101,12431,1,3042,-1,0,-1,0,3042,0,0,1
,1243201,12432,1,3042,-1,0,-1,0,3042,0,0,1
,1243202,12432,2,301,-1,0,-1,0,301,0,0,1
,1243203,12432,3,3042,-1,0,-1,0,3042,0,0,1
,1243301,12433,1,3042,-1,0,-1,0,3042,0,0,1
,1243401,12434,1,3042,-1,0,-1,0,3042,0,0,1
,1243501,12435,1,3042,-1,0,-1,0,3042,0,0,1
