,required,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional
,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
,indexId,Id,Index,talkId,Leftid,leftFace,Midid,midFace,Rightid,rightFace,voiceId,IsSkip
备注,,对白ID,下标,说话者,左半身像，填写NPCid,左边表情编号,中间半身像,中间表情,右半身像，填写NPCid,右边表情编号,配音ID,1：能跳过 0：不能跳过（默认不能跳过）
,691801,6918,1,201,-1,0,-1,0,201,100205,0,1
,691802,6918,2,101,101,0,-1,0,201,100205,0,1
,691803,6918,3,301,101,0,-1,0,301,100306,0,1
,691804,6918,4,201,-1,0,-1,0,201,100220,0,1
,691805,6918,5,201,-1,0,-1,0,201,100205,0,1
,691806,6918,6,101,101,100112,-1,0,201,100205,0,1
,691807,6918,7,201,101,100112,-1,0,201,100206,0,1
,691808,6918,8,3860,-1,0,-1,0,-1,0,0,1
,691809,6918,9,3861,-1,0,-1,0,-1,0,0,1
,691810,6918,10,101,101,100109,-1,0,-1,0,0,1
,691811,6918,11,201,101,100109,-1,0,201,0,0,1
,691901,6919,1,101,101,0,-1,0,-1,0,0,1
,691902,6919,2,301,101,0,-1,0,301,0,0,1
,691903,6919,3,201,101,0,-1,0,201,100204,0,1
,691904,6919,4,201,101,0,-1,0,201,100204,0,1
,691905,6919,5,201,101,0,-1,0,201,100205,0,1
,692001,6920,1,301,-1,0,-1,0,301,0,0,1
,692002,6920,2,101,101,100108,-1,0,301,0,0,1
,692003,6920,3,301,101,100108,-1,0,301,0,0,1
,692004,6920,4,301,101,100108,-1,0,301,0,0,1
,692005,6920,5,201,-1,0,-1,0,201,100209,0,1
,692006,6920,6,101,101,0,-1,0,201,100209,0,1
,692007,6920,7,3862,-1,0,-1,0,-1,0,0,1
,692008,6920,8,3863,-1,0,-1,0,-1,0,0,1
,692009,6920,9,201,-1,0,-1,0,201,100216,0,1
,692101,6921,1,301,-1,0,-1,0,301,100303,0,1
,692102,6921,2,101,101,100109,-1,0,301,100303,0,1
,692103,6921,3,301,101,100109,-1,0,301,100306,0,1
,692104,6921,4,201,-1,0,-1,0,201,100206,0,1
,692105,6921,5,3864,-1,0,-1,0,-1,0,0,1
,692106,6921,6,3865,-1,0,-1,0,-1,0,0,1
,692107,6921,7,3866,-1,0,-1,0,-1,0,0,1
,692108,6921,8,101,101,100109,-1,0,-1,0,0,1
,692109,6921,9,301,101,100109,-1,0,301,0,0,1
,692110,6921,10,301,101,100109,-1,0,301,0,0,1
,692201,6922,1,101,101,100105,-1,0,-1,0,0,1
,1277601,12776,1,-1,-1,0,-1,0,-1,0,0,1
,1277701,12777,1,102,-1,0,-1,0,102,0,0,1
,1277702,12777,2,101,101,100109,-1,0,102,0,0,1
,1277703,12777,3,102,101,100109,-1,0,102,102704,0,1
,1277704,12777,4,102,101,100109,-1,0,102,0,0,1
,1277705,12777,5,102,101,100109,-1,0,102,0,0,1
,1277706,12777,6,102,101,100109,-1,0,102,0,0,1
,1277707,12777,7,102,101,100109,-1,0,102,0,0,1
,1277708,12777,8,102,101,100109,-1,0,102,102702,0,1
,1277801,12778,1,301,-1,0,-1,0,301,0,0,1
,1277802,12778,2,101,101,100109,-1,0,301,0,0,1
,1277803,12778,3,201,101,100109,-1,0,201,100205,0,1
,1277804,12778,4,201,101,100109,-1,0,201,100205,0,1
,1277901,12779,1,3028,-1,0,-1,0,3028,161002,0,1
,1277902,12779,2,201,201,100215,-1,0,3028,161002,0,1
,1277903,12779,3,201,201,100213,-1,0,3028,161002,0,1
,1278001,12780,1,3028,-1,0,-1,0,3028,0,0,1
,1278101,12781,1,3028,-1,0,-1,0,3028,161002,0,1
,1278102,12781,2,3028,-1,0,-1,0,3028,0,0,1
,1278103,12781,3,3028,-1,0,-1,0,3028,0,0,1
,1278104,12781,4,3028,-1,0,-1,0,3028,0,0,1
,1278105,12781,5,201,201,100205,-1,0,3028,0,0,1
,1278106,12781,6,3028,201,100205,-1,0,3028,0,0,1
,1278107,12781,7,3028,201,100205,-1,0,3028,0,0,1
,1278201,12782,1,101,101,100114,-1,0,-1,0,0,1
,1278202,12782,2,301,101,100114,-1,0,301,0,0,1
,1278203,12782,3,201,101,100114,-1,0,201,100204,0,1
,1278501,12785,1,-1,-1,0,-1,0,-1,0,0,1
,1291401,12914,1,-1,-1,0,-1,0,-1,0,0,1
,9999701,99997,1,-1,-1,0,-1,0,-1,0,0,1
,9999801,99998,1,-1,-1,0,-1,0,-1,0,0,1
,9999901,99999,1,-1,-1,0,-1,0,-1,0,0,1
