,id,talkName,dialogue,firstBtnText,secondBtnText,actionText
备注,索引id,强制名称,对白内容,第一个按钮文本,第二个按钮文本,action的文本参数
,1054010,,顺带一提，如果你们想长期获得情报，或是想提升自己，加<br>入自律联盟倒是个不错的选择。自律联盟可是福利满满哦。,,,
,1287501,,只要加入自律联盟，就能获得“小鱼干”福利！,,,
,1287502,,小……小鱼干？虽然小鱼干的确很好吃，但把这个<br>作为福利……本大小姐……考虑一下。,,,
,1287503,,哈哈不，我又说顺嘴了。这个小鱼干不是吃的，是一种<br>形状酷似小鱼干的战力分析仪，原名叫比多仪。,,,
,1287504,,比多仪？战力分析？<br>这是什么东西，听起来很神奇的样子。,,,
,1287601,,年轻人，看来你还没真正了解自己啊！<br>我们每个人身上，都有属于自己的战力。,,,
,1287801,,原理嘛……就是用那什么什么辐射记录了一堆杂七杂八的<br>因素，然后用什么芯片分析，最后就能得出一个评分。,,,
,1287901,,我听比多猫说过，它的评定维度共达180多种。<br>我大概记得有：,,,
,1287902,,身高、骨骼分布、肌肉走向、颜值、装备、助力本命、英<br>雄等级、基础属性、突破等级、技能熟练度等等等等……,,,
,1287903,,所以说，年轻人如果想要提升战力，完全可以通过提升<br>助力本命以及努力修炼育成自身这两种途径！,,,
,1288001,,你带在身上就行了，它会自己识别目标。,,,
,1288101,,就这玩意，我在自律联盟这么久了，还从来没有用过。毕<br>竟我相信，这世上，还没有能强过我爱琳娜拳头的存在！,,,
,1288102,,不过……你们两个小鬼倒是可以使用看看，年轻人嘛，<br>还是谦逊一点好。,,,
,1288103,,毕竟，像你们这种什么经验都没有的小鬼，<br>战斗时如果没有客观数据支持，很容易惨败哦。,,,
,1288104,,哈哈哈，爱琳娜，别吓唬年轻人。<br>不过，说真的，比多仪绝对是你们战斗时的好帮手。,,,
,1288105,,来，我给你们展示展示这比多仪的厉害。<br>（边说边举起了比多仪，并瞄准了不远处的比多猫。）,,,
,1288106,,目标：比多猫，物种：类猫型生物。<br>综合战力评定：嘀——数据上限！分析：%￥@#。轰！,,,
,1288107,,（用眼睛捕捉不到的手速，迅速掏出个新的比多仪。）<br>啊哈哈，一定是我喝多了，眼花了。我们换个对象。,,,
,1288108,,目标：头条哥布林，物种：妖精。<br>综合战力评定：80，分析：战力超过0.01％妖精。,,,
,1288109,,不要震惊，这就是头条哥布林的真正实力。怎么样，这福<br>利不错吧！加入我们自律联盟，还能更快地提升实力哦。,,,
,1288110,,（差点就被哥布林的外表骗了……原来他这么弱。）<br>还能提升实力……好的大叔！我们加入自律联盟！,,,
